coin,date,open,high,low,close,volume,marketcap,average
ethereum,20170206,11.35,11.48,11.34,11.39,5695440,1005930000,11.41
bitcoin,20170206,1028.40,1044.64,1028.16,1038.15,111762000,16605400000,1036.40
ethereum,20170206,11.35,11.48,11.34,11.39,5695440,1005930000,11.41
ripple,20170206,0.006439,0.006494,0.006397,0.006450,386766,237318000,0.01
nem,20170206,0.006390,0.006461,0.005789,0.006039,345827,57508500,0.01
litecoin,20170206,4.06,4.08,4.04,4.04,4972300,201525000,4.06
stellar,20170206,0.002351,0.002418,0.002343,0.002369,61960,16273600,0.00
dash,20170206,17.07,17.24,16.70,17.12,1025680,120894000,16.97
neo,20170206,0.131717,0.138723,0.125146,0.126788,10498,6585850,0.13
monero,20170206,12.83,12.92,12.59,12.88,2124790,178164000,12.75
lisk,20170206,0.164439,0.165506,0.156448,0.159951,132625,16900700,0.16
ethereum-classic,20170206,1.39,1.50,1.39,1.47,2217650,123057000,1.44
verge,20170206,0.000021,0.000031,0.000021,0.000021,424,263136,0.00
siacoin,20170206,0.000401,0.000423,0.000392,0.000423,155032,9231120,0.00
bytecoin-bcn,20170206,0.000057,0.000058,0.000054,0.000057,11702,10467000,0.00
bitconnect,20170206,0.465675,0.531860,0.445042,0.447002,92361,2372230,0.49
zcash,20170206,38.18,38.26,37.58,37.59,639128,22919200,37.92
stratis,20170206,0.087317,0.096752,0.086319,0.095773,112679,8579590,0.09
bitshares,20170206,0.003981,0.004058,0.003936,0.003955,99859,10277700,0.00
dogecoin,20170206,0.000210,0.000216,0.000208,0.000214,90884,22728300,0.00
ardor,20170206,0.018914,0.023323,0.018514,0.021944,281791,18895100,0.02
steem,20170206,0.160469,0.163291,0.155349,0.161881,64142,37239700,0.16
tether,20170206,0.999999,0.999999,0.999998,0.999998,1129720,24951600,1.00
waves,20170206,0.224744,0.268761,0.224695,0.264725,99127,22474400,0.25
digibyte,20170206,0.000286,0.000311,0.000279,0.000290,18840,2281220,0.00
augur,20170206,4.15,4.29,4.09,4.24,190404,45650000,4.19
komodo,20170206,0.111102,0.303831,0.106750,0.159718,236727,11172100,0.21
golem-network-tokens,20170206,0.029794,0.032981,0.028453,0.030284,46414,24431200,0.03
decred,20170206,3.03,3.10,2.58,2.60,178837,11352700,2.84
nexus,20170206,0.106734,0.116625,0.104335,0.104335,22314,4976010,0.11
reddcoin,20170206,0.000031,0.000031,0.000021,0.000027,391,869198,0.00
pivx,20170206,0.014771,0.015939,0.013396,0.014763,3075,758272,0.01
factom,20170206,3.57,3.65,3.50,3.58,121732,31272000,3.58
monacoin,20170206,0.025436,0.026511,0.025414,0.026511,508,1151310,0.03
digitalnote,20170206,0.000111,0.000112,0.000110,0.000111,9933,759786,0.00
nxt,20170206,0.007336,0.010327,0.007336,0.009645,1103770,7328750,0.01
bitcoindark,20170206,6.13,8.55,6.11,7.74,58616,7907120,7.33
byteball,20170206,78.18,98.11,78.16,83.07,47269,7818310,88.13
maidsafecoin,20170206,0.149394,0.152167,0.149243,0.151856,224212,67608600,0.15
syscoin,20170206,0.014699,0.015400,0.011469,0.011698,589713,7681300,0.01
iconomi,20170206,0.445976,0.455162,0.441702,0.451515,130165,38799900,0.45
digixdao,20170206,9.96,10.28,9.96,10.21,7093,19927500,10.12
zcoin,20170206,1.38,2.19,1.38,1.68,202460,1363480,1.78
paccoin,20170206,1.3e-08,1.5e-08,1.2e-08,1.3e-08,84,,0.00
gamecredits,20170206,0.290423,0.293798,0.274387,0.277583,251123,17563200,0.28
zclassic,20170206,0.698598,0.710418,0.616234,0.617131,10622,458926,0.66
vertcoin,20170206,0.045405,0.047644,0.041948,0.045512,27631,1502080,0.04
blocknet,20170206,0.054166,0.054394,0.051492,0.053029,440,211816,0.05
bitbay,20170206,0.001450,0.001498,0.001308,0.001484,10054,1460380,0.00
