date,open,high,low,close,volume,marketcap,average
20180110,0.010948,0.020783,0.010585,0.018102,7551,,0.02
20180109,0.010098,0.011430,0.010009,0.010943,162,,0.01
20180108,0.004978,0.010371,0.004122,0.010127,499,,0.01
20180107,0.004277,0.005148,0.004266,0.004933,154,,0.00
20180106,0.002155,0.004284,0.002138,0.004278,16,,0.00
20180105,0.002091,0.002248,0.002073,0.002145,107,,0.00
20180104,0.004248,0.004480,0.002030,0.002099,142,,0.00
20180103,0.002008,0.004278,0.001893,0.004241,228,,0.00
20180102,0.003537,0.004119,0.001999,0.001999,5,,0.00
20180101,0.001681,0.003579,0.001677,0.003529,22,,0.00
20171231,0.003332,0.003572,0.003303,0.003548,7,,0.00
20171230,0.003587,0.003587,0.003215,0.003362,20,,0.00
20171229,0.004998,0.005199,0.001777,0.003588,52,,0.00
20171228,0.001040,0.005051,0.000985,0.004968,155,,0.00
20171227,0.001364,0.001384,0.000995,0.001042,1,,0.00
20171226,0.002041,0.005242,0.001343,0.001361,115,,0.00
20171225,0.003561,0.003750,0.001938,0.002040,44,,0.00
20171224,0.001433,0.005747,0.001307,0.003544,114,,0.00
20171223,0.001339,0.001522,0.001330,0.001417,12,,0.00
20171222,0.001907,0.001916,0.001302,0.001328,15,,0.00
20171221,0.002054,0.002161,0.001981,0.002015,2,,0.00
20171220,0.002094,0.002127,0.001855,0.002052,2,,0.00
20171219,0.003935,0.004340,0.002004,0.002097,10,,0.00
20171218,0.007182,0.007206,0.001766,0.003944,18,,0.00
20171217,0.003473,0.010740,0.001575,0.007192,227,,0.01
20171216,0.002396,0.003538,0.001503,0.003464,7,,0.00
20171215,0.002152,0.002434,0.001908,0.002392,15,,0.00
20171214,0.002945,0.003266,0.002047,0.002150,25,,0.00
20171213,0.004625,0.004729,0.002645,0.002946,28,,0.00
20171212,0.002512,0.004655,0.002447,0.004622,23,,0.00
20171211,0.002141,0.002528,0.002138,0.002528,22,,0.00
20171210,0.002188,0.002241,0.002130,0.002138,250,,0.00
20171209,0.002331,0.002334,0.002308,0.002325,12,,0.00
20171208,0.002070,0.002247,0.002019,0.002238,11,,0.00
20171207,0.002075,0.002136,0.002002,0.002067,11,,0.00
20171206,0.000910,0.002356,0.000892,0.002082,99,,0.00
20171205,0.000749,0.002281,0.000733,0.000911,31,,0.00
20171204,0.000926,0.001717,0.000719,0.000748,10,,0.00
20171203,0.002518,0.002568,0.000895,0.000924,172,,0.00
20171202,0.002422,0.002584,0.001802,0.002517,5,,0.00
20171201,0.006026,0.006050,0.001931,0.002422,49,,0.00
20171130,0.001586,0.010028,0.001581,0.006041,126,,0.01
20171129,0.002455,0.003518,0.001532,0.001566,108,,0.00
20171128,0.002109,0.003404,0.002095,0.002453,80,,0.00
20171127,0.002357,0.003524,0.002055,0.002112,51,,0.00
20171126,0.003468,0.003512,0.002280,0.002358,104,,0.00
20171125,0.001832,0.003515,0.001714,0.003468,740,,0.00
20171124,0.003432,0.004243,0.001779,0.001832,155,,0.00
20171123,0.001373,0.006997,0.001352,0.003450,182,,0.00
20171122,0.001655,0.001831,0.001300,0.001370,70,,0.00
20171121,0.002654,0.002677,0.001294,0.001653,70,,0.00
20171120,0.005294,0.007456,0.002658,0.002658,138,,0.01
20171119,0.006035,0.006055,0.003791,0.005300,69,,0.00
20171118,0.002454,0.015906,0.001868,0.006050,163,,0.01
20171117,0.002425,0.003609,0.002382,0.002458,75,,0.00
20171116,0.003565,0.003602,0.002365,0.002426,93,,0.00
20171115,0.002462,0.004207,0.002427,0.003567,82,,0.00
20171114,0.002752,0.003223,0.002312,0.002461,33,,0.00
20171113,0.003394,0.003538,0.002055,0.002753,274,,0.00
20171112,0.006398,0.006473,0.001903,0.003389,94,,0.00
20171111,0.005839,0.006462,0.003332,0.006397,841,,0.00
20171110,0.004502,0.006231,0.004005,0.005856,12668,,0.01
20171109,0.003312,0.006192,0.002959,0.004500,7507,,0.00
20171108,0.003127,0.005888,0.002834,0.003330,719,,0.00
20171107,0.003419,0.003638,0.002596,0.003129,177,,0.00
20171106,0.003556,0.003556,0.002639,0.003414,225,,0.00
20171105,0.003330,0.004048,0.002663,0.003553,304,,0.00
20171104,0.004054,0.004782,0.003159,0.003326,451,,0.00
20171103,0.004981,0.005054,0.003293,0.004053,210,,0.00
20171102,0.004083,0.004970,0.003045,0.004957,906,,0.00
20171101,0.008794,0.008794,0.003001,0.004072,399,,0.01
20171031,0.011045,0.011050,0.007467,0.008810,2337,,0.01
20171030,0.009111,0.013712,0.007016,0.011039,3222,,0.01
20171029,0.007077,0.014650,0.007077,0.009129,7263,,0.01
20171028,0.007123,0.009109,0.006043,0.007080,2758,,0.01
20171027,0.013657,0.017271,0.006016,0.006229,6640,,0.01
20171026,0.007992,0.024456,0.006811,0.013664,17844,,0.02
20171025,0.006191,0.010618,0.003576,0.008009,7173,,0.01
20171024,0.003384,0.012603,0.003079,0.006171,13697,,0.01
