date,open,high,low,close,volume,marketcap,average
20180110,0.032154,0.032246,0.027536,0.031201,618688,16699000,0.03
20180109,0.036609,0.039301,0.032071,0.032257,452802,19012600,0.04
20180108,0.039580,0.039724,0.028289,0.036410,568429,20554400,0.03
20180107,0.036605,0.043224,0.033376,0.039473,1994300,19009100,0.04
20180106,0.025141,0.040972,0.024865,0.036461,1546070,13055800,0.03
20180105,0.024298,0.026224,0.023215,0.024782,278605,12618200,0.02
20180104,0.022209,0.025143,0.020606,0.024143,529873,11533000,0.02
20180103,0.022404,0.024226,0.020904,0.022088,249894,11634500,0.02
20180102,0.021875,0.023089,0.020659,0.022484,221200,11359400,0.02
20180101,0.021388,0.023391,0.020490,0.021876,295982,11106600,0.02
20171231,0.020083,0.022403,0.019505,0.021167,244623,10429200,0.02
20171230,0.021744,0.021896,0.018008,0.020431,374738,11291200,0.02
20171229,0.023438,0.026011,0.020764,0.021798,414126,12170900,0.02
20171228,0.020178,0.024497,0.017276,0.023484,745223,10477900,0.02
20171227,0.024230,0.025730,0.019831,0.020220,430887,12581600,0.02
20171226,0.021730,0.024776,0.016602,0.023896,831574,11283700,0.02
20171225,0.022401,0.026345,0.020626,0.021891,733919,11632200,0.02
20171224,0.017090,0.026288,0.015596,0.022032,2156960,8874300,0.02
20171223,0.014341,0.019679,0.014163,0.016904,391290,7446800,0.02
20171222,0.019651,0.020628,0.010280,0.014207,435545,10204100,0.02
20171221,0.015828,0.024298,0.015660,0.019738,1536090,8218980,0.02
20171220,0.014800,0.016133,0.012467,0.015624,317925,7685110,0.01
20171219,0.016065,0.018425,0.014154,0.014815,401915,8341690,0.02
20171218,0.015117,0.016565,0.013796,0.015670,241023,7848830,0.02
20171217,0.013436,0.017202,0.013088,0.014881,543250,6976180,0.02
20171216,0.011472,0.013652,0.011467,0.013435,143710,5948600,0.01
20171215,0.012275,0.013377,0.010681,0.011456,261432,6364890,0.01
20171214,0.010643,0.014340,0.010100,0.012256,646619,5518680,0.01
20171213,0.010192,0.011297,0.009715,0.010677,50468,5285020,0.01
20171212,0.010779,0.010797,0.009753,0.010184,46796,5589530,0.01
20171211,0.010060,0.011542,0.009317,0.010578,114480,5216740,0.01
20171210,0.010376,0.010645,0.008546,0.010134,29030,5380240,0.01
20171209,0.010735,0.011718,0.009301,0.010334,56929,5564940,0.01
20171208,0.011803,0.011931,0.009576,0.010909,38762,6118480,0.01
20171207,0.010302,0.013287,0.009628,0.011601,167375,5340420,0.01
20171206,0.009947,0.010791,0.009860,0.010182,131025,5155990,0.01
20171205,0.010141,0.011934,0.009278,0.009852,509599,5256900,0.01
20171204,0.010455,0.012443,0.009190,0.010121,880516,5419310,0.01
20171203,0.008745,0.016520,0.007711,0.010644,3132850,4533120,0.01
20171202,0.007293,0.008970,0.007206,0.008628,80609,3780150,0.01
20171201,0.006496,0.007744,0.006222,0.007299,256784,3367040,0.01
20171130,0.006585,0.007359,0.005760,0.006428,8068,3413560,0.01
20171129,0.007247,0.007737,0.005982,0.006099,26376,3756660,0.01
20171128,0.007120,0.007362,0.006936,0.007254,23869,3690690,0.01
20171127,0.006802,0.007205,0.006802,0.007102,22202,3525790,0.01
20171126,0.006385,0.007026,0.006219,0.006801,50341,3309660,0.01
20171125,0.006075,0.006513,0.005895,0.006387,14940,3149170,0.01
20171124,0.005867,0.006572,0.005718,0.006088,36418,3041180,0.01
20171123,0.005922,0.006459,0.005836,0.005956,260480,3069720,0.01
20171122,0.006004,0.006234,0.005775,0.005924,21181,3112370,0.01
20171121,0.006099,0.006345,0.005645,0.005990,19401,3161430,0.01
20171120,0.006194,0.006519,0.006021,0.006098,14890,3210630,0.01
20171119,0.006073,0.006284,0.005862,0.006197,12036,3147980,0.01
20171118,0.006149,0.006210,0.005833,0.006007,14715,3186460,0.01
20171117,0.005882,0.006622,0.005674,0.006096,82508,3047760,0.01
20171116,0.005818,0.006333,0.005515,0.005891,66846,3005860,0.01
20171115,0.005488,0.005942,0.005305,0.005788,21878,2834980,0.01
20171114,0.005225,0.005530,0.005092,0.005484,32113,2699160,0.01
20171113,0.004638,0.005313,0.004489,0.005214,29804,2396100,0.00
20171112,0.005342,0.005371,0.004351,0.004631,20186,2759950,0.00
20171111,0.005589,0.006019,0.005306,0.005346,17268,2887250,0.01
20171110,0.006630,0.006856,0.005502,0.005609,37614,3424990,0.01
20171109,0.006795,0.006933,0.006284,0.006610,201366,3510030,0.01
20171108,0.006547,0.006930,0.006037,0.006802,187810,3381770,0.01
20171107,0.005776,0.007229,0.005667,0.006568,261745,2983490,0.01
20171106,0.006950,0.008291,0.005715,0.005715,617782,3589850,0.01
20171105,0.005317,0.009882,0.005187,0.008114,1279830,2746640,0.01
20171104,0.005375,0.005509,0.005043,0.005257,11992,2776470,0.01
20171103,0.004571,0.006290,0.004571,0.005389,47230,2361050,0.01
20171102,0.004979,0.005198,0.004668,0.004990,119320,2571960,0.00
20171101,0.005413,0.005413,0.004814,0.004974,143024,2795900,0.01
20171031,0.005270,0.005451,0.004875,0.005417,16212,2722040,0.01
20171030,0.005110,0.005283,0.004877,0.005165,20514,2639660,0.01
20171029,0.004754,0.005495,0.004589,0.005140,107735,2455670,0.01
20171028,0.004841,0.005049,0.004709,0.004761,3913,2500640,0.00
20171027,0.004885,0.005239,0.004723,0.004828,13305,2523250,0.00
20171026,0.005160,0.005384,0.004743,0.004884,16474,2665510,0.01
20171025,0.004966,0.005494,0.004638,0.005161,66018,2565310,0.01
20171024,0.004165,0.005441,0.003999,0.004964,28777,2151220,0.00
20171023,0.004780,0.004912,0.004125,0.004174,7139,2469190,0.00
20171022,0.004753,0.004861,0.004297,0.004788,9609,2454920,0.00
20171021,0.005157,0.005165,0.004538,0.004751,7735,2663710,0.00
20171020,0.005419,0.005524,0.004549,0.005168,23093,2799180,0.01
20171019,0.005364,0.005773,0.005176,0.005418,16676,2770470,0.01
20171018,0.005374,0.009094,0.004731,0.005325,20812,2775760,0.01
20171017,0.005838,0.005912,0.005235,0.005374,9877,3015430,0.01
20171016,0.005523,0.005919,0.005407,0.005780,10376,2852630,0.01
20171015,0.005621,0.006010,0.005358,0.005578,17874,2903130,0.01
20171014,0.005485,0.006243,0.005058,0.005611,23743,2833210,0.01
20171013,0.005766,0.006096,0.005216,0.005596,21184,2977970,0.01
20171012,0.005461,0.005911,0.005229,0.005748,22364,2820480,0.01
20171011,0.005151,0.005661,0.004904,0.005456,19620,2660600,0.01
20171010,0.004882,0.006067,0.004760,0.005152,62650,2521450,0.01
20171009,0.004649,0.005776,0.004406,0.004882,52786,2401170,0.01
20171008,0.005332,0.005444,0.004418,0.004418,21947,2754110,0.00
20171007,0.005249,0.005359,0.005138,0.005347,11153,2710870,0.01
20171006,0.005448,0.005619,0.005218,0.005247,34925,2813770,0.01
20171005,0.005530,0.005620,0.005323,0.005491,15943,2856210,0.01
20171004,0.005572,0.005597,0.005262,0.005525,23631,2878070,0.01
20171003,0.005680,0.005910,0.005391,0.005560,21472,2933470,0.01
20171002,0.005889,0.005978,0.005560,0.005679,23975,3041560,0.01
20171001,0.006039,0.006265,0.005832,0.005848,15947,3119140,0.01
20170930,0.005966,0.006304,0.005707,0.006036,32946,3081360,0.01
20170929,0.006416,0.006530,0.005881,0.005965,26356,3313630,0.01
20170928,0.006439,0.006649,0.006062,0.006463,29519,3325620,0.01
20170927,0.006220,0.006577,0.006057,0.006439,28207,3212490,0.01
20170926,0.006018,0.006768,0.005723,0.006198,115260,3108180,0.01
20170925,0.005362,0.006820,0.005317,0.006019,151963,2769200,0.01
20170924,0.005607,0.005779,0.005261,0.005367,40329,2896050,0.01
20170923,0.005013,0.006007,0.004892,0.005532,136761,2589230,0.01
20170922,0.004924,0.005294,0.004895,0.005064,23398,2543120,0.01
20170921,0.005276,0.005468,0.004897,0.004930,19763,2724800,0.01
20170920,0.004931,0.005697,0.004889,0.005302,33553,2546670,0.01
20170919,0.005293,0.005438,0.004930,0.004938,56743,2733530,0.01
20170918,0.004878,0.005327,0.004878,0.005280,28059,2518940,0.01
20170917,0.004644,0.005338,0.004328,0.004887,82473,2398150,0.00
20170916,0.004562,0.005010,0.004343,0.004647,33809,2355900,0.00
20170915,0.004218,0.004742,0.003571,0.004574,54827,2175320,0.00
20170914,0.005157,0.006127,0.004185,0.004185,205950,2659290,0.01
20170913,0.004900,0.005720,0.004460,0.005157,81091,2526910,0.01
20170912,0.005057,0.005431,0.004759,0.004960,48010,2607700,0.01
20170911,0.005058,0.005390,0.004979,0.005094,29292,2608320,0.01
20170910,0.005888,0.005897,0.004757,0.005066,64171,3036310,0.01
20170909,0.005714,0.006329,0.005456,0.005903,135844,2946650,0.01
20170908,0.005607,0.006115,0.005110,0.005789,116772,2891430,0.01
20170907,0.005539,0.005893,0.005421,0.005606,31502,2856280,0.01
20170906,0.005437,0.006202,0.005397,0.005549,42076,2803570,0.01
20170905,0.005124,0.005488,0.004706,0.005430,21442,2642470,0.01
20170904,0.005959,0.005987,0.004822,0.005098,70928,3072910,0.01
20170903,0.006173,0.006392,0.005703,0.005911,33689,3183250,0.01
20170902,0.006696,0.006806,0.005976,0.006169,31218,3453100,0.01
20170901,0.006681,0.006983,0.006473,0.006688,61868,3445050,0.01
20170831,0.007602,0.007982,0.005915,0.006680,436368,3920150,0.01
20170830,0.005283,0.009644,0.005072,0.007707,1294260,2724100,0.01
