date,open,high,low,close,volume,marketcap,average
20180110,15.46,17.57,14.03,14.99,8923,3755340,15.80
20180109,11.87,18.12,11.87,15.45,6091,2874870,15.00
20180108,10.69,17.76,9.21,11.91,8739,2579720,13.49
20180107,15.61,16.81,10.59,10.60,19489,3751420,13.70
20180106,12.90,18.57,9.71,15.61,8898,3094000,14.14
20180105,18.15,18.71,12.60,12.83,17760,4335200,15.66
20180104,12.27,18.36,10.63,17.55,14675,2927370,14.50
20180103,7.58,12.31,7.58,12.25,20383,1803180,9.95
20180102,7.93,10.46,7.22,10.12,7648,1877750,8.84
20180101,6.83,10.46,6.22,7.92,11301,1600750,8.34
20171231,4.65,6.84,3.86,6.84,6674,1086110,5.35
20171230,4.67,4.74,3.88,4.69,3303,1087460,4.31
20171229,4.20,5.46,4.18,4.67,3531,977539,4.82
20171228,5.27,5.74,3.57,4.18,5394,1219000,4.66
20171227,6.19,6.43,3.67,5.28,5750,1429090,5.05
20171226,4.13,10.98,3.87,6.17,6334,947693,7.43
20171225,2.70,5.11,2.70,4.13,2791,620295,3.91
20171224,2.98,4.32,2.36,2.69,716,681637,3.34
20171223,2.32,5.37,2.32,2.94,1926,530792,3.84
20171222,3.25,3.26,1.79,2.31,887,736732,2.52
20171221,3.28,3.45,3.14,3.23,35,730981,3.29
20171220,2.80,3.50,2.53,3.27,1236,619373,3.01
20171219,3.40,3.74,2.43,2.81,2120,747297,3.08
20171218,3.37,4.35,3.06,3.41,3186,738761,3.71
20171217,4.78,4.89,3.03,3.37,1671,1044690,3.96
20171216,5.48,5.73,2.51,4.76,2824,1195210,4.12
20171215,4.16,5.53,3.70,5.47,4020,906012,4.62
20171214,5.17,5.49,3.37,4.16,1114,1122120,4.43
20171213,5.95,6.08,4.77,5.17,1183,1290640,5.42
20171212,4.63,5.98,4.20,5.94,4373,1001970,5.09
20171211,3.95,4.69,3.83,4.66,1609,851540,4.26
20171210,5.27,5.27,3.93,3.94,1125,901011,4.60
20171209,5.36,5.66,4.15,5.25,3110,915760,4.91
20171208,5.66,5.67,4.12,5.36,4483,967819,4.89
20171207,5.09,5.89,4.10,4.12,5240,870070,4.99
20171206,6.40,6.42,5.00,5.11,2665,1093790,5.71
20171205,6.53,6.77,6.40,6.41,2822,1116950,6.58
20171204,6.95,7.05,6.33,6.53,4532,1187310,6.69
20171203,5.81,7.19,5.53,6.93,5411,993760,6.36
20171202,6.47,6.90,5.78,5.81,10276,1105260,6.34
20171201,4.70,6.47,4.44,6.47,7763,803760,5.46
20171130,5.23,6.17,4.00,4.71,6505,894667,5.08
20171129,5.43,8.86,4.56,5.17,26996,928524,6.71
20171128,4.51,6.50,3.92,5.43,24093,771427,5.21
20171127,3.86,4.70,3.40,4.52,23007,,4.05
20171126,4.64,5.34,3.74,3.86,7465,,4.54
20171125,4.81,6.42,3.76,4.64,20947,,5.09
20171124,2.63,5.21,2.61,4.81,14348,,3.91
