date,open,high,low,close,volume,marketcap,average
20180110,1.37,1.39,1.08,1.18,42999700,412074000,1.23
20180109,1.12,1.38,1.09,1.38,56420800,336010000,1.23
20180108,1.14,1.18,0.961853,1.13,33777600,342198000,1.07
20180107,1.03,1.15,0.980364,1.15,25596600,310008000,1.07
20180106,0.706824,1.07,0.674297,1.03,29355200,212047000,0.87
20180105,0.696350,0.731829,0.565905,0.706567,21843000,208905000,0.65
20180104,0.418316,0.699190,0.371449,0.699190,31189200,125495000,0.54
20180103,0.381203,0.412302,0.355434,0.396465,4833230,114361000,0.38
20180102,0.390168,0.408351,0.361420,0.386248,6662880,117050000,0.38
20180101,0.379346,0.390901,0.356587,0.389248,2355570,113804000,0.37
20171231,0.351382,0.392342,0.344482,0.378268,1701320,105414000,0.37
20171230,0.403399,0.405278,0.324149,0.355026,1461990,121020000,0.36
20171229,0.336830,0.415264,0.326051,0.406930,2295270,101049000,0.37
20171228,0.370456,0.382856,0.321080,0.333399,675555,111137000,0.35
20171227,0.366469,0.400611,0.330314,0.369398,924525,109941000,0.37
20171226,0.359402,0.395247,0.342327,0.366131,1139280,107821000,0.37
20171225,0.332386,0.379218,0.321523,0.359743,1184230,99715900,0.35
20171224,0.314485,0.404797,0.278930,0.331581,3406260,94345600,0.34
20171223,0.250894,0.356225,0.248731,0.304419,1723730,75268200,0.30
20171222,0.374576,0.382572,0.240393,0.246491,2852870,112373000,0.31
20171221,0.419403,0.433116,0.347789,0.376630,2402000,125821000,0.39
20171220,0.445353,0.461057,0.390467,0.418554,2896110,133606000,0.43
20171219,0.390995,0.459755,0.367644,0.434762,4814810,117299000,0.41
20171218,0.317822,0.401881,0.292250,0.390854,3562680,95346700,0.35
20171217,0.333165,0.349544,0.308405,0.318702,1490610,99949500,0.33
20171216,0.268262,0.348985,0.265447,0.332068,2587640,80478500,0.31
20171215,0.267415,0.282230,0.253973,0.267877,1430810,80224400,0.27
20171214,0.260601,0.288430,0.235968,0.267034,1609940,78180300,0.26
