date,open,high,low,close,volume,marketcap,average
20180110,0.246072,0.312038,0.173599,0.302488,9124,5775870,0.24
20180109,0.191232,0.280283,0.188631,0.246909,1143,4488630,0.23
20180108,0.188554,0.196115,0.149586,0.191651,2318,4425790,0.17
20180107,0.244610,0.289323,0.186903,0.188904,3578,5741540,0.24
20180106,0.237026,0.308766,0.220938,0.242906,3248,5563530,0.26
20180105,0.435384,0.472948,0.161578,0.236720,3241,10219400,0.32
20180104,0.391036,0.466295,0.358070,0.434415,449,9178480,0.41
20180103,0.145270,0.425635,0.090312,0.397247,616,3409810,0.26
20180102,0.338983,0.354283,0.144022,0.145812,6,7956680,0.25
20180101,0.138834,0.355093,0.118967,0.339335,364,3258750,0.24
20171231,0.128963,0.175913,0.125752,0.138299,14,3027050,0.15
20171230,0.404241,0.426579,0.093929,0.131096,6,9488440,0.26
20171229,0.131810,0.523839,0.102635,0.406405,20,3093870,0.31
20171228,0.183782,0.854826,0.117321,0.129767,19994,4313770,0.49
20171227,0.093304,0.234680,0.088149,0.185342,15966,2190050,0.16
20171226,0.154729,0.165959,0.073264,0.093598,26,3631830,0.12
20171225,0.138254,0.158341,0.118387,0.154732,916,3245120,0.14
20171224,0.156092,0.170001,0.124344,0.136551,1484,3663820,0.15
20171223,0.130412,0.182940,0.129752,0.156219,4695,3061050,0.16
20171222,0.256843,0.264836,0.088429,0.129911,1167,6028680,0.18
20171221,0.157946,0.281841,0.154766,0.253864,8184,3707340,0.22
20171220,0.128264,0.163310,0.116774,0.157399,946,3010650,0.14
20171219,0.157742,0.163983,0.124135,0.128391,738,3702570,0.14
20171218,0.084946,0.162264,0.081136,0.158022,93,1993860,0.12
20171217,0.138285,0.138285,0.083776,0.084689,647,3245850,0.11
20171216,0.114748,0.139359,0.078613,0.138267,278,2693390,0.11
20171215,0.066800,0.116193,0.066800,0.114591,849,1567950,0.09
20171213,0.085499,0.094606,0.077312,0.077312,424,2006860,0.09
20171212,0.072414,0.119538,0.070830,0.084800,536,1699710,0.10
20171211,0.063612,0.076283,0.063400,0.072454,683,1493100,0.07
20171210,0.152433,0.154780,0.060001,0.064292,601,3577940,0.11
20171209,0.153621,0.161667,0.127513,0.152959,3481,3605830,0.14
20171208,0.102953,0.163090,0.087363,0.154327,8681,2416530,0.13
20171207,0.100672,0.111028,0.059687,0.102669,13809,2363000,0.09
20171206,0.092827,0.115082,0.086890,0.100103,611,2178850,0.10
20171205,0.098915,0.099075,0.086292,0.093151,264,2321740,0.09
20171204,0.106229,0.142235,0.095642,0.097946,866,2493420,0.12
20171203,0.127803,0.161373,0.070777,0.106929,3038,2999820,0.12
20171202,0.118378,0.157461,0.103325,0.127418,1789,2778600,0.13
20171201,0.060231,0.124101,0.054003,0.118482,2158,1413760,0.09
20171130,0.054451,0.103821,0.050396,0.060531,307,1278080,0.08
20171129,0.098287,0.111168,0.052501,0.053627,355,2307030,0.08
20171128,0.111005,0.139833,0.096306,0.098040,937,2605530,0.12
20171127,0.067782,0.153326,0.067782,0.119863,11434,1591000,0.11
20171126,0.106737,0.114492,0.065533,0.067461,336,2505350,0.09
20171125,0.099561,0.111058,0.099561,0.106231,267,2336920,0.11
20171124,0.089784,0.101207,0.083334,0.099157,15,2107440,0.09
20171123,0.100924,0.102307,0.075268,0.090656,1758,2368910,0.09
20171122,0.068966,0.105041,0.068723,0.100144,151,1618780,0.09
20171121,0.093019,0.125196,0.067771,0.068814,64,2183360,0.10
20171120,0.072054,0.095936,0.069733,0.093021,102,1691280,0.08
20171119,0.075804,0.079951,0.070848,0.072459,1026,1779300,0.08
20171118,0.070056,0.075747,0.067969,0.075747,3359,1644360,0.07
20171117,0.068663,0.070636,0.062806,0.069799,498,1611680,0.07
20171116,0.068738,0.071513,0.062258,0.068293,1048,1613430,0.07
20171115,0.055026,0.070306,0.055026,0.068998,1534,1291590,0.06
20171114,0.061674,0.080872,0.033830,0.055207,2700,1447620,0.06
20171113,0.051104,0.076640,0.050694,0.061560,2194,1199510,0.06
20171112,0.079717,0.079717,0.049430,0.050908,1432,1871140,0.06
20171111,0.083872,0.085009,0.071844,0.079700,2412,1968660,0.08
20171110,0.095478,0.097895,0.080847,0.084384,724,2241080,0.09
20171109,0.089780,0.103945,0.085511,0.095259,878,2107330,0.09
20171108,0.081909,0.089372,0.081003,0.089193,32,1922580,0.09
20171107,0.077706,0.082143,0.077268,0.081586,21,1823940,0.08
20171106,0.097147,0.097402,0.077444,0.077444,9250,2280250,0.09
20171105,0.080420,0.099366,0.078532,0.096948,364,1887640,0.09
20171104,0.088049,0.091037,0.080528,0.080528,211,2066710,0.09
20171103,0.093080,0.102690,0.081946,0.088414,1657,2184800,0.09
20171102,0.098882,0.102773,0.090266,0.093198,144,2320980,0.10
20171101,0.123635,0.123635,0.096171,0.098800,1356,2901990,0.11
