date,open,high,low,close,volume,marketcap,average
20180110,8.34,8.59,7.34,7.69,1206490,122178000,7.96
20180109,8.50,9.45,8.20,8.33,1933650,124576000,8.82
20180108,7.90,8.80,7.31,8.60,2477470,115741000,8.05
20180107,7.91,9.11,7.85,7.85,1534860,115958000,8.48
20180106,7.09,8.34,6.98,7.92,973171,103903000,7.66
20180105,6.99,7.92,6.13,7.06,1615760,102431000,7.03
20180104,6.79,7.19,6.12,7.19,1799060,99532300,6.66
20180103,7.76,8.01,6.29,6.75,2411890,113727000,7.15
20180102,5.24,8.49,5.02,7.81,3071330,76828100,6.75
20180101,5.87,6.19,5.12,5.12,656562,85962900,5.66
20171231,5.44,6.26,4.67,5.79,1714710,79742100,5.46
20171230,6.26,7.16,5.10,5.50,3277320,91716600,6.13
20171229,4.03,6.84,3.87,6.34,3012330,59074100,5.36
20171228,3.91,4.14,3.43,3.98,485093,57279700,3.79
20171227,3.70,4.28,3.64,3.92,274532,54212800,3.96
20171226,3.89,4.18,3.62,3.73,402429,56950500,3.90
20171225,3.80,4.08,3.39,3.81,372251,55703500,3.74
20171224,3.87,3.94,3.26,3.72,334629,56654400,3.60
20171223,3.30,4.41,3.30,3.79,463509,48309600,3.85
20171222,4.17,4.37,2.53,3.31,484677,61101400,3.45
20171221,4.42,4.75,3.89,4.16,702814,64798900,4.32
20171220,4.05,4.56,3.41,4.41,777027,59389000,3.98
20171219,4.57,4.78,3.85,4.06,633251,66899500,4.32
20171218,3.95,4.78,3.79,4.50,1089080,57873600,4.29
20171217,3.52,4.69,3.38,3.94,1256090,51635000,4.04
20171216,3.35,3.91,3.26,3.53,653001,49061900,3.58
20171215,3.67,3.81,3.20,3.32,330720,53745300,3.50
20171214,3.74,3.74,3.31,3.66,407090,54761900,3.53
20171213,3.64,3.86,3.23,3.75,982082,53307500,3.54
20171212,3.55,3.90,3.36,3.90,419354,52066400,3.63
20171211,3.44,3.72,3.38,3.54,175110,50470400,3.55
20171210,3.73,3.73,3.18,3.47,177267,54675400,3.46
20171209,3.59,4.50,3.27,3.71,420236,52557000,3.88
20171208,3.53,3.76,3.10,3.60,255323,51754000,3.43
20171207,3.87,4.32,3.46,3.61,427294,56651500,3.89
20171206,3.66,3.95,3.35,3.93,340366,53590500,3.65
20171205,3.77,3.98,3.67,3.67,335602,55253700,3.83
20171204,3.93,4.04,3.60,3.72,296015,57637900,3.82
20171203,3.99,4.26,3.67,3.89,224745,58524400,3.96
20171202,3.97,4.28,3.93,3.99,141455,58220600,4.11
20171201,3.60,4.11,3.41,4.00,236802,52707700,3.76
20171130,3.52,4.30,3.20,3.62,305270,51500700,3.75
20171129,3.48,4.71,3.41,3.47,936159,51020300,4.06
20171128,3.14,3.73,3.08,3.56,416556,46037200,3.41
20171127,2.96,3.37,2.96,3.13,222685,43368800,3.17
20171126,2.66,3.50,2.65,2.98,659720,39041000,3.08
20171125,2.60,2.82,2.55,2.67,197326,38157200,2.68
20171124,2.90,3.04,2.60,2.60,222982,42515200,2.82
20171123,2.95,3.01,2.70,2.91,287609,43167400,2.85
20171122,2.58,2.96,2.55,2.96,264449,37786000,2.75
20171121,2.45,2.76,2.37,2.56,226090,35909200,2.56
20171120,2.53,2.74,2.35,2.45,346878,37090200,2.54
20171119,2.27,2.82,2.21,2.53,318886,33233800,2.51
20171118,2.09,2.58,2.06,2.25,683378,30566000,2.32
20171117,2.11,3.08,2.05,2.08,2807520,30958100,2.56
20171116,1.72,2.32,1.64,1.99,687475,25166200,1.98
20171115,1.60,1.73,1.59,1.68,90256,23502000,1.66
20171114,1.46,1.69,1.41,1.60,259151,21320800,1.55
20171113,1.43,1.61,1.33,1.45,170470,20947100,1.47
20171112,1.49,1.66,1.33,1.43,105777,21868700,1.50
20171111,1.57,1.67,1.47,1.49,75973,22982600,1.57
20171110,1.82,1.90,1.51,1.57,147538,26659000,1.71
20171109,1.67,1.88,1.55,1.81,247321,24530900,1.71
20171108,1.50,1.68,1.44,1.68,149643,21928000,1.56
20171107,1.51,1.57,1.43,1.50,92168,22157300,1.50
20171106,1.59,1.64,1.37,1.48,167147,23222800,1.50
20171105,1.85,1.99,1.43,1.55,344544,27148500,1.71
20171104,1.23,2.11,1.19,1.81,752746,17974500,1.65
20171103,1.20,1.34,1.18,1.23,132036,17630500,1.26
20171102,1.31,1.31,1.20,1.20,136680,19202400,1.25
20171101,1.41,1.48,1.25,1.31,162867,20627700,1.36
20171031,1.42,1.44,1.38,1.41,105977,20861700,1.41
20171030,1.44,1.47,1.41,1.45,43857,21050600,1.44
20171029,1.47,1.53,1.42,1.50,101437,21503400,1.48
20171028,1.51,1.57,1.46,1.47,56103,22169000,1.52
20171027,1.54,1.64,1.49,1.51,88994,22521300,1.56
20171026,1.63,1.68,1.47,1.54,74315,23919200,1.57
20171025,1.67,1.72,1.49,1.61,122234,24495300,1.60
20171024,1.49,1.78,1.43,1.66,177141,21784100,1.60
20171023,1.66,1.88,1.51,1.51,102563,24280600,1.69
20171022,1.45,1.78,1.44,1.75,141668,21276900,1.61
20171021,1.64,1.71,1.43,1.45,164907,24005300,1.57
20171020,1.75,1.78,1.60,1.63,157370,25582400,1.69
20171019,1.79,1.91,1.68,1.77,253780,26180800,1.79
20171018,1.70,2.11,1.61,1.80,663521,24895900,1.86
20171017,1.77,1.80,1.60,1.70,181408,25931200,1.70
20171016,1.93,1.94,1.67,1.76,168296,28301300,1.80
20171015,2.15,2.27,1.79,1.93,530020,31441700,2.03
20171014,1.79,2.53,1.63,2.12,1293570,26294300,2.08
20171013,1.93,2.01,1.60,1.79,419542,28298800,1.80
