date,open,high,low,close,volume,marketcap,average
20180110,0.422069,0.423001,0.177173,0.189429,6031,642174,0.30
20180109,0.173339,0.446398,0.121437,0.421516,25174,263734,0.28
20180108,0.325699,0.326920,0.168207,0.173813,3375,495549,0.25
20180107,0.183895,0.330001,0.115404,0.326155,17782,279795,0.22
20180106,0.090340,0.184524,0.089349,0.184030,5099,137451,0.14
20180105,0.129080,0.223484,0.081902,0.090268,7007,196395,0.15
20180104,0.145526,0.248649,0.115255,0.129055,9544,221416,0.18
20180103,0.107287,0.153146,0.083427,0.144733,7456,163237,0.12
20180102,0.162073,1.35,0.106641,0.107670,6175,246593,0.73
20180101,0.377625,0.377918,0.131875,0.162086,4342,574554,0.25
20171231,0.250863,0.387098,0.183519,0.376170,4609,381685,0.29
20171230,0.119785,0.342043,0.118724,0.253602,2252,182252,0.23
20171229,0.135995,0.263325,0.117017,0.120087,4781,206915,0.19
20171228,0.080420,0.134601,0.070516,0.134601,327,122358,0.10
20171227,0.085002,0.091246,0.076254,0.080589,553,129330,0.08
20171226,0.076776,0.122435,0.076696,0.087638,1012,116815,0.10
20171225,0.093268,0.115754,0.076855,0.076855,4857,141907,0.10
20171224,0.071214,0.095041,0.061564,0.092310,300,107744,0.08
20171223,0.075843,0.103800,0.063298,0.070436,1723,163425,0.08
20171222,0.136104,0.137445,0.051222,0.075134,1594,199724,0.09
20171221,0.125868,0.162230,0.044457,0.135634,10040,160972,0.10
20171220,0.132749,0.134406,0.094166,0.125539,5169,168639,0.11
20171219,0.150649,0.157094,0.119208,0.132880,2227,189829,0.14
20171218,0.202857,1.08,0.055193,0.150495,12125,200207,0.57
20171217,0.180954,0.208734,0.147701,0.202245,4707,174140,0.18
20171216,0.151438,0.182483,0.120444,0.180931,5014,144667,0.15
20171215,0.136312,1.38,0.119819,0.151214,11015,99424,0.75
20171214,0.112020,0.197583,0.043584,0.136107,2062,81706,0.12
20171213,0.125455,0.158854,0.111534,0.112380,5276,91505,0.14
20171212,0.141740,0.168056,0.117135,0.125350,1876,103383,0.14
20171211,0.227145,0.236167,0.118349,0.141367,7313,165676,0.18
20171210,0.223619,0.274990,0.109699,0.230462,11112,163105,0.19
20171209,0.269632,0.397826,0.041483,0.222880,27513,196666,0.22
20171208,0.598252,0.599826,0.050943,0.269904,15313,,0.33
20171207,1.03,1.10,0.320821,0.596848,40833,,0.71
20171206,0.925136,1.03,0.377661,1.03,31410,,0.70
20171205,0.572563,1.16,0.422714,0.927192,9830,,0.79
20171204,0.503807,0.708453,0.374321,0.566355,6136,,0.54
20171203,0.788258,0.850759,0.419936,0.427113,19525,,0.64
20171202,0.945879,0.953459,0.581519,0.787506,7696,,0.77
20171201,1.55,1.70,0.842299,1.02,21712,,1.27
20171130,1.42,1.99,0.860917,1.56,14750,,1.43
20171129,1.70,1.97,1.29,1.40,4518,,1.63
20171128,1.76,2.02,1.70,1.71,7172,,1.86
20171127,2.05,2.14,1.71,1.75,9738,,1.93
20171126,1.94,2.13,1.64,2.05,11599,,1.88
20171125,1.87,2.16,1.75,1.94,6124,,1.96
20171124,1.77,2.24,1.46,1.88,11840,,1.85
20171123,1.51,2.06,1.51,1.78,8929,,1.79
20171122,1.66,1.98,1.26,1.51,14103,,1.62
20171121,1.84,1.87,1.16,1.61,49996,,1.52
20171120,1.86,2.38,1.64,1.84,67228,,2.01
20171119,2.04,2.92,1.48,1.66,79344,,2.20
20171118,0.766051,3.07,0.762746,2.25,125788,,1.92
20171117,1.03,1.08,0.773294,0.848795,22824,,0.93
