date,open,high,low,close,volume,marketcap,average
20180110,4.95,5.20,3.96,4.48,27748100,64390900,4.58
20180109,4.03,6.93,4.03,5.03,111948000,52329300,5.48
20180108,4.41,4.55,3.48,4.03,26606000,57313200,4.01
20180107,5.22,6.09,4.33,4.41,32660500,67918700,5.21
20180106,8.35,8.77,4.59,5.21,133625000,108507000,6.68
20180105,1.48,9.76,1.48,8.71,678988000,17741500,5.62
20180104,1.19,1.65,1.11,1.49,6112850,14259000,1.38
20180103,0.988856,1.33,0.922010,1.18,4372930,11866300,1.13
20180102,0.981516,1.05,0.881811,0.985788,2878050,11778200,0.97
20180101,0.801443,0.997671,0.773283,0.997671,2503880,9617320,0.89
20171231,0.691283,0.897991,0.686250,0.795855,1683790,8295390,0.79
20171230,0.803402,0.805491,0.645126,0.697203,1274600,9640820,0.73
20171229,0.780007,0.852642,0.768232,0.801706,1700730,9360090,0.81
20171228,0.870911,0.876527,0.705869,0.774182,1462450,10450900,0.79
20171227,0.844948,0.986421,0.754839,0.868593,6968510,10139400,0.87
20171226,0.811500,0.985269,0.720303,0.846660,5421950,9738000,0.85
20171225,1.01,1.16,0.811033,0.813452,8124980,12144400,0.99
20171224,0.739043,1.18,0.678962,1.00,19853500,8868520,0.93
20171223,0.530564,0.997347,0.530564,0.760746,8853020,6366770,0.76
20171222,0.674080,0.678468,0.389068,0.539270,4887560,8088960,0.53
20171221,0.691235,0.834699,0.634778,0.667188,5438250,8294820,0.73
20171220,0.811565,0.811565,0.668918,0.687136,4586780,9738780,0.74
20171219,1.03,1.12,0.783811,0.812405,7857450,12273300,0.95
20171218,0.760996,1.26,0.654848,1.04,27886100,9096510,0.96
20171217,0.422986,0.965809,0.409135,0.774203,21341000,4992680,0.69
20171216,0.326847,0.455132,0.317654,0.424104,2828110,3857920,0.39
20171215,0.296497,0.331261,0.291012,0.327236,2201720,3499680,0.31
20171214,0.292682,0.320651,0.277071,0.294539,2169510,3454650,0.30
20171213,0.318632,0.329383,0.268165,0.293513,1795730,3760950,0.30
20171212,0.334745,0.337584,0.281253,0.310024,2277320,3951140,0.31
20171211,0.308446,0.333816,0.305126,0.332323,2104580,3640720,0.32
20171210,0.388208,0.388208,0.294977,0.313591,2156110,4582180,0.34
20171209,0.346537,0.391088,0.341048,0.380245,2319150,4090330,0.37
20171208,0.335143,0.387807,0.291958,0.349120,3184720,3955830,0.34
20171207,0.392634,0.438816,0.323369,0.332279,3368770,4634430,0.38
20171206,0.448479,0.491992,0.354809,0.396767,3646760,5293590,0.42
20171205,0.378615,0.503655,0.366418,0.458770,4878610,4468960,0.44
20171204,0.367190,0.411789,0.293171,0.375844,1883860,4334100,0.35
20171203,0.391254,0.433552,0.350709,0.368282,2012870,,0.39
20171202,0.432429,0.435213,0.358572,0.390181,2290030,,0.40
20171201,0.427791,0.447056,0.389977,0.428721,2250470,5049400,0.42
20171130,0.429317,0.501309,0.363984,0.433214,2745270,5067410,0.43
20171129,0.443705,0.560103,0.428471,0.428471,17130300,5237240,0.49
20171128,0.516917,0.527148,0.435499,0.447260,7123810,6101390,0.48
20171127,0.598887,0.664023,0.458878,0.525177,5029670,7068920,0.56
20171126,0.489750,0.668413,0.466565,0.570038,4644140,5780730,0.57
20171125,0.392880,0.545516,0.359077,0.499528,2289220,4637330,0.45
20171124,0.413178,0.424845,0.328905,0.393698,1037270,4876920,0.38
20171123,0.510906,0.518978,0.397649,0.414036,946675,5996920,0.46
20171122,0.399797,0.550391,0.383617,0.522613,1826880,4632780,0.47
20171121,0.358730,0.464723,0.345421,0.399601,434965,4156890,0.41
20171120,0.432644,0.448023,0.348672,0.358629,426967,4948500,0.40
20171119,0.524254,0.534372,0.403233,0.432708,724316,5996320,0.47
20171118,0.367891,0.534216,0.310966,0.529032,914274,4207860,0.42
20171117,0.417583,0.449705,0.310318,0.369850,207614,4776240,0.38
20171116,0.575151,0.600524,0.411096,0.427500,593668,6578470,0.51
20171115,0.657207,0.810280,0.527536,0.587885,2159790,7517010,0.67
20171114,0.436798,0.730763,0.420990,0.649079,745653,4996010,0.58
20171113,0.308690,0.457266,0.308690,0.436800,309224,3530730,0.38
20171112,0.308041,0.365092,0.270087,0.308200,30301,3523320,0.32
20171111,0.258029,0.355304,0.257694,0.308008,71937,2940760,0.31
20171110,0.301310,0.508138,0.255774,0.258775,145464,3434030,0.38
20171109,0.406963,0.499344,0.298993,0.301159,53176,4638150,0.40
20171108,0.405288,0.500173,0.403685,0.409193,12304,,0.45
20171107,0.483592,0.483592,0.403047,0.405516,8757,,0.44
