date,open,high,low,close,volume,marketcap,average
20180110,178.01,322.44,126.81,135.92,88611,21748700,224.62
20180109,67.27,270.20,67.27,194.97,161151,8218460,168.73
20180108,43.63,156.17,31.30,123.12,66704,5330260,93.73
20180107,41.66,43.69,35.66,43.69,3505,5090380,39.67
20180106,41.36,44.20,36.58,41.70,4948,5053020,40.39
20180105,32.73,42.70,30.80,41.33,7555,3998740,36.75
20180104,31.25,47.43,26.28,32.72,2701,3817970,36.86
20180103,26.77,34.48,19.88,31.09,2987,3270150,27.18
20180102,22.55,36.01,19.95,26.86,2803,2754670,27.98
20180101,26.03,26.09,19.12,22.55,2021,3180250,22.61
20171231,23.71,28.30,23.27,26.01,2205,2896330,25.79
20171230,38.55,38.55,23.32,23.94,4496,4709610,30.93
20171229,28.11,39.04,27.54,38.65,6966,3433800,33.29
20171228,21.72,27.83,18.39,27.83,3368,2653530,23.11
20171227,21.00,24.14,20.81,21.76,1662,2565420,22.48
20171226,28.01,28.44,18.24,20.98,1558,3421980,23.34
20171225,16.61,28.20,15.26,28.04,1061,2028780,21.73
20171224,17.72,18.96,15.56,16.44,3836,2165260,17.26
20171223,19.83,21.08,17.45,17.53,5033,2423300,19.27
20171222,19.52,22.15,16.45,19.65,5016,2384810,19.30
20171221,22.30,24.29,17.70,19.46,6334,2724270,20.99
20171220,19.85,22.90,18.01,22.24,7015,2424980,20.45
20171219,29.74,29.88,19.24,19.87,4653,3634000,24.56
20171218,24.28,29.88,24.07,29.72,3164,2965810,26.98
20171217,26.99,28.05,22.77,24.20,2154,3298000,25.41
20171216,24.74,29.10,21.32,26.98,3184,3023010,25.21
20171215,25.65,29.01,19.08,24.71,6984,3133790,24.05
20171214,22.83,25.66,16.65,25.61,3034,2789590,21.16
20171213,20.31,23.13,15.27,22.91,3959,2481910,19.20
20171212,17.11,21.08,16.83,20.29,3521,2090470,18.95
20171211,14.34,18.52,14.28,17.06,2308,1752340,16.40
20171210,22.30,23.78,13.70,14.44,3701,2724300,18.74
20171209,17.67,25.56,17.53,22.21,3345,2158850,21.55
20171208,27.90,29.64,16.80,17.69,3077,3408420,23.22
20171207,20.83,33.56,13.40,33.56,7377,2545470,23.48
20171206,16.59,23.23,13.83,20.87,3279,2026620,18.53
