date,open,high,low,close,volume,marketcap,average
20180110,0.040370,0.052687,0.039675,0.052687,46126,2025060,0.05
20180109,0.033533,0.044554,0.029356,0.032210,53837,1681860,0.04
20180108,0.028586,0.031907,0.021121,0.031849,23119,957593,0.03
20180107,0.031804,0.031806,0.022992,0.028626,7013,1065170,0.03
20180106,0.018470,0.032171,0.018470,0.031828,20810,618465,0.03
20180105,0.023765,0.026578,0.016240,0.018455,16026,795592,0.02
20180104,0.018687,0.025163,0.018607,0.023760,29057,625459,0.02
20180103,0.013807,0.018262,0.013598,0.018262,22121,458921,0.02
20180102,0.012664,0.016407,0.011066,0.013856,11649,420849,0.01
20180101,0.011809,0.012813,0.009636,0.012665,4401,392361,0.01
20171231,0.007959,0.012067,0.007879,0.011763,4935,264374,0.01
20171230,0.010106,0.010420,0.008028,0.008046,2204,335630,0.01
20171229,0.008020,0.010248,0.007033,0.010016,1983,,0.01
20171228,0.009733,0.011284,0.006909,0.007737,2019,,0.01
20171227,0.005413,0.016148,0.005376,0.009754,7914,,0.01
20171226,0.003685,0.005500,0.003571,0.005412,224,,0.00
20171225,0.004904,0.007345,0.003474,0.003547,1282,,0.01
20171224,0.004943,0.006568,0.004314,0.004854,471,,0.01
20171223,0.004279,0.005289,0.004249,0.004889,232,,0.00
20171222,0.004277,0.004600,0.003433,0.004239,387,,0.00
20171221,0.003626,0.005198,0.003592,0.004262,709,,0.00
20171220,0.004779,0.004796,0.003468,0.003617,480,,0.00
20171219,0.004664,0.005934,0.004262,0.004784,573,,0.01
20171218,0.005590,0.006247,0.004568,0.004660,219,,0.01
20171217,0.005206,0.005822,0.004963,0.005573,255,,0.01
20171216,0.004941,0.005269,0.003817,0.005205,138,,0.00
20171215,0.003859,0.005772,0.003320,0.004934,996,,0.00
20171214,0.005076,0.005631,0.003840,0.003853,17,,0.00
20171213,0.004368,0.005884,0.004368,0.005093,4,,0.01
20171212,0.006606,0.007193,0.003973,0.004364,725,,0.01
20171211,0.003812,0.006638,0.003795,0.006585,1144,,0.01
20171210,0.004662,0.004890,0.003659,0.003839,198,,0.00
20171209,0.004717,0.004974,0.003928,0.004643,142,,0.00
20171208,0.005278,0.005460,0.002450,0.004721,2695,,0.00
20171207,0.003983,0.005266,0.003983,0.005266,792,,0.00
20171206,0.003556,0.005229,0.003556,0.003990,40,,0.00
20171205,0.003847,0.003933,0.002765,0.003564,75,,0.00
20171204,0.004638,0.004762,0.002153,0.003839,664,,0.00
20171203,0.005969,0.006485,0.004368,0.004623,153,,0.01
20171202,0.005986,0.006800,0.004681,0.005963,706,,0.01
20171201,0.005162,0.005991,0.004920,0.005991,21,,0.01
20171130,0.005406,0.005765,0.004616,0.005188,118,,0.01
20171129,0.005099,0.006078,0.005001,0.005324,35,,0.01
20171128,0.006182,0.006279,0.005070,0.005104,1277,,0.01
20171127,0.006887,0.007191,0.006034,0.006166,621,,0.01
20171126,0.005337,0.006907,0.005056,0.006886,41,,0.01
20171125,0.005911,0.006106,0.004329,0.005339,117,,0.01
20171124,0.005888,0.007329,0.005776,0.005923,9,,0.01
20171123,0.005963,0.005992,0.005794,0.005896,124,,0.01
20171122,0.007590,0.007941,0.005794,0.005965,865,,0.01
20171121,0.006807,0.008192,0.006436,0.007572,144,,0.01
20171120,0.006596,0.008743,0.006517,0.006806,121,,0.01
20171119,0.006765,0.009364,0.006542,0.006599,1325,,0.01
20171118,0.006072,0.008032,0.005886,0.006778,92,,0.01
20171117,0.006368,0.006518,0.005913,0.006095,206,,0.01
20171116,0.006865,0.006991,0.006019,0.006378,172,,0.01
20171115,0.005183,0.008582,0.004851,0.006829,5228,,0.01
20171114,0.004448,0.005199,0.003797,0.005179,404,,0.00
20171113,0.004667,0.005996,0.004130,0.004439,861,,0.01
20171112,0.006106,0.006707,0.003686,0.004661,156,,0.01
20171111,0.006946,0.007765,0.004582,0.006110,7593,,0.01
20171110,0.005337,0.007024,0.005337,0.006672,3577,,0.01
20171109,0.004436,0.005674,0.004330,0.005322,457,,0.01
20171108,0.004642,0.004808,0.004240,0.004441,291,,0.00
20171107,0.003049,0.005182,0.003049,0.004656,3152,,0.00
20171106,0.003311,0.003736,0.003043,0.003054,26,,0.00
20171105,0.003204,0.003545,0.002995,0.003303,24,,0.00
20171104,0.004372,0.004428,0.003126,0.003210,143,,0.00
20171103,0.003024,0.004682,0.002991,0.004383,836,,0.00
20171102,0.003295,0.003337,0.002683,0.003028,228,,0.00
20171101,0.003880,0.004404,0.002889,0.003291,933,,0.00
20171031,0.002593,0.003882,0.002593,0.003882,126,,0.00
20171030,0.003587,0.003590,0.002339,0.002601,534,,0.00
20171029,0.003196,0.004373,0.003110,0.003608,1140,,0.00
20171028,0.004855,0.005021,0.003196,0.003201,190,,0.00
20171027,0.003360,0.004852,0.003356,0.004842,696,,0.00
20171026,0.006742,0.006834,0.002927,0.003359,1981,,0.00
20171025,0.004777,0.006755,0.002849,0.006743,3546,,0.00
20171024,0.002671,0.004849,0.002534,0.004775,1907,,0.00
20171023,0.003442,0.003475,0.002289,0.002676,1275,,0.00
20171022,0.003380,0.003762,0.003264,0.003447,554,,0.00
20171021,0.005107,0.005320,0.003377,0.003379,472,,0.00
20171020,0.005236,0.005246,0.003927,0.005117,2089,,0.00
20171019,0.005563,0.005931,0.005194,0.005234,900,,0.01
20171018,0.004086,0.005587,0.003326,0.005560,2399,,0.00
20171017,0.004274,0.004286,0.004045,0.004085,153,,0.00
20171016,0.004864,0.005113,0.003869,0.004273,408,,0.00
20171015,0.002975,0.005305,0.002795,0.004864,1710,,0.00
20171014,0.003676,0.003873,0.002910,0.002969,342,,0.00
20171013,0.004219,0.004602,0.003190,0.003675,1049,,0.00
20171012,0.003668,0.004715,0.003658,0.004206,2660,,0.00
20171011,0.004182,0.004189,0.003541,0.003665,237,,0.00
20171010,0.003645,0.004245,0.003458,0.004183,1802,,0.00
20171009,0.003962,0.004429,0.003474,0.003645,1668,,0.00
20171008,0.003632,0.004440,0.003593,0.003961,2498,,0.00
20171007,0.003671,0.003805,0.003341,0.003641,687,,0.00
20171006,0.003675,0.004054,0.003357,0.003573,1799,,0.00
20171005,0.003974,0.003979,0.003241,0.003675,1701,,0.00
20171004,0.003853,0.003986,0.003466,0.003970,606,,0.00
20171003,0.003522,0.003886,0.003407,0.003844,955,,0.00
20171002,0.003715,0.004219,0.003516,0.003522,3089,,0.00
20171001,0.003800,0.003972,0.003537,0.003716,2361,,0.00
20170930,0.003801,0.003940,0.003601,0.003798,713,,0.00
20170929,0.004143,0.004218,0.003459,0.003801,3678,,0.00
20170928,0.003781,0.004449,0.003693,0.004146,2232,,0.00
20170927,0.003613,0.003796,0.003245,0.003781,5190,,0.00
20170926,0.003855,0.004386,0.003619,0.003623,2695,,0.00
20170925,0.003900,0.004455,0.003034,0.003855,7494,,0.00
20170924,0.005070,0.005070,0.003898,0.003904,843,,0.00
20170923,0.003373,0.005398,0.003344,0.005071,3246,,0.00
20170922,0.005860,0.005963,0.003115,0.003382,2139,,0.00
20170921,0.003719,0.005874,0.003336,0.005866,1222,,0.00
20170920,0.003636,0.004042,0.003179,0.003737,2096,,0.00
20170919,0.003693,0.003745,0.003512,0.003641,819,,0.00
20170918,0.003173,0.003730,0.003173,0.003684,147,,0.00
20170917,0.003289,0.003656,0.002921,0.003179,1909,,0.00
20170916,0.003337,0.003754,0.003020,0.003291,634,,0.00
20170915,0.003499,0.003822,0.002919,0.003346,4867,,0.00
20170914,0.003368,0.004294,0.003018,0.003472,6879,,0.00
20170913,0.006044,0.006044,0.003368,0.003369,20036,,0.00
20170912,0.004917,0.006042,0.004897,0.006042,315,,0.01
20170911,0.004792,0.006140,0.004026,0.004912,2057,,0.01
20170910,0.005717,0.006366,0.004785,0.004800,1832,,0.01
20170909,0.005840,0.006184,0.004746,0.005732,675,,0.01
20170908,0.006273,0.007645,0.005042,0.005828,11342,,0.01
20170907,0.006115,0.008153,0.005725,0.006272,10685,,0.01
20170906,0.006290,0.008508,0.005558,0.006242,33475,,0.01
20170905,0.005818,0.008784,0.004868,0.006283,20311,,0.01
20170904,0.004338,0.005913,0.003628,0.005788,2676,,0.00
20170903,0.004008,0.004357,0.003856,0.004336,301,,0.00
20170902,0.003693,0.004018,0.003434,0.004006,1419,,0.00
20170901,0.005130,0.005889,0.003688,0.003688,3214,,0.00
20170831,0.004755,0.005142,0.003845,0.005129,4791,,0.00
20170830,0.004082,0.004857,0.004067,0.004763,2915,,0.00
20170829,0.004259,0.005088,0.004074,0.004088,2136,,0.00
20170828,0.003951,0.004433,0.003819,0.004251,445,,0.00
20170827,0.004405,0.004481,0.003911,0.003955,440,,0.00
20170826,0.006069,0.006421,0.004171,0.004406,3253,,0.01
20170825,0.004267,0.006422,0.003963,0.006068,3041,,0.01
20170824,0.004303,0.004309,0.003819,0.004273,1431,,0.00
20170823,0.005335,0.005893,0.003843,0.004302,981,,0.00
20170822,0.004081,0.005418,0.003582,0.005346,432,,0.00
20170821,0.004187,0.004767,0.003645,0.004072,639,,0.00
20170820,0.004235,0.005465,0.003864,0.004203,2612,,0.00
20170819,0.005355,0.005701,0.004206,0.004254,8327,,0.00
20170818,0.005860,0.006561,0.005195,0.005360,82382,,0.01
20170817,0.005924,0.006484,0.004737,0.005878,36038,,0.01
20170816,0.004791,0.006670,0.004044,0.005929,21536,,0.01
20170815,0.003599,0.004871,0.003331,0.004786,2924,,0.00
20170814,0.004915,0.004965,0.002745,0.003590,5624,,0.00
20170813,0.004330,0.005270,0.004032,0.004912,667,,0.00
20170812,0.011587,0.011914,0.004071,0.004334,2384,111277,0.01
20170811,0.004467,0.011630,0.004445,0.011596,4782,42896,0.01
20170810,0.005338,0.006586,0.003934,0.004467,10916,51262,0.01
20170809,0.006433,0.006448,0.004380,0.005337,12608,61782,0.01
20170808,0.006453,0.007378,0.004889,0.006437,20680,61971,0.01
20170807,0.002997,0.006532,0.002997,0.006509,8636,28782,0.00
20170806,0.003249,0.003903,0.002994,0.003004,2157,31200,0.00
20170805,0.003141,0.003912,0.002543,0.003248,52033,30168,0.00
20170804,0.002554,0.003459,0.002298,0.003143,76694,24532,0.00
20170803,0.003257,0.003963,0.001879,0.002555,20318,31282,0.00
20170802,0.003439,0.003702,0.003101,0.003251,292,33024,0.00
20170801,0.004120,0.004160,0.002912,0.003439,933,39565,0.00
20170731,0.004166,0.004260,0.003816,0.004117,21326,40006,0.00
20170730,0.004102,0.004604,0.003885,0.004161,42178,39398,0.00
20170729,0.005320,0.005659,0.003934,0.004103,134488,51088,0.00
20170728,0.004004,0.005731,0.003989,0.005340,206,38450,0.00
20170727,0.008084,0.009547,0.003992,0.003992,1781,77635,0.01
20170726,0.005790,0.008206,0.004882,0.008061,1150,55601,0.01
20170725,0.006376,0.006450,0.004702,0.005787,293,61230,0.01
20170724,0.006014,0.006376,0.004769,0.006376,60,57757,0.01
20170723,0.006367,0.007246,0.005220,0.006021,1424,61143,0.01
20170722,0.005470,0.008566,0.004626,0.006367,11745,52528,0.01
20170721,0.004135,0.007506,0.004030,0.005471,125428,39708,0.01
20170720,0.004201,0.005595,0.003874,0.004104,5364,40344,0.00
20170719,0.005411,0.005411,0.004107,0.004214,2383,51961,0.00
20170718,0.006134,0.006134,0.003518,0.005402,6142,58911,0.00
20170717,0.003364,0.006149,0.003364,0.006118,5443,32304,0.00
20170716,0.005303,0.005906,0.003597,0.003966,8159,50933,0.00
20170715,0.005658,0.007765,0.002977,0.005319,10673,54335,0.01
20170714,0.003933,0.011207,0.003169,0.006547,14785,37771,0.01
20170713,0.003365,0.004036,0.003101,0.003936,865,32313,0.00
20170712,0.003044,0.003799,0.002966,0.003362,1042,29236,0.00
20170711,0.003854,0.003901,0.003036,0.003059,279,37016,0.00
20170710,0.004935,0.005536,0.003120,0.003863,791,47397,0.00
20170709,0.003526,0.006153,0.003477,0.004926,2782,33862,0.00
20170708,0.003252,0.004909,0.003216,0.003523,200,31233,0.00
20170707,0.003716,0.004319,0.003217,0.003249,580,35686,0.00
20170706,0.003752,0.004322,0.003698,0.003713,29,36035,0.00
20170705,0.004300,0.004353,0.003697,0.003750,271,41292,0.00
20170704,0.004033,0.004407,0.003703,0.004302,1114,38733,0.00
20170703,0.003535,0.004285,0.003508,0.004042,182,33950,0.00
20170702,0.003514,0.003917,0.003463,0.003548,186,33750,0.00
20170701,0.003800,0.004433,0.003485,0.003515,325,36497,0.00
20170630,0.003895,0.004639,0.003787,0.003802,18,37407,0.00
20170629,0.003982,0.004697,0.003762,0.003887,308,38242,0.00
20170628,0.003798,0.004661,0.003632,0.003986,93,36473,0.00
20170627,0.003383,0.003901,0.003138,0.003771,237,32490,0.00
20170626,0.003475,0.004170,0.003218,0.003383,23,33374,0.00
20170625,0.004361,0.004401,0.003164,0.003477,44,41884,0.00
20170624,0.004350,0.004403,0.003189,0.004371,55,41775,0.00
20170623,0.003147,0.005237,0.003147,0.004350,9,30228,0.00
20170622,0.003704,0.004093,0.003147,0.003147,918,35568,0.00
20170621,0.004097,0.004579,0.003510,0.003704,115,39344,0.00
20170620,0.003897,0.004122,0.003747,0.004097,485,37425,0.00
20170619,0.004496,0.004496,0.003747,0.003897,40,43182,0.00
20170618,0.004621,0.004621,0.003797,0.004496,14,44382,0.00
20170617,0.004746,0.004871,0.004047,0.004621,1295,45581,0.00
20170616,0.004586,0.005496,0.004403,0.004746,1,44044,0.00
20170615,0.005824,0.006186,0.004405,0.004590,113,55932,0.01
20170614,0.006829,0.007229,0.004456,0.005824,859,65584,0.01
20170613,0.007185,0.007387,0.004738,0.006833,156,68998,0.01
20170612,0.007139,0.007276,0.005035,0.007209,83,68558,0.01
20170611,0.008616,0.008624,0.007060,0.007148,9,82745,0.01
20170610,0.007882,0.008767,0.005452,0.008621,983,75694,0.01
20170609,0.007003,0.008283,0.005282,0.007870,464,67257,0.01
20170608,0.005536,0.007146,0.005309,0.007014,183,53164,0.01
20170607,0.007081,0.008663,0.005508,0.005508,338,68009,0.01
20170606,0.005969,0.008005,0.005348,0.007080,85,57327,0.01
20170605,0.004841,0.007605,0.004841,0.005951,71,46490,0.01
20170604,0.004561,0.007522,0.004415,0.004840,889,43806,0.01
20170603,0.005197,0.006116,0.004254,0.004574,86,49913,0.01
20170602,0.004499,0.005200,0.004226,0.005200,52,43211,0.00
20170601,0.004725,0.004940,0.004016,0.004940,172,45376,0.00
20170531,0.004534,0.004759,0.003915,0.004721,88,43539,0.00
20170530,0.004413,0.004692,0.004009,0.004516,78,42384,0.00
20170529,0.004419,0.004583,0.003784,0.004408,72,42441,0.00
20170528,0.002946,0.004467,0.002946,0.004428,217,28296,0.00
20170527,0.003452,0.003556,0.002871,0.002929,17,33153,0.00
20170526,0.003890,0.005167,0.003082,0.003441,287,37363,0.00
20170525,0.005844,0.006136,0.003816,0.003919,254,56124,0.00
20170524,0.005193,0.005985,0.004438,0.005855,37,49871,0.01
20170523,0.003707,0.005201,0.003707,0.005187,76,35599,0.00
20170522,0.004520,0.004645,0.003557,0.003712,181,43407,0.00
20170521,0.004593,0.004697,0.004403,0.004505,645,44110,0.00
20170520,0.004467,0.004621,0.004396,0.004595,828,42900,0.00
20170519,0.004439,0.004728,0.004290,0.004472,1153,42635,0.00
20170518,0.004273,0.004533,0.004273,0.004437,494,41034,0.00
20170517,0.004531,0.005197,0.004232,0.004275,875,43514,0.00
20170516,0.006756,0.006760,0.004502,0.004532,170,64879,0.01
20170515,0.004604,0.007827,0.004336,0.006766,653,44219,0.01
20170514,0.004949,0.005545,0.004407,0.004602,1239,47530,0.00
20170513,0.005096,0.005945,0.004486,0.004933,4356,48937,0.01
20170512,0.006819,0.007825,0.005018,0.005106,2586,65484,0.01
20170511,0.013931,0.014710,0.006426,0.006812,532,133790,0.01
20170510,0.013912,0.013943,0.003552,0.013906,912,133603,0.01
20170509,0.010688,0.014442,0.009942,0.013902,870,102645,0.01
20170508,0.011178,0.013248,0.010252,0.010685,27,107354,0.01
20170507,0.009208,0.012548,0.009208,0.011177,68,88434,0.01
20170506,0.011785,0.011902,0.009138,0.009204,96,113181,0.01
20170505,0.007720,0.011924,0.007720,0.011775,57,74138,0.01
20170504,0.010837,0.012055,0.005391,0.007704,2885,104080,0.01
20170503,0.009188,0.010852,0.008685,0.010833,270,88238,0.01
20170502,0.011297,0.011614,0.009026,0.009182,55,108495,0.01
20170501,0.015195,0.015426,0.008523,0.011302,9462,145931,0.01
20170430,0.014792,0.015191,0.014070,0.015191,924,142055,0.01
20170429,0.014101,0.014823,0.014101,0.014791,186,135421,0.01
20170428,0.013968,0.014707,0.013828,0.014086,1175,134145,0.01
20170427,0.012947,0.013984,0.012941,0.013968,358,124339,0.01
20170426,0.013546,0.013661,0.012804,0.012939,247,130093,0.01
20170425,0.013017,0.013561,0.013012,0.013541,84,125013,0.01
20170424,0.012713,0.013146,0.012399,0.013014,1710,122094,0.01
20170423,0.011247,0.012879,0.011126,0.012869,1071,108017,0.01
20170422,0.012582,0.012918,0.009767,0.011246,3811,120831,0.01
20170421,0.012294,0.012875,0.012217,0.012575,2269,118070,0.01
20170420,0.010863,0.012296,0.010689,0.012291,4720,104329,0.01
20170419,0.009867,0.010856,0.009829,0.010856,3884,94757,0.01
20170418,0.005706,0.009863,0.005675,0.009863,10088,54801,0.01
20170417,0.005147,0.005708,0.004912,0.005707,1298,49432,0.01
20170416,0.004984,0.005150,0.004984,0.005146,30,47861,0.01
20170415,0.005136,0.005137,0.004859,0.004983,38,49326,0.00
