date,open,high,low,close,volume,marketcap,average
20180110,0.003943,0.004379,0.002996,0.004200,82355,,0.00
20180109,0.004367,0.004519,0.002922,0.003938,116982,,0.00
20180108,0.005700,0.005700,0.003728,0.004228,129142,,0.00
20180107,0.006193,0.006246,0.003071,0.005545,173249,,0.00
20180106,0.001686,0.006749,0.001669,0.006370,407716,,0.00
20180105,0.001823,0.002305,0.001376,0.001685,88110,,0.00
20180104,0.000908,0.001931,0.000885,0.001823,202222,,0.00
20180103,0.001039,0.001081,0.000597,0.000756,42471,,0.00
20180102,0.000809,0.001112,0.000690,0.001042,186548,,0.00
20180101,0.000423,0.000819,0.000388,0.000808,50776,,0.00
20171231,0.000380,0.000558,0.000268,0.000421,16584,,0.00
20171230,0.000435,0.000435,0.000272,0.000384,2936,,0.00
20171229,0.000579,0.000602,0.000283,0.000436,13683,,0.00
20171228,0.000621,0.000623,0.000409,0.000573,7038,,0.00
20171227,0.000475,0.000643,0.000313,0.000622,10705,,0.00
20171226,0.000557,0.000750,0.000278,0.000475,15989,,0.00
20171225,0.000986,0.001239,0.000410,0.000558,68934,,0.00
20171224,0.000292,0.001424,0.000138,0.000976,387366,,0.00
20171223,0.000276,0.000313,0.000150,0.000289,2261,,0.00
20171222,0.000314,0.000317,0.000229,0.000273,512,,0.00
20171221,0.000330,0.000348,0.000303,0.000313,548,,0.00
20171220,0.000352,0.000357,0.000171,0.000329,154,,0.00
20171219,0.000383,0.000384,0.000189,0.000353,315,,0.00
20171218,0.000383,0.000386,0.000186,0.000382,586,,0.00
20171217,0.000390,0.000394,0.000191,0.000381,1484,,0.00
20171216,0.000353,0.000393,0.000180,0.000389,203,,0.00
20171215,0.000332,0.000361,0.000177,0.000352,433,,0.00
20171214,0.000164,0.000341,0.000162,0.000331,552,,0.00
20171213,0.000346,0.000349,0.000159,0.000164,83,,0.00
20171212,0.000168,0.000355,0.000167,0.000345,419,,0.00
20171211,0.000305,0.000350,0.000164,0.000168,454,,0.00
20171210,0.000150,0.000315,0.000132,0.000307,1401,,0.00
20171209,0.000325,0.000330,0.000142,0.000150,150,,0.00
20171208,0.000174,0.000326,0.000141,0.000326,177,,0.00
20171207,0.000137,0.000173,0.000136,0.000173,166,,0.00
20171206,0.000234,0.000265,0.000121,0.000138,247,,0.00
20171205,0.000117,0.000238,0.000115,0.000235,402,,0.00
20171204,0.000225,0.000232,0.000111,0.000116,18,,0.00
20171203,0.000219,0.000237,0.000110,0.000224,20,,0.00
20171202,0.000109,0.000224,0.000107,0.000218,114,,0.00
20171201,0.000100,0.000218,0.000095,0.000109,57,,0.00
20171130,0.000197,0.000214,0.000100,0.000100,5,,0.00
20171129,0.000199,0.000229,0.000104,0.000194,299,,0.00
20171128,0.000195,0.000199,0.000098,0.000199,160,,0.00
20171127,0.000093,0.000195,0.000093,0.000195,117,,0.00
20171126,0.000175,0.000181,0.000088,0.000093,125,,0.00
