date,open,high,low,close,volume,marketcap,average
20180110,0.000438,0.000586,0.000278,0.000450,12603,,0.00
20180109,0.000301,0.000454,0.000288,0.000438,18159,,0.00
20180108,0.000326,0.000327,0.000142,0.000302,1516,,0.00
20180107,0.000344,0.000344,0.000161,0.000326,3205,,0.00
20180106,0.000340,0.000345,0.000165,0.000344,2164,,0.00
20180105,0.000152,0.000340,0.000149,0.000339,2297,,0.00
20180104,0.000304,0.000308,0.000144,0.000152,868,,0.00
20180103,0.000148,0.000309,0.000147,0.000303,1879,,0.00
20180102,0.000270,0.000304,0.000131,0.000149,4638,,0.00
20180101,0.000280,0.000412,0.000130,0.000270,15157,,0.00
20171231,0.000127,0.000285,0.000126,0.000279,17145,,0.00
20171230,0.000145,0.000145,0.000122,0.000129,106,,0.00
20171229,0.000145,0.000151,0.000141,0.000145,169,,0.00
20171228,0.000155,0.000156,0.000136,0.000143,200,,0.00
20171227,0.000158,0.000166,0.000147,0.000155,20,,0.00
20171226,0.000139,0.000161,0.000139,0.000158,2,,0.00
20171225,0.000141,0.000145,0.000133,0.000139,146,,0.00
20171224,0.000146,0.000146,0.000126,0.000139,700,,0.00
20171223,0.000138,0.000157,0.000136,0.000144,115,,0.00
20171222,0.000157,0.000159,0.000114,0.000137,86,,0.00
20171221,0.000165,0.000174,0.000151,0.000157,254,,0.00
20171220,0.000176,0.000178,0.000158,0.000164,28,,0.00
20171219,0.000191,0.000192,0.000171,0.000176,144,,0.00
20171218,0.000124,0.000193,0.000065,0.000191,1597,,0.00
20171217,0.000193,0.000194,0.000110,0.000123,43,,0.00
20171216,0.000176,0.000195,0.000176,0.000193,34,,0.00
20171215,0.000175,0.000181,0.000172,0.000176,2,,0.00
20171214,0.000164,0.000171,0.000162,0.000167,7,,0.00
20171213,0.000173,0.000175,0.000159,0.000164,58,,0.00
20171212,0.000002,0.000177,0.000002,0.000173,110,,0.00
20171211,0.000002,0.000002,0.000002,0.000002,1,,0.00
20171210,0.000150,0.000150,0.000137,0.000137,1,,0.00
20171209,0.000160,0.000160,0.000135,0.000150,2,,0.00
20171208,0.000116,0.000163,0.000089,0.000156,47,,0.00
20171207,0.000149,0.000149,0.000024,0.000116,85,,0.00
20171206,0.000117,0.000126,0.000117,0.000126,1,,0.00
20171205,0.000116,0.000119,0.000116,0.000117,1,,0.00
20171204,0.000111,0.000116,0.000109,0.000113,1,,0.00
20171203,0.000109,0.000117,0.000103,0.000110,24,,0.00
20171202,0.000110,0.000111,0.000108,0.000109,5,,0.00
20171201,0.000100,0.000107,0.000095,0.000106,1,,0.00
20171130,0.000098,0.000107,0.000090,0.000100,1,,0.00
20171129,0.000099,0.000114,0.000091,0.000097,45,,0.00
20171128,0.000092,0.000100,0.000091,0.000099,53,,0.00
20171127,0.000093,0.000193,0.000090,0.000092,881,,0.00
20171126,0.000087,0.000180,0.000087,0.000093,1481,,0.00
20171125,0.000082,0.000165,0.000082,0.000087,731,,0.00
20171124,0.000080,0.000083,0.000079,0.000082,612,,0.00
20171123,0.000023,0.000082,0.000022,0.000080,8,,0.00
20171122,0.000081,0.000083,0.000015,0.000023,65,,0.00
20171121,0.000009,0.000084,0.000009,0.000081,117,,0.00
20171120,0.000048,0.000048,0.000009,0.000009,1,,0.00
20171119,0.000016,0.000048,0.000008,0.000048,15,,0.00
20171118,0.000077,0.000078,0.000016,0.000016,17,,0.00
20171117,0.000078,0.000080,0.000076,0.000077,205,,0.00
20171116,0.000073,0.000080,0.000071,0.000079,301,,0.00
20171115,0.000132,0.000133,0.000067,0.000073,613,,0.00
20171114,0.000065,0.000133,0.000064,0.000132,1716,,0.00
20171113,0.000059,0.000131,0.000058,0.000065,1775,,0.00
20171112,0.000064,0.000064,0.000055,0.000059,659,,0.00
20171111,0.000065,0.000068,0.000062,0.000064,1524,,0.00
20171110,0.000071,0.000073,0.000064,0.000066,36,,0.00
20171109,0.000074,0.000074,0.000070,0.000071,145,,0.00
20171108,0.000003,0.000078,0.000003,0.000074,362,,0.00
20171107,0.000070,0.000072,0.000003,0.000003,1,,0.00
20171106,0.000007,0.000007,0.000006,0.000007,48,,0.00
20171105,0.000007,0.000007,0.000007,0.000007,1,,0.00
20171104,0.000031,0.000031,0.000007,0.000007,1,,0.00
20171103,0.000006,0.000033,0.000006,0.000031,11,,0.00
20171102,0.000066,0.000068,0.000005,0.000006,6,,0.00
20171101,0.000006,0.000066,0.000006,0.000065,16,,0.00
20171031,0.000039,0.000057,0.000006,0.000006,4,,0.00
20171030,0.000062,0.000062,0.000011,0.000039,49,,0.00
20171029,0.000057,0.000063,0.000057,0.000062,22,,0.00
20171028,0.000020,0.000058,0.000016,0.000057,17,,0.00
20171027,0.000021,0.000021,0.000019,0.000019,8,,0.00
20171025,0.000029,0.000029,0.000021,0.000021,5,,0.00
20171024,0.000023,0.000040,0.000022,0.000029,6,,0.00
20171023,0.000027,0.000031,0.000023,0.000023,30,,0.00
20171022,0.000028,0.000032,0.000027,0.000027,4,,0.00
20171021,0.000055,0.000056,0.000032,0.000033,1,,0.00
20171020,0.000032,0.000061,0.000031,0.000055,5,,0.00
20171019,0.000030,0.000032,0.000028,0.000032,2,,0.00
20171018,0.000031,0.000031,0.000028,0.000031,1,,0.00
20171017,0.000058,0.000064,0.000031,0.000031,52,,0.00
20171016,0.000039,0.000058,0.000039,0.000058,6,,0.00
20171015,0.000055,0.000055,0.000037,0.000039,2,,0.00
20171014,0.000038,0.000056,0.000038,0.000055,8,,0.00
20171013,0.000030,0.000033,0.000030,0.000033,8,,0.00
20171012,0.000031,0.000031,0.000030,0.000030,8,,0.00
20171010,0.000028,0.000029,0.000027,0.000028,9,,0.00
20171009,0.000044,0.000047,0.000027,0.000028,9,,0.00
20171008,0.000044,0.000045,0.000043,0.000044,11,,0.00
20171007,0.000044,0.000045,0.000043,0.000045,7,,0.00
20171006,0.000038,0.000044,0.000038,0.000044,2,,0.00
20171005,0.000042,0.000042,0.000038,0.000038,2,,0.00
20171004,0.000041,0.000043,0.000041,0.000042,100,,0.00
20171003,0.000044,0.000044,0.000029,0.000041,262,,0.00
20171002,0.000033,0.000044,0.000033,0.000044,3,,0.00
20171001,0.000043,0.000051,0.000033,0.000033,1,,0.00
20170930,0.000042,0.000045,0.000042,0.000043,9,,0.00
20170929,0.000042,0.000063,0.000041,0.000042,5,,0.00
20170928,0.000042,0.000043,0.000041,0.000042,185,,0.00
20170927,0.000036,0.000042,0.000036,0.000042,3,,0.00
20170926,0.000039,0.000042,0.000036,0.000036,12,,0.00
20170925,0.000061,0.000063,0.000038,0.000039,13,,0.00
20170924,0.000038,0.000062,0.000036,0.000061,57,,0.00
20170923,0.000036,0.000038,0.000036,0.000038,163,,0.00
20170922,0.000036,0.000036,0.000035,0.000036,26,,0.00
20170921,0.000022,0.000022,0.000022,0.000022,6,,0.00
20170920,0.000072,0.000073,0.000070,0.000073,7,,0.00
20170919,0.000040,0.000073,0.000039,0.000073,7,,0.00
20170918,0.000074,0.000080,0.000039,0.000040,13,,0.00
20170917,0.000037,0.000076,0.000035,0.000074,78,,0.00
20170916,0.000037,0.000039,0.000036,0.000037,0,,0.00
20170915,0.000032,0.000038,0.000030,0.000037,1,,0.00
20170914,0.000039,0.000039,0.000032,0.000032,42,,0.00
20170913,0.000042,0.000078,0.000038,0.000039,1569,,0.00
20170912,0.000042,0.000044,0.000041,0.000042,197,,0.00
20170911,0.000043,0.000044,0.000041,0.000042,374,,0.00
20170910,0.000043,0.000043,0.000040,0.000042,120,,0.00
20170909,0.000042,0.000072,0.000041,0.000043,1148,,0.00
20170908,0.000046,0.000047,0.000040,0.000042,1096,,0.00
20170907,0.000044,0.000092,0.000043,0.000046,58,,0.00
20170906,0.000037,0.000265,0.000037,0.000044,233,,0.00
20170905,0.000043,0.000044,0.000036,0.000037,2451,,0.00
20170904,0.000044,0.000044,0.000041,0.000043,248,,0.00
20170903,0.000046,0.000047,0.000028,0.000033,8,,0.00
20170902,0.000029,0.000046,0.000029,0.000046,0,,0.00
20170901,0.000033,0.000033,0.000024,0.000029,1,,0.00
20170831,0.000046,0.000046,0.000029,0.000033,0,,0.00
20170830,0.000046,0.000047,0.000045,0.000046,24,,0.00
20170829,0.000044,0.000046,0.000043,0.000046,46,,0.00
20170828,0.000024,0.000044,0.000024,0.000044,18,,0.00
20170827,0.000033,0.000033,0.000021,0.000024,2,,0.00
20170826,0.000019,0.000033,0.000019,0.000033,8,,0.00
20170825,0.000028,0.000035,0.000019,0.000019,23,,0.00
20170824,0.000031,0.000036,0.000027,0.000028,88,,0.00
20170823,0.000015,0.000032,0.000007,0.000031,102,,0.00
20170822,0.000033,0.000033,0.000015,0.000015,10,,0.00
20170821,0.000016,0.000041,0.000016,0.000033,73,,0.00
20170820,0.000016,0.000017,0.000016,0.000016,4,,0.00
20170819,0.000019,0.000019,0.000018,0.000018,11,,0.00
20170818,0.000033,0.000033,0.000015,0.000019,15,,0.00
20170817,0.000018,0.000032,0.000016,0.000032,20,,0.00
20170816,0.000023,0.000024,0.000015,0.000018,48,,0.00
20170815,0.000026,0.000026,0.000022,0.000023,6,,0.00
20170814,0.000040,0.000041,0.000025,0.000026,1,,0.00
