date,open,high,low,close,volume,marketcap,average
20180110,6.87,6.93,5.40,6.10,2579540,220874000,6.17
20180109,6.69,7.26,6.55,6.91,2079090,215090000,6.90
20180108,7.56,7.75,5.73,6.70,5129650,243736000,6.74
20180107,5.98,7.76,5.93,7.70,5045620,192856000,6.84
20180106,5.36,6.17,5.07,5.99,2001070,172791000,5.62
20180105,6.09,6.37,5.18,5.35,2592980,196455000,5.78
20180104,6.41,6.96,5.60,6.27,4249260,206882000,6.28
20180103,4.57,6.86,4.57,6.55,5024030,147410000,5.71
20180102,4.29,5.36,4.11,4.61,3763910,138303000,4.74
20180101,3.83,4.30,3.47,4.27,2137650,123637000,3.88
20171231,3.40,4.02,3.32,3.89,1516050,109665000,3.67
20171230,3.79,3.91,3.01,3.45,1309030,122346000,3.46
20171229,3.70,4.05,3.52,3.95,1491210,119468000,3.79
20171228,3.86,4.00,3.13,3.68,1857820,124353000,3.56
20171227,3.75,3.83,3.43,3.83,1444870,121101000,3.63
20171226,4.00,4.28,3.40,3.75,2109130,128921000,3.84
20171225,3.84,4.22,3.65,4.07,2435090,123884000,3.93
20171224,3.36,3.84,2.83,3.79,2585130,108223000,3.33
20171223,2.90,3.65,2.90,3.32,1253340,93387600,3.27
20171222,3.55,3.57,2.22,2.87,1230300,114358000,2.90
20171221,3.44,3.94,3.33,3.53,2138150,110950000,3.63
20171220,3.32,3.67,2.92,3.51,2199840,107186000,3.29
20171219,3.23,3.70,3.10,3.28,3547700,104238000,3.40
20171218,2.68,3.39,2.55,3.26,2569300,86433800,2.97
20171217,2.56,2.82,2.55,2.68,1702240,82948900,2.68
20171216,2.54,2.63,2.42,2.54,1047860,82072000,2.52
20171215,2.58,2.63,2.32,2.53,1226100,83546500,2.47
20171214,2.73,2.87,2.48,2.59,1488340,88568400,2.67
20171213,2.49,2.89,2.28,2.74,1731580,80733700,2.58
20171212,2.14,2.64,2.04,2.49,2131230,69243500,2.34
20171211,1.86,2.20,1.85,2.13,1290950,60380900,2.03
20171210,2.02,2.03,1.72,1.89,626556,65564900,1.88
20171209,2.01,2.10,1.86,2.02,792752,65267200,1.98
20171208,1.89,2.03,1.67,1.96,773768,61577900,1.85
20171207,2.13,2.17,1.83,1.90,984717,69268200,2.00
20171206,2.22,2.45,1.94,2.13,1804040,72209300,2.20
20171205,2.24,2.39,2.18,2.22,947807,72822900,2.29
20171204,2.06,2.24,2.01,2.24,590453,67023400,2.12
20171203,2.04,2.26,1.92,2.05,598348,66364800,2.09
20171202,2.15,2.16,1.98,2.04,526706,69779900,2.07
20171201,1.80,2.19,1.70,2.15,685523,58527700,1.94
20171130,1.82,1.93,1.62,1.81,490782,59312800,1.77
20171129,2.22,2.34,1.73,1.80,760301,72216500,2.04
20171128,2.37,2.39,2.13,2.22,783917,77139900,2.26
20171127,2.03,2.45,2.03,2.37,1457120,65887400,2.24
20171126,2.03,2.11,1.93,2.03,590313,66133100,2.02
20171125,1.94,2.28,1.92,2.03,1297350,63196800,2.10
20171124,1.75,1.95,1.70,1.94,649323,57060500,1.82
20171123,1.81,1.85,1.70,1.76,530295,58749700,1.77
20171122,1.76,1.84,1.71,1.82,587607,57071100,1.77
20171121,1.64,1.77,1.52,1.75,555686,53202700,1.65
20171120,1.55,1.67,1.55,1.64,456294,50445500,1.61
20171119,1.49,1.65,1.45,1.56,764575,48471600,1.55
20171118,1.46,1.52,1.38,1.49,603517,47523300,1.45
20171117,1.40,1.57,1.37,1.47,833458,45565300,1.47
20171116,1.32,1.45,1.30,1.41,521774,43139300,1.38
20171115,1.35,1.38,1.30,1.32,307997,43943200,1.34
20171114,1.29,1.38,1.21,1.36,425966,42152900,1.29
20171113,1.15,1.31,1.13,1.29,326498,37552400,1.22
20171112,1.20,1.21,1.08,1.14,430354,39323400,1.15
20171111,1.33,1.38,1.17,1.20,484159,43532500,1.27
20171110,1.62,1.70,1.26,1.34,580034,52790200,1.48
20171109,1.32,1.73,1.30,1.60,908574,43006200,1.52
20171108,1.15,1.37,1.13,1.33,575560,37438400,1.25
20171107,1.09,1.16,1.08,1.15,296883,35752300,1.12
20171106,1.20,1.22,1.05,1.10,630406,39292700,1.14
20171105,1.25,1.29,1.16,1.20,402734,41006300,1.23
20171104,1.17,1.42,1.16,1.26,571028,38150000,1.29
20171103,1.10,1.29,1.00,1.17,674683,36081000,1.15
20171102,1.23,1.28,0.873685,1.10,890030,40355800,1.08
20171101,1.38,1.40,1.24,1.24,506138,45142200,1.32
20171031,1.48,1.49,1.38,1.39,370278,48225300,1.44
20171030,1.45,1.48,1.42,1.48,270562,47376100,1.45
20171029,1.44,1.51,1.44,1.45,355395,47076000,1.48
20171028,1.49,1.52,1.44,1.44,376313,48817400,1.48
20171027,1.51,1.54,1.48,1.49,314497,49381200,1.51
20171026,1.62,1.63,1.49,1.51,442666,53001100,1.56
20171025,1.64,1.66,1.55,1.62,300779,53497100,1.60
20171024,1.54,1.78,1.49,1.64,490482,50355300,1.64
20171023,1.51,1.60,1.44,1.53,473655,49550100,1.52
20171022,1.49,1.54,1.45,1.51,360050,48658900,1.50
20171021,1.64,1.67,1.43,1.49,477910,53684900,1.55
20171020,1.81,1.81,1.62,1.64,639154,59138900,1.72
20171019,1.67,1.90,1.65,1.79,681141,54681500,1.77
20171018,1.73,1.73,1.56,1.66,600299,56584500,1.65
20171017,1.82,2.02,1.64,1.75,806478,59527600,1.83
20171016,1.61,1.82,1.54,1.82,972053,52939200,1.68
20171015,1.74,1.74,1.48,1.64,372857,56981700,1.61
20171014,1.96,1.96,1.66,1.70,645581,64500600,1.81
20171013,1.62,3.45,1.59,1.99,5260750,53236800,2.52
20171012,1.73,1.75,1.60,1.62,411624,56800600,1.68
20171011,1.72,1.75,1.68,1.73,246870,56615600,1.71
20171010,1.70,1.86,1.67,1.72,466173,56115200,1.77
20171009,1.67,1.76,1.56,1.71,669321,54956900,1.66
20171008,1.77,1.79,1.66,1.67,371480,58218700,1.73
20171007,1.80,1.83,1.71,1.77,386192,59314400,1.77
20171006,1.92,1.94,1.70,1.81,517011,63143600,1.82
20171005,1.68,1.93,1.62,1.93,429164,55472600,1.77
20171004,1.75,1.76,1.64,1.68,358119,57557500,1.70
20171003,1.80,1.83,1.63,1.74,401641,59389500,1.73
20171002,1.90,1.95,1.78,1.80,369341,62729700,1.86
20171001,1.94,1.96,1.85,1.90,492416,63861700,1.91
20170930,1.82,1.94,1.82,1.93,318152,60113500,1.88
20170929,1.88,1.90,1.79,1.82,283930,61842300,1.84
20170928,1.94,1.94,1.85,1.89,341170,63862000,1.90
20170927,1.80,1.94,1.79,1.92,334295,59377700,1.86
20170926,1.82,1.88,1.80,1.80,330678,59993400,1.84
20170925,1.76,1.85,1.73,1.82,348933,57855200,1.79
20170924,1.89,1.89,1.72,1.76,330400,62221000,1.80
20170923,1.63,1.88,1.61,1.88,385085,53624100,1.75
20170922,1.66,1.71,1.60,1.63,281181,54811100,1.66
20170921,1.91,1.95,1.63,1.66,380055,63081100,1.79
20170920,1.82,1.99,1.79,1.94,486492,59880800,1.89
20170919,1.93,1.97,1.82,1.82,436441,63622200,1.90
20170918,1.64,1.93,1.64,1.93,469489,53921000,1.78
20170917,1.58,1.65,1.52,1.64,282616,52008700,1.58
20170916,1.64,1.69,1.55,1.58,363528,53964100,1.62
20170915,1.44,1.66,1.24,1.64,395562,47438500,1.45
20170914,1.79,1.83,1.35,1.43,396526,59031700,1.59
20170913,1.89,1.89,1.62,1.79,741807,62271200,1.75
20170912,1.89,1.99,1.82,1.88,480641,62378200,1.91
20170911,1.93,2.06,1.84,1.89,497748,63864500,1.95
20170910,2.07,2.07,1.87,1.94,390270,68181800,1.97
20170909,2.09,2.17,1.98,2.06,486870,68894600,2.08
20170908,2.16,2.30,1.97,2.08,585419,71433700,2.13
20170907,2.28,2.29,2.15,2.17,721831,75250000,2.22
20170906,2.32,2.42,2.23,2.30,540724,76443000,2.33
20170905,2.13,2.36,1.88,2.33,527783,70178600,2.12
20170904,2.58,2.58,1.86,2.14,991351,85208400,2.22
20170903,2.56,2.67,2.49,2.58,382014,84660000,2.58
20170902,2.84,2.86,2.43,2.56,505254,93767200,2.65
20170901,2.93,2.97,2.73,2.82,904657,96592900,2.85
20170831,3.06,3.12,2.90,2.92,689530,102908000,3.01
20170830,3.01,3.14,2.93,3.07,563509,101180000,3.04
20170829,3.19,3.21,2.91,3.01,904782,107213000,3.06
20170828,2.84,3.18,2.73,3.18,958386,95505300,2.96
20170827,2.94,2.99,2.74,2.84,482067,98829900,2.87
20170826,2.77,2.95,2.67,2.92,613011,92932600,2.81
20170825,2.81,2.85,2.68,2.76,399046,94384700,2.77
20170824,2.52,2.84,2.50,2.78,624648,84798300,2.67
20170823,2.54,2.62,2.47,2.56,467406,85399400,2.54
20170822,2.66,2.66,2.36,2.54,405765,89302200,2.51
20170821,2.75,2.93,2.62,2.65,867557,92511300,2.78
20170820,2.55,2.86,2.45,2.77,739923,85718500,2.66
20170819,2.35,2.62,2.20,2.56,795690,79090200,2.41
20170818,2.44,2.48,2.27,2.35,543222,81976500,2.38
20170817,2.54,2.55,2.30,2.45,742746,85282400,2.42
20170816,2.44,2.60,2.38,2.54,750076,81867900,2.49
20170815,2.71,2.76,2.28,2.45,767516,90924200,2.52
20170814,2.55,2.78,2.34,2.70,932953,85558300,2.56
20170813,2.93,2.99,2.52,2.52,1102490,98518000,2.75
20170812,2.89,3.10,2.78,2.92,1078570,97178000,2.94
20170811,2.56,3.02,2.56,2.96,2631060,86115200,2.79
20170810,2.37,2.80,2.28,2.56,1299060,79673700,2.54
20170809,2.12,2.39,2.12,2.36,727888,71148400,2.25
20170808,2.08,2.25,2.01,2.15,587613,69909000,2.13
20170807,2.08,2.13,1.98,2.09,403798,70010800,2.05
20170806,2.12,2.19,2.02,2.09,404444,71165600,2.10
20170805,1.92,2.17,1.90,2.09,472444,64388300,2.04
20170804,1.88,1.98,1.87,1.92,362206,63204600,1.93
20170803,1.76,1.91,1.74,1.88,409120,59094900,1.82
20170802,1.80,1.80,1.60,1.76,306111,60371300,1.70
20170801,1.68,1.85,1.60,1.81,299507,56594700,1.73
20170731,1.64,1.71,1.58,1.68,265313,55122400,1.65
20170730,1.63,1.66,1.54,1.64,239215,54902300,1.60
20170729,1.59,1.63,1.49,1.63,350613,53296000,1.56
20170728,1.69,1.72,1.52,1.59,490408,56712400,1.62
20170727,1.77,1.80,1.64,1.68,265010,59608000,1.72
20170726,1.68,1.78,1.61,1.77,445200,56585200,1.70
20170725,2.15,2.19,1.59,1.69,593523,72384500,1.89
20170724,2.16,2.20,2.11,2.15,276677,72588200,2.16
20170723,2.26,2.30,2.11,2.19,339806,75970700,2.21
20170722,2.08,2.27,2.07,2.26,322467,69978500,2.17
20170721,2.02,2.18,1.98,2.08,312070,67813400,2.08
20170720,1.81,2.17,1.81,2.00,445853,60864000,1.99
20170719,2.02,2.12,1.78,1.80,423748,68046300,1.95
20170718,1.72,2.12,1.64,2.02,508917,57784000,1.88
20170717,1.43,1.71,1.39,1.71,477114,47913100,1.55
20170716,1.53,1.60,1.26,1.43,327985,51413100,1.43
20170715,1.81,1.82,1.52,1.52,288078,60870400,1.67
20170714,1.98,1.99,1.69,1.81,315431,66498700,1.84
20170713,2.01,2.03,1.85,1.98,435082,67494500,1.94
20170712,1.74,2.03,1.62,2.00,565016,58459800,1.82
20170711,1.60,1.93,1.22,1.74,907017,53801000,1.57
20170710,2.12,2.13,1.51,1.61,487679,71386300,1.82
20170709,2.17,2.25,2.10,2.13,305830,72776100,2.17
20170708,2.09,2.18,1.99,2.16,350485,70227600,2.08
20170707,2.45,2.47,2.08,2.09,647124,82400200,2.28
20170706,2.32,2.48,2.23,2.45,555626,77845000,2.35
20170705,2.24,2.36,2.12,2.32,404513,75188500,2.24
20170704,2.34,2.40,2.17,2.21,434296,78701200,2.29
20170703,2.41,2.46,2.22,2.37,471371,80912300,2.34
20170702,2.21,2.49,2.15,2.43,388197,74130500,2.32
20170701,2.31,2.37,2.16,2.21,450321,77473900,2.27
20170630,2.65,2.70,2.26,2.30,585257,88961900,2.48
20170629,2.90,3.06,2.60,2.64,772157,97532200,2.83
20170628,2.47,3.07,2.31,2.97,1176160,83131800,2.69
20170627,2.36,2.45,1.92,2.45,608510,79383800,2.19
20170626,2.41,2.49,1.74,2.29,997967,81091800,2.12
20170625,2.70,2.78,2.32,2.41,656243,90871200,2.55
20170624,2.98,3.03,2.65,2.70,1043750,99992300,2.84
20170623,2.77,3.09,2.65,2.95,878484,92952100,2.87
20170622,2.71,2.94,2.65,2.77,788086,91088600,2.79
20170621,2.81,3.17,2.55,2.70,1428180,94415100,2.86
20170620,2.83,2.90,2.63,2.65,938596,94939300,2.76
20170619,2.87,3.05,2.78,2.81,1110070,96442800,2.92
20170618,3.12,3.21,2.87,2.90,929574,104969000,3.04
20170617,3.22,3.33,3.09,3.11,766546,108309000,3.21
20170616,4.02,4.16,3.18,3.22,787317,135225000,3.67
20170615,3.16,4.09,2.59,4.04,1173940,106250000,3.34
20170614,3.90,3.97,2.88,3.16,1610150,130939000,3.42
20170613,3.73,3.93,3.54,3.90,1369980,125203000,3.74
20170612,4.11,4.36,3.41,3.73,2292920,138074000,3.89
20170611,4.04,4.28,3.57,4.16,3049210,135820000,3.92
20170610,3.31,4.00,3.09,4.00,2275360,111077000,3.54
20170609,3.16,3.35,2.92,3.30,1877340,106179000,3.13
20170608,2.55,3.18,2.52,3.13,3743020,85550000,2.85
20170607,2.40,2.86,2.32,2.57,1762630,80797600,2.59
20170606,2.24,2.59,2.19,2.44,1266720,75156300,2.39
20170605,2.10,2.25,2.07,2.22,973493,70708300,2.16
20170604,2.21,2.27,2.02,2.10,1065030,74328900,2.15
20170603,2.15,2.32,2.14,2.22,963743,72258500,2.23
20170602,2.09,2.21,2.04,2.16,759428,70199800,2.12
20170601,2.09,2.19,1.99,2.09,630982,70176300,2.09
20170531,1.84,2.11,1.73,2.09,1365970,61958200,1.92
20170530,1.83,2.15,1.73,1.84,1345200,61396000,1.94
20170529,1.64,1.87,1.64,1.83,653050,55013700,1.75
20170528,1.74,2.02,1.64,1.84,801602,58319800,1.83
20170527,1.97,2.06,1.44,1.72,713711,66361800,1.75
20170526,2.09,2.50,1.72,1.96,1150820,70263400,2.11
20170525,2.61,2.68,1.97,2.11,1535420,87800600,2.33
20170524,2.09,2.65,2.09,2.65,3619740,70258300,2.37
20170523,1.47,2.11,1.47,2.11,2436560,49452000,1.79
20170522,1.40,1.61,1.20,1.54,1358470,47058300,1.41
20170521,1.45,1.50,1.33,1.41,1152680,48804400,1.42
20170520,1.33,1.47,1.30,1.43,1272560,36818000,1.39
20170519,1.50,1.56,1.29,1.33,1655390,,1.43
20170518,1.49,1.56,1.42,1.52,2745280,,1.49
