date,open,high,low,close,volume,marketcap,average
20180110,1.53,1.59,1.44,1.59,4313850,1526230000,1.52
20180109,1.56,1.70,1.50,1.53,4491820,1557370000,1.60
20180108,1.83,1.83,1.41,1.57,5063520,1823610000,1.62
20180107,1.72,2.04,1.66,1.82,5744190,1717760000,1.85
20180106,1.54,1.84,1.49,1.70,6187090,1533610000,1.67
20180105,1.74,2.12,1.53,1.55,10296900,1737680000,1.83
20180104,1.96,1.98,1.74,1.78,8200610,1963000000,1.86
20180103,1.83,2.06,1.83,1.95,36564000,1825240000,1.95
20180102,1.61,2.07,1.57,1.84,35898800,1606010000,1.82
20180101,1.73,1.73,1.56,1.61,30592600,1724810000,1.65
20171231,1.52,1.80,1.48,1.72,35154900,1520970000,1.64
20171230,1.69,1.69,1.42,1.54,30738300,1689590000,1.55
20171229,1.72,1.79,1.65,1.70,32728500,1713800000,1.72
20171228,1.58,1.74,1.27,1.70,39140600,1581590000,1.50
20171227,1.69,1.73,1.53,1.61,35181400,1689370000,1.63
20171226,1.71,1.75,1.50,1.64,36924500,1704370000,1.62
20171225,1.71,1.72,1.55,1.71,24751800,1710110000,1.64
20171224,1.59,1.82,1.49,1.71,50415500,1590170000,1.66
20171223,1.08,1.75,1.04,1.58,49935200,1083890000,1.40
20171222,1.25,1.30,0.799821,1.07,26619800,1251840000,1.05
20171221,1.14,1.39,1.13,1.25,27422400,1141110000,1.26
20171220,1.10,1.16,0.951351,1.13,18438500,1101360000,1.06
20171219,1.14,1.22,1.03,1.10,19188100,1135710000,1.12
20171218,0.967659,1.18,0.932147,1.14,23040900,966691000,1.06
20171217,0.933518,1.03,0.919362,0.967058,12641100,932584000,0.97
20171216,0.978879,0.978879,0.891833,0.929638,16427200,977899000,0.94
20171215,0.913974,0.927552,0.791578,0.887571,14411800,913059000,0.86
20171214,0.974259,1.00,0.873633,0.917276,13173700,973285000,0.94
20171213,0.976817,1.05,0.892317,0.969969,19984000,975840000,0.97
20171212,0.616162,1.06,0.598177,1.02,45681200,615545000,0.83
20171211,0.492554,0.619898,0.492554,0.612341,7343840,492061000,0.56
20171210,0.556584,0.556584,0.412828,0.497229,4398910,556027000,0.48
20171209,0.562365,0.599476,0.502344,0.548030,5441910,561802000,0.55
20171208,0.541964,0.589217,0.482469,0.566157,8734970,541422000,0.54
20171207,0.509410,0.585826,0.474914,0.556669,10991000,508900000,0.53
20171206,0.564584,0.571469,0.491806,0.505507,11237100,564019000,0.53
20171205,0.605662,0.639035,0.563917,0.571476,10425600,605056000,0.60
20171204,0.473370,0.583419,0.467184,0.574842,12162400,472897000,0.53
20171203,0.426025,0.514862,0.413421,0.474226,16024000,425599000,0.46
