date,open,high,low,close,volume,marketcap,average
20180110,0.093667,0.113395,0.085810,0.099631,8286,107560,0.10
20180109,0.097712,0.110019,0.074988,0.093545,10042,112205,0.09
20180108,0.139004,0.143993,0.066787,0.097979,17158,159622,0.11
20180107,0.049648,0.144097,0.049063,0.139215,28295,57012,0.10
20180106,0.060531,0.062683,0.036821,0.053064,3475,69510,0.05
20180105,0.054794,0.060622,0.028479,0.060562,8201,62921,0.04
20180104,0.060722,0.067769,0.046808,0.054770,5151,69729,0.06
20180103,0.077849,0.082913,0.048685,0.063441,12893,89396,0.07
20180102,0.063977,0.084317,0.047874,0.078079,26854,73466,0.07
20180101,0.026138,0.064630,0.025157,0.063984,31146,30015,0.04
20171231,0.021048,0.026299,0.018190,0.026060,3018,24170,0.02
20171230,0.024835,0.027070,0.019077,0.021262,1557,28519,0.02
20171229,0.025070,0.033370,0.023278,0.024897,3000,28789,0.03
20171228,0.021629,0.032737,0.020083,0.024817,4055,24837,0.03
20171227,0.016061,0.021784,0.015618,0.021759,1377,18444,0.02
20171226,0.018198,0.021959,0.015651,0.016049,1827,20897,0.02
20171225,0.015036,0.019648,0.014424,0.018217,1386,17266,0.02
20171224,0.016185,0.018104,0.013597,0.014908,1067,18585,0.02
20171223,0.017045,0.019305,0.013240,0.016016,533,19573,0.02
20171222,0.018161,0.018487,0.012994,0.017002,966,20855,0.02
20171221,0.019994,0.020531,0.016470,0.018106,873,22960,0.02
20171220,0.018319,0.019994,0.014103,0.019954,312,21037,0.02
20171219,0.018514,0.021959,0.014171,0.018336,1243,21260,0.02
20171218,0.020885,0.020966,0.017939,0.018498,2169,23983,0.02
20171217,0.012625,0.021493,0.012363,0.020822,636,14497,0.02
20171216,0.014871,0.017116,0.011779,0.012597,815,17077,0.01
20171215,0.013399,0.014959,0.013399,0.014853,522,15387,0.01
20171214,0.011647,0.013392,0.010459,0.013392,817,13374,0.01
20171213,0.017775,0.018213,0.009750,0.011772,678,20411,0.01
20171212,0.013243,0.018959,0.013045,0.017746,967,15207,0.02
20171211,0.011189,0.015735,0.010428,0.013165,122,12848,0.01
20171210,0.012962,0.012962,0.010355,0.011264,444,14884,0.01
20171209,0.020248,0.020548,0.010800,0.012910,21,23252,0.02
20171208,0.012647,0.020271,0.010164,0.020269,252,14523,0.02
20171207,0.016422,0.018696,0.010811,0.012617,190,18858,0.01
20171206,0.014143,0.016414,0.014143,0.016414,1037,16241,0.02
20171205,0.009128,0.014238,0.008418,0.014175,1099,10481,0.01
20171204,0.009340,0.010056,0.008650,0.009110,138,10726,0.01
20171203,0.003399,0.010585,0.003399,0.009309,779,3903,0.01
20171202,0.007186,0.007315,0.003329,0.003396,302,8252,0.01
20171201,0.013111,0.015866,0.002989,0.007192,1922,15055,0.01
20171130,0.007618,0.013355,0.007569,0.013206,301,8748,0.01
20171129,0.009793,0.012463,0.007478,0.007503,489,11246,0.01
20171128,0.009037,0.009860,0.008269,0.009803,558,10378,0.01
20171127,0.008373,0.009632,0.007041,0.009014,943,9615,0.01
20171126,0.007330,0.010486,0.006465,0.008372,504,8417,0.01
20171125,0.006442,0.008545,0.006371,0.007333,220,7397,0.01
20171124,0.007322,0.009166,0.006434,0.006456,195,8408,0.01
20171123,0.006480,0.008632,0.006450,0.007340,164,7441,0.01
20171122,0.006181,0.007764,0.006169,0.006482,163,7098,0.01
20171121,0.007216,0.007227,0.006005,0.006169,45,8287,0.01
20171120,0.006274,0.007714,0.005753,0.007215,126,7204,0.01
20171119,0.005938,0.006317,0.005709,0.006277,4,6818,0.01
20171118,0.005603,0.007319,0.005432,0.005949,22,6434,0.01
20171117,0.005502,0.005776,0.005222,0.005625,65,6318,0.01
20171116,0.007727,0.007730,0.005375,0.005512,100,8874,0.01
20171115,0.005216,0.007946,0.005216,0.007634,98,5990,0.01
