date,open,high,low,close,volume,marketcap,average
20180110,0.015481,0.016381,0.010483,0.011249,20320,2171360,0.01
20180109,0.023192,0.023891,0.009191,0.015606,72795,3252990,0.02
20180108,0.010422,0.025684,0.009104,0.024011,156848,1461870,0.02
20180107,0.005505,0.010482,0.004552,0.010437,27142,772119,0.01
20180106,0.004873,0.005513,0.003686,0.005509,3783,683456,0.00
20180105,0.003624,0.004881,0.003419,0.004872,3061,508357,0.00
20180104,0.003795,0.004002,0.003410,0.003739,1796,532321,0.00
20180103,0.002997,0.003934,0.002993,0.003779,2235,420333,0.00
20180102,0.002666,0.003491,0.002660,0.003004,1023,373906,0.00
20180101,0.002775,0.002918,0.002397,0.002667,715,389163,0.00
20171231,0.003172,0.003458,0.002326,0.002771,1453,444972,0.00
20171230,0.004372,0.004378,0.002655,0.003202,2859,613184,0.00
20171229,0.003217,0.004925,0.002401,0.004380,1430,451240,0.00
20171228,0.002344,0.003188,0.002289,0.003188,1104,328731,0.00
20171227,0.002269,0.002998,0.002109,0.002348,1493,318224,0.00
20171226,0.002210,0.002473,0.001954,0.002266,411,309968,0.00
20171225,0.002108,0.002750,0.001967,0.002211,402,295723,0.00
20171224,0.002048,0.002558,0.001316,0.002090,1154,287266,0.00
20171223,0.001379,0.002510,0.001300,0.002027,2376,193454,0.00
20171222,0.001574,0.002105,0.001383,0.001499,473,220723,0.00
20171221,0.001671,0.002782,0.001542,0.001568,3036,234347,0.00
20171220,0.002091,0.002091,0.001604,0.001669,439,293293,0.00
20171219,0.001888,0.002131,0.001758,0.002091,283,264778,0.00
20171218,0.001865,0.002090,0.001645,0.001887,66,261642,0.00
20171217,0.001775,0.002226,0.001575,0.001862,103,248943,0.00
20171216,0.001870,0.002481,0.001754,0.001754,485,262292,0.00
20171215,0.001986,0.002292,0.001754,0.001869,109,278502,0.00
20171214,0.001311,0.001990,0.001297,0.001982,193,183953,0.00
20171213,0.001531,0.002078,0.001306,0.001316,1359,214698,0.00
20171212,0.001677,0.002037,0.001495,0.001528,91,235203,0.00
20171211,0.001547,0.001885,0.001493,0.001671,148,216988,0.00
20171210,0.001526,0.001587,0.001212,0.001558,831,213975,0.00
20171209,0.001605,0.001879,0.001505,0.001520,209,225104,0.00
20171208,0.001548,0.001913,0.001296,0.001606,255,217156,0.00
20171207,0.001360,0.001847,0.001287,0.001545,368,190724,0.00
20171206,0.001185,0.001388,0.001134,0.001362,168,166174,0.00
20171205,0.001216,0.001374,0.001187,0.001187,188,170607,0.00
20171204,0.001124,0.001273,0.001081,0.001214,116,157609,0.00
20171203,0.001373,0.001409,0.001081,0.001120,78,192543,0.00
20171202,0.001414,0.001444,0.001071,0.001369,223,198376,0.00
20171201,0.000982,0.001473,0.000942,0.001416,623,137757,0.00
20171130,0.000987,0.001117,0.000900,0.000987,87,138469,0.00
20171129,0.000902,0.001279,0.000902,0.000972,91,126489,0.00
20171128,0.001058,0.001290,0.000897,0.000902,640,148403,0.00
20171127,0.001020,0.001254,0.001020,0.001055,239,143114,0.00
20171126,0.000879,0.001125,0.000806,0.001020,1248,123281,0.00
20171125,0.000659,0.000879,0.000656,0.000879,80,92495,0.00
20171124,0.000707,0.000755,0.000657,0.000661,25,99163,0.00
20171123,0.000728,0.000768,0.000557,0.000723,88,102094,0.00
20171122,0.000732,0.000771,0.000656,0.000737,107,102720,0.00
20171121,0.000659,0.000734,0.000624,0.000731,394,92445,0.00
20171120,0.000613,0.000738,0.000601,0.000659,29,85986,0.00
20171119,0.000624,0.000636,0.000600,0.000614,51,87494,0.00
20171118,0.000606,0.000682,0.000587,0.000625,78,84971,0.00
20171117,0.000624,0.000642,0.000600,0.000608,44,87588,0.00
20171116,0.000641,0.000704,0.000576,0.000626,77,89854,0.00
20171115,0.000515,0.000643,0.000515,0.000637,67,72276,0.00
20171114,0.000528,0.000602,0.000511,0.000515,14,74074,0.00
20171113,0.000470,0.000584,0.000400,0.000527,122,65963,0.00
20171112,0.000504,0.000512,0.000413,0.000469,78,70660,0.00
20171111,0.000552,0.000585,0.000499,0.000504,29,77459,0.00
20171110,0.000515,0.000632,0.000463,0.000556,29,72294,0.00
20171109,0.000535,0.000601,0.000435,0.000509,106,75004,0.00
20171108,0.000565,0.000621,0.000524,0.000536,26,79235,0.00
20171107,0.000422,0.000573,0.000422,0.000567,148,59230,0.00
20171106,0.000519,0.000591,0.000422,0.000423,109,72763,0.00
20171105,0.000516,0.000608,0.000509,0.000518,92,72389,0.00
20171104,0.000501,0.000528,0.000490,0.000517,4,70326,0.00
20171103,0.000491,0.000594,0.000486,0.000503,11,68923,0.00
20171102,0.000471,0.000511,0.000471,0.000492,50,66036,0.00
20171101,0.000451,0.000471,0.000446,0.000470,98,63269,0.00
20171031,0.000489,0.000577,0.000427,0.000451,6,68557,0.00
20171030,0.000499,0.000503,0.000425,0.000490,6,69934,0.00
20171029,0.000401,0.000571,0.000400,0.000506,9,56267,0.00
20171028,0.000518,0.000528,0.000399,0.000402,15,72722,0.00
20171027,0.000537,0.000547,0.000402,0.000517,39,75284,0.00
20171026,0.000531,0.000543,0.000437,0.000539,27,74543,0.00
20171025,0.000491,0.000541,0.000450,0.000532,16,68909,0.00
20171024,0.000413,0.000491,0.000394,0.000485,4,57976,0.00
20171023,0.000481,0.000541,0.000406,0.000414,97,67479,0.00
20171022,0.000533,0.000595,0.000463,0.000482,25,74818,0.00
20171021,0.000534,0.000587,0.000479,0.000533,133,74892,0.00
20171020,0.000399,0.000543,0.000394,0.000535,72,56016,0.00
20171019,0.000494,0.000515,0.000393,0.000399,35,69338,0.00
20171018,0.000502,0.000502,0.000378,0.000495,33,70476,0.00
20171017,0.000468,0.000504,0.000406,0.000502,45,65699,0.00
20171016,0.000533,0.000632,0.000468,0.000468,60,74752,0.00
20171015,0.000530,0.000587,0.000497,0.000533,35,74285,0.00
20171014,0.000524,0.000614,0.000516,0.000529,150,73543,0.00
20171013,0.000567,0.000593,0.000512,0.000524,15,79515,0.00
20171012,0.000531,0.000595,0.000490,0.000564,130,74444,0.00
20171011,0.000476,0.000530,0.000472,0.000530,25,66795,0.00
20171010,0.000526,0.000534,0.000473,0.000476,196,73777,0.00
20171009,0.000596,0.000599,0.000502,0.000526,32,83589,0.00
20171008,0.000495,0.000599,0.000493,0.000596,6,69372,0.00
20171007,0.000547,0.000577,0.000485,0.000496,19,76718,0.00
20171006,0.000604,0.000610,0.000475,0.000547,103,84652,0.00
20171005,0.000540,0.000609,0.000470,0.000604,38,75711,0.00
20171004,0.000476,0.000550,0.000467,0.000539,53,66787,0.00
20171003,0.000489,0.000596,0.000467,0.000475,34,68620,0.00
20171002,0.000615,0.000625,0.000439,0.000489,53,86317,0.00
20171001,0.000668,0.000690,0.000605,0.000616,48,93686,0.00
20170930,0.000559,0.000710,0.000523,0.000668,125,78344,0.00
20170929,0.000546,0.000627,0.000494,0.000558,34,76635,0.00
20170928,0.000551,0.000672,0.000501,0.000547,79,77291,0.00
20170927,0.000543,0.000588,0.000543,0.000552,5,76154,0.00
20170926,0.000505,0.000550,0.000471,0.000544,183,70819,0.00
20170925,0.000397,0.000518,0.000397,0.000500,6,55732,0.00
20170924,0.000375,0.000514,0.000364,0.000398,47,52647,0.00
20170923,0.000397,0.000486,0.000370,0.000375,27,55646,0.00
20170922,0.000398,0.000435,0.000357,0.000398,115,55770,0.00
20170921,0.000466,0.000503,0.000393,0.000398,22,65344,0.00
20170920,0.000430,0.000477,0.000385,0.000468,57,60382,0.00
20170919,0.000444,0.000463,0.000409,0.000431,2,62321,0.00
20170918,0.000406,0.000487,0.000386,0.000443,19,57004,0.00
20170917,0.000374,0.000453,0.000359,0.000407,23,52481,0.00
20170916,0.000439,0.000500,0.000364,0.000374,23,61618,0.00
20170915,0.000386,0.000486,0.000322,0.000441,44,54189,0.00
20170914,0.000500,0.000527,0.000366,0.000384,40,70125,0.00
20170913,0.000493,0.000508,0.000427,0.000498,23,69124,0.00
20170912,0.000506,0.000608,0.000469,0.000495,60,71017,0.00
20170911,0.000510,0.000565,0.000407,0.000506,73,71539,0.00
20170910,0.000472,0.000519,0.000444,0.000511,9,66224,0.00
20170909,0.000483,0.000512,0.000463,0.000473,14,67757,0.00
20170908,0.000532,0.000561,0.000459,0.000482,15,74636,0.00
20170907,0.000601,0.000603,0.000521,0.000533,49,84344,0.00
