date,open,high,low,close,volume,marketcap,average
20180110,0.012852,0.022109,0.012378,0.014848,233,,0.02
20180109,0.026957,0.027617,0.012257,0.012835,254,,0.02
20180108,0.011399,0.041225,0.011038,0.027031,2730,,0.03
20180107,0.012042,0.019325,0.011123,0.011415,1760,,0.02
20180106,0.015286,0.019198,0.012048,0.012051,547,,0.02
20180105,0.012145,0.018093,0.012029,0.015273,421,,0.02
20180104,0.030269,0.045459,0.006565,0.012143,6439,,0.03
20180103,0.003116,0.055272,0.003114,0.030104,16609,,0.03
20180102,0.002970,0.006668,0.002868,0.003127,1699,,0.00
20180101,0.003076,0.003078,0.002841,0.002971,2,,0.00
20171231,0.002797,0.003703,0.002406,0.003064,167,,0.00
20171230,0.003044,0.003045,0.002526,0.002828,26,,0.00
20171229,0.002459,0.003863,0.002260,0.003052,19,,0.00
20171228,0.004189,0.004207,0.002403,0.002434,190,,0.00
20171227,0.004276,0.004343,0.003265,0.004198,28,,0.00
20171226,0.003065,0.004358,0.003052,0.004273,5,,0.00
20171225,0.003097,0.003189,0.002965,0.003068,169,,0.00
20171224,0.005112,0.005112,0.004398,0.004741,1,,0.00
20171223,0.005378,0.006038,0.005033,0.005056,2,,0.01
20171222,0.003457,0.005782,0.002808,0.005328,3,,0.00
20171221,0.003367,0.003485,0.003354,0.003445,10,,0.00
20171220,0.004228,0.004280,0.003850,0.004159,10,,0.00
20171219,0.004325,0.004431,0.004092,0.004233,11,,0.00
20171218,0.004209,0.004245,0.004020,0.004151,29,,0.00
20171217,0.004285,0.004393,0.004151,0.004196,30,,0.00
20171216,0.008294,0.008334,0.004094,0.004284,9,,0.01
20171215,0.003318,0.008495,0.003317,0.008282,62,,0.01
20171214,0.003275,0.003413,0.003238,0.003313,2,,0.00
20171213,0.005183,0.005252,0.003262,0.003286,73,,0.00
20171212,0.006735,0.006830,0.005160,0.005178,643,,0.01
20171211,0.008386,0.008543,0.006362,0.006713,66,,0.01
20171210,0.005714,0.008675,0.005031,0.008447,30,,0.01
20171209,0.006506,0.010452,0.005303,0.005691,35,,0.01
