date,open,high,low,close,volume,marketcap,average
20180110,0.013874,0.014018,0.011167,0.011399,12748,17169900,0.01
20180109,0.012500,0.014339,0.011218,0.013856,13773,15448700,0.01
20180108,0.014005,0.014005,0.010405,0.012534,6963,17273800,0.01
20180107,0.013762,0.014116,0.011576,0.014025,8554,16950900,0.01
20180106,0.015016,0.016883,0.010058,0.013887,17295,18467300,0.01
20180105,0.010061,0.016176,0.010003,0.014288,14916,12352500,0.01
20180104,0.007612,0.014219,0.006217,0.010054,16388,9328210,0.01
20180103,0.006373,0.007593,0.006365,0.007571,3783,7794260,0.01
20180102,0.004918,0.006633,0.004899,0.006394,3941,6002460,0.01
20180101,0.005151,0.005151,0.004533,0.004836,522,6272460,0.00
20171231,0.004487,0.005247,0.004115,0.005134,2050,5451760,0.00
20171230,0.004868,0.005004,0.004050,0.004531,1852,5906530,0.00
20171229,0.004806,0.006028,0.004691,0.004881,2316,5822600,0.01
20171228,0.005560,0.005620,0.004142,0.004762,1752,6725780,0.00
20171227,0.004554,0.005799,0.004512,0.005570,1361,5501280,0.01
20171226,0.004813,0.005575,0.003606,0.004550,2164,5805920,0.00
20171225,0.004634,0.005719,0.004504,0.004808,1006,5580740,0.01
20171224,0.005372,0.005591,0.004266,0.004594,593,6459480,0.00
20171223,0.005653,0.006301,0.004475,0.005313,9200,6786630,0.01
20171222,0.005058,0.006036,0.003215,0.005584,666,6061370,0.00
20171221,0.004175,0.005682,0.003980,0.005045,2198,4992750,0.00
20171220,0.005211,0.005211,0.003469,0.004171,2386,6217950,0.00
20171219,0.006411,0.007109,0.004270,0.005215,3842,7632620,0.01
20171218,0.005181,0.006407,0.004947,0.006407,587,6153560,0.01
20171217,0.006309,0.006309,0.005123,0.005166,1080,7475170,0.01
20171216,0.005473,0.006350,0.005420,0.006289,1140,6477900,0.01
20171215,0.005330,0.006471,0.005204,0.005468,705,6298100,0.01
20171214,0.005885,0.006874,0.004871,0.005327,1131,6942330,0.01
20171213,0.005774,0.006418,0.004586,0.005902,534,6803740,0.01
20171212,0.007743,0.009745,0.004383,0.005763,2214,9112050,0.01
20171211,0.003666,0.007820,0.003648,0.007724,2200,4306700,0.01
20171210,0.006617,0.009883,0.003641,0.003648,1202,7762530,0.01
20171209,0.006739,0.009308,0.004737,0.006671,2498,7892260,0.01
