date,open,high,low,close,volume,marketcap,average
20180110,0.172577,0.180340,0.143740,0.156247,59021,2350060,0.16
20180109,0.205957,0.247255,0.138606,0.172351,215876,2803970,0.19
20180108,0.218565,0.258567,0.166162,0.206504,162894,2974820,0.21
20180107,0.208626,0.272461,0.187486,0.218856,202852,2837570,0.23
20180106,0.141851,0.224599,0.135952,0.208787,191675,1925020,0.18
20180105,0.109508,0.147691,0.106977,0.138449,52222,1485670,0.13
20180104,0.098561,0.113222,0.094648,0.109473,45851,1336720,0.10
20180103,0.080424,0.104080,0.076194,0.098030,29799,1090430,0.09
20180102,0.067836,0.084325,0.066056,0.080698,34524,919143,0.08
20180101,0.074869,0.080391,0.056042,0.067846,32024,1013960,0.07
20171231,0.062031,0.080338,0.062031,0.074598,19429,839270,0.07
20171230,0.058140,0.063446,0.052917,0.062697,12148,786164,0.06
20171229,0.055518,0.065836,0.041404,0.058286,25086,750339,0.05
20171228,0.069643,0.072210,0.047023,0.054723,28819,940439,0.06
20171227,0.058500,0.071351,0.058083,0.069687,7531,789507,0.06
20171226,0.061549,0.064892,0.044793,0.058444,10055,829672,0.05
20171225,0.058467,0.074369,0.055972,0.056497,16112,787364,0.07
20171224,0.058805,0.061600,0.048082,0.057901,16918,791364,0.05
20171223,0.057388,0.068490,0.046185,0.058024,16266,771881,0.06
20171222,0.053735,0.063522,0.041737,0.056846,3861,722239,0.05
20171221,0.050279,0.061366,0.046513,0.053556,11106,675381,0.05
20171220,0.051407,0.059603,0.043717,0.050154,12703,689974,0.05
20171219,0.064219,0.066432,0.050708,0.051457,6999,861260,0.06
20171218,0.069602,0.071647,0.051681,0.064212,19703,932771,0.06
20171217,0.069943,0.083916,0.064233,0.069067,28892,936552,0.07
20171216,0.061403,0.073976,0.056031,0.069933,27447,821494,0.07
20171215,0.055422,0.071733,0.053835,0.061324,11067,740962,0.06
20171214,0.043822,0.056739,0.042034,0.055872,6730,585460,0.05
20171213,0.034496,0.062901,0.029005,0.043240,36626,460237,0.05
20171212,0.028752,0.034910,0.022748,0.034433,61193,383179,0.03
20171211,0.027883,0.034720,0.024667,0.028659,12890,370890,0.03
20171210,0.024329,0.029164,0.020956,0.028086,2865,323371,0.03
20171209,0.030687,0.035403,0.022291,0.024235,9676,407556,0.03
20171208,0.030691,0.044934,0.027025,0.030717,21706,407163,0.04
20171207,0.049088,0.049088,0.028273,0.030624,18553,650369,0.04
20171206,0.023253,0.049352,0.020887,0.049352,27365,307644,0.04
20171205,0.019469,0.029859,0.016945,0.023039,6783,257310,0.02
20171204,0.014190,0.020669,0.014174,0.019420,4990,187284,0.02
