date,open,high,low,close,volume,marketcap,average
20180110,0.047242,0.051280,0.033136,0.041786,633342,233622000,0.04
20180109,0.047590,0.051662,0.042757,0.048479,664811,235338000,0.05
20180108,0.078728,0.078728,0.035707,0.045359,1453390,389321000,0.06
20180107,0.028776,0.067756,0.024572,0.067315,1888080,142301000,0.05
20180106,0.021619,0.031089,0.020682,0.028904,381239,106909000,0.03
20180105,0.020771,0.021425,0.017619,0.021425,152831,102715000,0.02
20180104,0.023193,0.023246,0.017268,0.020808,57799,114694000,0.02
20180103,0.018340,0.024681,0.016238,0.023126,52098,90692600,0.02
20180102,0.017321,0.021060,0.016323,0.018773,104917,85655000,0.02
20180101,0.018754,0.019177,0.015990,0.017307,74702,92743500,0.02
20171231,0.016831,0.018887,0.015485,0.018738,153772,83231500,0.02
20171230,0.017813,0.017867,0.015287,0.016990,85826,75618000,0.02
20171229,0.018642,0.018955,0.016588,0.017843,58842,79137900,0.02
20171228,0.022274,0.022330,0.016999,0.018511,54296,94554700,0.02
20171227,0.019239,0.022397,0.016271,0.022315,53561,81674400,0.02
20171226,0.024701,0.025060,0.018244,0.019206,65872,104861000,0.02
20171225,0.016134,0.024720,0.016082,0.024720,91522,68490900,0.02
20171224,0.018052,0.018052,0.014622,0.015965,55252,76632300,0.02
20171223,0.015835,0.018848,0.015835,0.016728,56532,67221100,0.02
20171222,0.018058,0.018748,0.012705,0.015703,41755,76657200,0.02
20171221,0.018450,0.021311,0.017681,0.018004,73484,78322400,0.02
20171220,0.021501,0.022348,0.017567,0.018409,58440,91274900,0.02
20171219,0.022549,0.024127,0.018174,0.021523,110145,95725100,0.02
20171218,0.025229,0.025258,0.016622,0.022570,150095,97010100,0.02
20171217,0.025525,0.027894,0.021998,0.025119,128087,98151900,0.02
20171216,0.019364,0.025867,0.017390,0.025500,89552,74459400,0.02
20171215,0.016777,0.022090,0.015745,0.019341,56938,64510700,0.02
20171214,0.018580,0.019163,0.016041,0.016757,70736,71446500,0.02
20171213,0.021045,0.021304,0.016085,0.018695,54402,80921300,0.02
20171212,0.034199,0.035788,0.017222,0.021016,141550,131503000,0.03
20171211,0.016258,0.034796,0.016258,0.034796,221648,60889500,0.03
20171210,0.017470,0.021071,0.014753,0.016348,32305,65431100,0.02
20171209,0.016939,0.020046,0.015014,0.017423,131820,63442800,0.02
20171208,0.018019,0.018962,0.012984,0.016950,54252,67485600,0.02
20171207,0.016035,0.021380,0.015126,0.017988,126666,60055900,0.02
20171206,0.014438,0.017805,0.013917,0.016071,80071,54072300,0.02
20171205,0.017383,0.020991,0.014046,0.014463,44451,65104700,0.02
20171204,0.018217,0.023293,0.016274,0.016934,123568,65857500,0.02
20171203,0.021310,0.021923,0.016966,0.018032,36249,77042000,0.02
20171202,0.021600,0.022574,0.019526,0.021295,57270,78090500,0.02
20171201,0.017649,0.021823,0.016400,0.021613,33556,63805000,0.02
20171130,0.018264,0.019724,0.015551,0.017708,37485,60548800,0.02
20171129,0.017394,0.021335,0.015165,0.018012,40763,57666700,0.02
20171128,0.019042,0.021060,0.016222,0.017366,26169,63127700,0.02
20171127,0.021404,0.022350,0.017261,0.019038,47091,70959000,0.02
20171126,0.018512,0.023041,0.017115,0.021404,42065,61371600,0.02
20171125,0.020821,0.024360,0.015652,0.018495,38177,69026000,0.02
20171124,0.021525,0.024321,0.019527,0.021027,67331,71361200,0.02
20171123,0.025178,0.025580,0.020139,0.021612,73988,83470400,0.02
20171122,0.021583,0.025383,0.021547,0.025123,155009,71554200,0.02
20171121,0.021829,0.024183,0.020138,0.021546,49035,72368700,0.02
20171120,0.025387,0.028763,0.021061,0.021857,140254,84163300,0.02
20171119,0.041776,0.043581,0.024193,0.025625,115607,138498000,0.03
20171118,0.023581,0.044999,0.020154,0.041858,147380,68703100,0.03
20171117,0.022995,0.026421,0.020412,0.023619,938499,66995400,0.02
20171116,0.026622,0.031066,0.022060,0.023025,335533,77564000,0.03
20171115,0.029107,0.029657,0.025373,0.027630,183774,84803100,0.03
20171114,0.025421,0.032230,0.025421,0.029100,411470,74065200,0.03
20171113,0.022805,0.025355,0.021786,0.022995,375378,66443900,0.02
20171112,0.023636,0.025393,0.021898,0.022775,43536,68864100,0.02
20171111,0.023094,0.029444,0.022474,0.024164,52212,67285400,0.03
20171110,0.023629,0.048208,0.017923,0.023164,65044,68843300,0.03
20171109,0.025547,0.026767,0.019840,0.023580,36325,74431600,0.02
20171108,0.028584,0.030868,0.022761,0.025659,66577,83280800,0.03
20171107,0.026147,0.033571,0.022395,0.028570,56951,76179900,0.03
20171106,0.023285,0.029469,0.022829,0.026114,240405,67842100,0.03
20171105,0.023585,0.024376,0.021639,0.023261,177256,68715100,0.02
20171104,0.023984,0.024146,0.013784,0.023565,146032,69879100,0.02
20171103,0.020875,0.024266,0.020875,0.023982,322292,60818900,0.02
20171102,0.023849,0.026555,0.019542,0.020775,316084,69486100,0.02
20171101,0.025202,0.025278,0.023785,0.023785,215765,73426100,0.02
20171031,0.027217,0.027554,0.025238,0.025238,318807,79298100,0.03
20171030,0.027977,0.028052,0.024378,0.027205,583766,81510600,0.03
20171029,0.026859,0.028639,0.026773,0.027999,447887,78254300,0.03
20171028,0.027454,0.027527,0.025147,0.026871,1095030,79989500,0.03
20171027,0.028669,0.029546,0.027117,0.027427,2031180,83526800,0.03
20171026,0.054250,0.086482,0.028104,0.028682,1035190,158058000,0.06
20171025,0.045533,0.112940,0.029094,0.054362,1669920,132663000,0.07
20171024,0.032815,0.107138,0.029807,0.054500,2012790,95606700,0.07
20171023,0.026671,0.034599,0.025102,0.028493,3901700,77706200,0.03
20171022,0.028266,0.029315,0.023811,0.026696,19119600,82354300,0.03
20171021,0.030797,0.032835,0.026441,0.028262,14460800,86649600,0.03
20171020,0.033435,0.044244,0.027763,0.030235,3326540,94069800,0.04
20171019,0.045037,0.045037,0.029679,0.033461,331934,126712000,0.04
20171018,0.037955,0.045142,0.028865,0.045142,273838,91146200,0.04
20171017,0.035459,0.038227,0.031840,0.038000,74970,85152100,0.04
20171016,0.035489,0.075757,0.030394,0.035369,187591,85224700,0.05
20171015,0.029584,0.042269,0.029584,0.035396,232100,64240600,0.04
20171014,0.028978,0.114037,0.027086,0.029498,53791,62924200,0.07
20171013,0.025828,0.169312,0.024797,0.028950,49420,56084100,0.10
20171012,0.026896,0.027413,0.025199,0.025878,56588,58402700,0.03
20171011,0.025969,0.027143,0.022070,0.026896,28458,56389800,0.02
20171010,0.025834,0.027325,0.021821,0.025970,127260,56097200,0.02
20171009,0.024765,0.027663,0.020380,0.025770,28251,53775400,0.02
20171008,0.028031,0.028109,0.023397,0.024763,18126,60868000,0.03
20171007,0.027727,0.029119,0.024876,0.028071,17426,,0.03
20171006,0.025417,0.027775,0.025371,0.027775,26386,,0.03
20171005,0.026252,0.026253,0.024575,0.025410,576,,0.03
20171004,0.026304,0.026727,0.025058,0.026253,28018,,0.03
