date,open,high,low,close,volume,marketcap,average
20180110,0.066012,0.074692,0.063576,0.074692,132,,0.07
20180109,0.065239,0.067482,0.049954,0.065926,99,,0.06
20180108,0.066768,0.067019,0.058396,0.061735,3,,0.06
20180107,0.058317,0.069282,0.057079,0.066862,203,,0.06
20180106,0.061652,0.061917,0.056762,0.058360,570,,0.06
20180105,0.056322,0.062125,0.055403,0.061603,74,,0.06
20180104,0.055215,0.056311,0.052153,0.056311,76,,0.05
20180103,0.059343,0.063394,0.053204,0.054914,74,,0.06
20180102,0.047525,0.060563,0.045885,0.059554,30,,0.05
20180101,0.049074,0.049108,0.045320,0.047529,1,,0.05
20171231,0.044374,0.052463,0.043932,0.048885,13,,0.05
20171230,0.053634,0.053652,0.044858,0.044858,2,,0.05
20171229,0.054129,0.055054,0.053318,0.053770,9,,0.05
20171228,0.057409,0.057652,0.050994,0.052643,5,,0.05
20171227,0.058597,0.061268,0.054469,0.057530,11,,0.06
20171226,0.048336,0.059716,0.048336,0.058555,73,,0.05
20171225,0.047755,0.050015,0.044973,0.048385,33,,0.05
20171224,0.050100,0.054444,0.044361,0.047264,465,,0.05
20171223,0.047850,0.053393,0.046906,0.049553,224,,0.05
20171222,0.053110,0.054605,0.039488,0.047402,2038,,0.05
20171221,0.061977,0.064133,0.052105,0.052927,2073,,0.06
20171220,0.059551,0.062012,0.054217,0.061815,161,,0.06
20171219,0.072325,0.072584,0.057634,0.059610,21,,0.07
20171218,0.063709,0.072263,0.060852,0.072263,18,,0.07
20171217,0.063884,0.065561,0.062612,0.063517,65,,0.06
20171216,0.058058,0.066611,0.057325,0.063875,1046,,0.06
20171215,0.063033,0.067041,0.056786,0.057977,4,,0.06
20171214,0.054039,0.063819,0.053430,0.062938,88,,0.06
20171213,0.056665,0.062508,0.052589,0.054213,122,,0.06
20171212,0.055393,0.058426,0.054094,0.056618,126,,0.06
20171211,0.054889,0.063015,0.054649,0.055215,47,,0.06
20171210,0.055488,0.058010,0.048849,0.055288,2,,0.05
20171209,0.054321,0.057758,0.048759,0.055265,60,,0.05
20171208,0.057967,0.058832,0.047034,0.054376,41,,0.05
20171207,0.045878,0.057831,0.045291,0.057831,63,,0.05
20171206,0.034517,0.046226,0.034441,0.045957,145,,0.04
20171205,0.043594,0.044220,0.034574,0.034594,206,,0.04
20171204,0.032907,0.043509,0.032549,0.043509,93,,0.04
20171202,0.031238,0.032129,0.030789,0.031430,31,,0.03
20171201,0.028480,0.031447,0.026963,0.031265,46,,0.03
20171130,0.027324,0.029722,0.025647,0.028622,310,,0.03
20171129,0.031769,0.036833,0.025279,0.026910,2897,,0.03
20171128,0.031217,0.031935,0.030915,0.031801,26,,0.03
20171127,0.029817,0.038065,0.029817,0.031137,21,,0.03
20171126,0.027638,0.030049,0.027607,0.029811,78,,0.03
20171125,0.025779,0.027647,0.025713,0.027647,120,,0.03
20171124,0.032068,0.033273,0.025759,0.025832,1,,0.03
20171123,0.025334,0.032739,0.024955,0.032112,70,,0.03
20171122,0.025641,0.026031,0.025290,0.025342,73,,0.03
20171121,0.025384,0.026450,0.024012,0.025578,266,,0.03
20171120,0.024452,0.026779,0.024159,0.025379,91,,0.03
20171119,0.025152,0.025589,0.023979,0.024463,37,,0.02
20171118,0.024159,0.025392,0.023995,0.025198,5,,0.02
20171117,0.025260,0.025854,0.024366,0.025425,305,,0.03
