date,open,high,low,close,volume,marketcap,average
20180110,0.002045,0.002340,0.001434,0.002250,3078,,0.00
20180109,0.001506,0.002042,0.001224,0.002042,4176,,0.00
20180108,0.000814,0.001528,0.000712,0.001510,7677,,0.00
20180107,0.000860,0.000860,0.000498,0.000815,1317,,0.00
20180106,0.000679,0.000863,0.000505,0.000861,859,,0.00
20180105,0.000759,0.000843,0.000448,0.000679,908,,0.00
20180104,0.000456,0.000767,0.000435,0.000759,1714,,0.00
20180103,0.000593,0.000760,0.000453,0.000454,856,,0.00
20180102,0.000540,0.000608,0.000406,0.000596,157,,0.00
20180101,0.000559,0.000559,0.000391,0.000540,199,,0.00
20171231,0.000381,0.000570,0.000378,0.000557,149,,0.00
20171230,0.000580,0.000580,0.000372,0.000514,339,,0.00
20171229,0.000434,0.000750,0.000424,0.000581,2496,,0.00
20171228,0.000310,0.000571,0.000276,0.000430,171,,0.00
20171227,0.000475,0.000495,0.000294,0.000311,243,,0.00
20171226,0.000418,0.000476,0.000302,0.000475,216,,0.00
20171225,0.000423,0.000435,0.000274,0.000418,39,,0.00
20171224,0.000438,0.000438,0.000265,0.000418,35,,0.00
20171223,0.000414,0.000470,0.000283,0.000433,84,,0.00
20171222,0.000471,0.000476,0.000229,0.000410,1467,,0.00
20171221,0.000494,0.000522,0.000328,0.000470,174,,0.00
20171220,0.000529,0.000535,0.000315,0.000493,684,,0.00
20171219,0.000574,0.000763,0.000517,0.000529,258,,0.00
20171218,0.000765,0.000950,0.000557,0.000574,292,,0.00
20171217,0.000584,0.000790,0.000566,0.000763,429,,0.00
20171216,0.000706,0.000925,0.000529,0.000584,776,,0.00
20171215,0.000332,0.000715,0.000332,0.000705,426,,0.00
20171214,0.000491,0.000671,0.000331,0.000331,93,,0.00
20171213,0.000518,0.000525,0.000478,0.000493,184,,0.00
20171212,0.000505,0.000682,0.000338,0.000518,640,,0.00
20171211,0.000610,0.000996,0.000164,0.000503,1754,,0.00
20171210,0.000902,0.001144,0.000414,0.000614,971,,0.00
20171209,0.000651,0.001211,0.000295,0.000899,2035,,0.00
20171208,0.000521,0.000651,0.000422,0.000651,14,,0.00
20171207,0.000412,0.000519,0.000407,0.000519,79,,0.00
20171206,0.000351,0.000509,0.000351,0.000413,24,,0.00
20171205,0.000466,0.000477,0.000345,0.000352,129,,0.00
20171204,0.000337,0.000465,0.000327,0.000465,12,,0.00
20171203,0.000437,0.000592,0.000318,0.000336,225,,0.00
20171202,0.000435,0.000543,0.000326,0.000437,175,,0.00
20171201,0.000400,0.000438,0.000378,0.000436,7,,0.00
20171130,0.000491,0.000535,0.000281,0.000402,173,,0.00
20171129,0.000397,0.000516,0.000311,0.000484,179,,0.00
20171128,0.000293,0.000398,0.000290,0.000398,42,,0.00
20171127,0.000373,0.000480,0.000288,0.000292,154,,0.00
20171126,0.000437,0.000441,0.000351,0.000373,14,,0.00
