date,open,high,low,close,volume,marketcap,average
20180110,0.020592,0.021298,0.019302,0.021298,33,,0.02
20180109,0.021385,0.022063,0.020276,0.020565,67,,0.02
20180108,0.022799,0.022884,0.019940,0.021443,145,,0.02
20180107,0.024256,0.024256,0.022246,0.022831,275,,0.02
20180106,0.023947,0.024350,0.023072,0.024273,21,,0.02
20180105,0.021405,0.024131,0.021056,0.023928,32,,0.02
20180104,0.021599,0.021947,0.020401,0.021401,50,,0.02
20180103,0.021067,0.021956,0.020834,0.021482,29,,0.02
20180102,0.019172,0.021584,0.018510,0.021142,32,,0.02
20180101,0.019853,0.019867,0.018334,0.019173,33,,0.02
20171231,0.018055,0.020224,0.017875,0.019777,39,,0.02
20171230,0.020729,0.020736,0.017408,0.018252,85,,0.02
20171229,0.020689,0.021630,0.020201,0.020781,25,,0.02
20171228,0.022498,0.022573,0.019485,0.020477,36,,0.02
20171227,0.022647,0.023679,0.021052,0.022234,32,,0.02
20171226,0.019919,0.023079,0.019838,0.022631,29,,0.02
20171225,0.020144,0.020731,0.018971,0.019940,27,,0.02
20171224,0.021033,0.021033,0.018096,0.019937,74,,0.02
20171223,0.019857,0.022547,0.019578,0.020803,8,,0.02
20171222,0.023412,0.023643,0.016482,0.019671,39,,0.02
20171221,0.024560,0.025906,0.021951,0.023332,329,,0.02
20171220,0.025547,0.025861,0.023259,0.024496,186,,0.02
20171219,0.027935,0.028220,0.024725,0.025572,34,,0.03
20171218,0.027933,0.028240,0.026680,0.027911,100,,0.03
20171217,0.028826,0.029588,0.027548,0.027848,90,,0.03
20171216,0.025764,0.029049,0.025439,0.028822,177,,0.03
20171215,0.024218,0.026389,0.024213,0.025728,36,,0.03
20171214,0.024072,0.025084,0.023800,0.024182,71,,0.02
20171213,0.025396,0.025733,0.023426,0.024150,34,,0.02
20171212,0.024750,0.026105,0.024170,0.025375,37,,0.03
20171211,0.022413,0.025731,0.022315,0.024671,40,,0.02
20171210,0.022105,0.023186,0.019460,0.022576,31,,0.02
20171209,0.023908,0.024262,0.019910,0.022016,16,,0.02
20171208,0.025512,0.025893,0.020700,0.023932,68,,0.02
20171207,0.021016,0.025776,0.020747,0.025452,1590,,0.02
20171206,0.017902,0.021082,0.017902,0.021052,24,,0.02
20171205,0.017834,0.018233,0.017585,0.017942,146,,0.02
20171204,0.017200,0.017799,0.016659,0.017799,5,,0.02
20171203,0.016726,0.018111,0.016200,0.017143,5,,0.02
20171202,0.016653,0.017128,0.016414,0.016709,9,,0.02
20171201,0.015489,0.016874,0.014664,0.016667,82,,0.02
20171130,0.015136,0.016465,0.013858,0.015566,72,,0.02
20171129,0.015289,0.017616,0.014003,0.014907,7,,0.02
20171128,0.015023,0.015369,0.014878,0.015304,9,,0.02
20171127,0.014349,0.015010,0.014349,0.014984,76,,0.01
20171126,0.013469,0.014654,0.013454,0.014346,4,,0.01
20171125,0.012643,0.013474,0.012572,0.013474,6,,0.01
20171124,0.012377,0.012842,0.012141,0.012669,6,,0.01
20171123,0.012749,0.012811,0.012394,0.012394,8,,0.01
20171122,0.012415,0.012816,0.012362,0.012753,20,,0.01
20171121,0.012692,0.012806,0.012006,0.012384,61,,0.01
20171120,0.012387,0.012759,0.012239,0.012689,25,,0.01
20171119,0.011992,0.012492,0.011853,0.012393,7,,0.01
20171118,0.011838,0.012037,0.011476,0.012014,31,,0.01
20171117,0.012081,0.012365,0.011653,0.011883,1,,0.01
20171116,0.011904,0.012324,0.011143,0.012101,90,,0.01
20171115,0.010248,0.011867,0.010248,0.011842,6,,0.01
20171114,0.010123,0.010417,0.009961,0.010241,48,,0.01
20171113,0.009158,0.010425,0.009087,0.010101,13,,0.01
20171112,0.009923,0.010168,0.008748,0.009145,4,,0.01
20171111,0.010257,0.010624,0.009721,0.009931,9,,0.01
20171110,0.011192,0.011501,0.010064,0.010293,142,,0.01
20171109,0.011724,0.011724,0.011069,0.011159,17,,0.01
20171108,0.011770,0.012313,0.011245,0.011736,46,,0.01
20171107,0.010995,0.011398,0.010995,0.011217,37,,0.01
20171106,0.012108,0.012251,0.010973,0.011013,39,,0.01
20171105,0.011655,0.012026,0.011540,0.011694,64,,0.01
20171104,0.011324,0.011928,0.011064,0.011678,68,,0.01
20171103,0.011097,0.011797,0.010973,0.011353,4,,0.01
20171102,0.010698,0.011626,0.010698,0.011111,34,,0.01
20171101,0.011664,0.012006,0.010556,0.010687,2492,,0.01
20171031,0.011214,0.011739,0.011154,0.011672,299,,0.01
20171030,0.011267,0.011377,0.011045,0.011252,19,,0.01
20171029,0.010482,0.011570,0.010454,0.011333,16,,0.01
20171028,0.010662,0.010860,0.010439,0.010496,177,,0.01
20171027,0.010891,0.011093,0.010544,0.010633,15,,0.01
20171026,0.010953,0.011430,0.010732,0.010888,675,,0.01
20171025,0.010540,0.010974,0.010279,0.010954,12,,0.01
20171024,0.011203,0.011203,0.010477,0.010536,14,,0.01
20171023,0.011660,0.011831,0.010997,0.011228,646,,0.01
20171022,0.011727,0.011830,0.011208,0.011678,15,,0.01
20171021,0.011710,0.012076,0.011510,0.011723,76,,0.01
20171020,0.011124,0.011916,0.010960,0.011735,32,,0.01
20171019,0.010895,0.011195,0.010795,0.011121,51,,0.01
20171018,0.010921,0.010942,0.010013,0.010889,4,,0.01
20171017,0.011269,0.011301,0.010795,0.010921,3,,0.01
20171016,0.011099,0.011326,0.010855,0.011267,9,,0.01
20171015,0.011410,0.011447,0.010638,0.011098,26,,0.01
20171014,0.011029,0.011405,0.010908,0.011390,17,,0.01
20171013,0.010609,0.011460,0.010542,0.011026,13,,0.01
20171012,0.009411,0.010577,0.009387,0.010577,37,,0.01
