date,open,high,low,close,volume,marketcap,average
20180110,1.25,1.44,1.13,1.27,22515,20488400,1.28
20180109,0.997465,1.32,0.995018,1.25,40078,16336700,1.16
20180108,1.05,1.09,0.916182,1.05,21062,17273800,1.00
20180107,0.910197,1.24,0.845719,1.05,28434,14907400,1.04
20180106,0.768984,1.60,0.717531,0.910767,27338,12586900,1.16
20180105,0.767505,0.780613,0.692375,0.767965,79915,12562700,0.74
20180104,0.782621,0.962456,0.653179,0.768643,100865,12810100,0.81
20180103,0.703221,0.814343,0.532496,0.779352,134474,11510500,0.67
20180102,0.667116,0.714666,0.568358,0.701797,19627,10919500,0.64
20180101,0.695234,0.757525,0.574804,0.666665,2425,11379700,0.67
20171231,0.587857,0.769523,0.531439,0.695511,7874,9622180,0.65
20171230,0.602066,0.668415,0.519722,0.593540,7493,9854760,0.59
20171229,0.793102,0.810117,0.579240,0.602704,19781,12794500,0.69
20171228,0.798811,0.812791,0.676983,0.786579,17552,12886600,0.74
20171227,0.832895,0.862011,0.738258,0.800406,29556,13436400,0.80
20171226,0.909171,1.03,0.717939,0.831785,36527,14639700,0.87
20171225,0.551141,0.915192,0.545025,0.910032,11715,8874600,0.73
20171224,0.491380,0.737585,0.408420,0.546824,15735,7912300,0.57
20171223,0.566604,0.706183,0.496240,0.557171,45481,9013750,0.60
20171222,0.802459,0.807435,0.530608,0.561739,9139,12731000,0.67
20171221,0.821254,1.01,0.691919,0.799563,31893,13029200,0.85
20171220,0.621986,0.820069,0.466330,0.820069,28071,9867790,0.64
20171219,0.596441,0.704650,0.533817,0.596659,8342,9462510,0.62
20171218,0.627220,0.710954,0.535252,0.597466,17226,9950830,0.62
20171217,0.704361,0.790338,0.376760,0.627232,32223,11174700,0.58
20171216,0.752753,0.792711,0.549380,0.703989,10541,11942400,0.67
20171215,0.727331,0.995013,0.619658,0.751397,12750,11539100,0.81
20171214,0.700907,5.67,0.629422,0.747253,40136,11119900,3.15
20171213,0.392584,0.703201,0.277726,0.701681,13144,6228330,0.49
20171212,0.367369,0.409856,0.321151,0.392316,22306,5828300,0.37
20171211,0.307854,0.370765,0.289438,0.369740,7699,4884100,0.33
20171210,0.342366,0.361692,0.306000,0.307508,7019,,0.33
20171209,0.405852,0.439712,0.331878,0.341271,527,,0.39
20171208,0.354940,0.406661,0.346193,0.405862,3421,,0.38
20171207,0.338761,0.363953,0.326860,0.354424,939,,0.35
20171206,0.449313,0.450248,0.335254,0.416429,2272,,0.39
20171205,0.347458,0.462658,0.307445,0.450103,2753,,0.39
20171204,0.356546,0.358492,0.285158,0.347280,2958,,0.32
20171203,0.368494,0.384734,0.309767,0.355890,6151,,0.35
20171202,0.401804,0.488107,0.341837,0.368370,8479,,0.41
20171201,0.381749,0.491183,0.364242,0.401815,9551,,0.43
20171130,0.568290,0.718252,0.339091,0.382698,26774,,0.53
20171129,0.697232,0.731780,0.522421,0.561105,18371,,0.63
20171128,0.516148,0.702616,0.461923,0.696673,16278,,0.58
20171127,0.564677,0.592283,0.422433,0.516855,18412,,0.51
20171126,0.621069,0.621069,0.498794,0.564818,21699,,0.56
20171125,0.636177,0.657064,0.535214,0.621049,37747,,0.60
20171124,0.638295,0.677879,0.529025,0.636281,28123,,0.60
20171123,0.768758,0.854161,0.613577,0.641505,98014,,0.73
20171122,0.857759,0.866307,0.747859,0.766994,65054,,0.81
20171121,1.75,1.77,0.799596,0.856665,177165,,1.28
20171120,1.58,1.80,1.48,1.76,144393,,1.64
