date,open,high,low,close,volume,marketcap,average
20180110,0.896923,0.896923,0.737879,0.802175,48395100,896923000,0.82
20180109,0.853708,0.980702,0.816096,0.891962,86957600,853708000,0.90
20180108,0.760422,0.923245,0.587154,0.848184,71550600,760422000,0.76
20180107,0.662447,0.841514,0.662447,0.758233,78834400,662447000,0.75
20180106,0.556086,0.749462,0.553080,0.663905,51922100,556086000,0.65
20180105,0.624230,0.663463,0.524550,0.552881,46643000,624230000,0.59
20180104,0.645153,0.684671,0.605694,0.634125,49913400,645153000,0.65
20180103,0.565701,0.677083,0.512517,0.651219,53393700,565701000,0.59
20180102,0.473987,0.628335,0.473987,0.563300,61507700,473987000,0.55
20180101,0.413187,0.492197,0.391297,0.475599,23566200,413187000,0.44
20171231,0.350872,0.432559,0.346350,0.412203,18495600,350871000,0.39
20171230,0.379237,0.379237,0.322974,0.353930,14934100,379237000,0.35
20171229,0.384596,0.402610,0.358923,0.381674,13222900,384596000,0.38
20171228,0.404520,0.404520,0.330953,0.381722,16323400,404520000,0.37
20171227,0.407426,0.453465,0.380762,0.406465,27499600,407426000,0.42
20171226,0.389784,0.450194,0.340387,0.404879,22083600,389784000,0.40
20171225,0.373529,0.461718,0.354356,0.390715,27227000,373529000,0.41
20171224,0.331396,0.373256,0.287734,0.373256,9932210,331396000,0.33
20171223,0.304869,0.363694,0.304869,0.327864,9969610,304869000,0.33
20171222,0.371063,0.374780,0.219856,0.302083,13553800,371063000,0.30
20171221,0.378768,0.412889,0.351044,0.370376,21032000,378768000,0.38
20171220,0.376195,0.377025,0.320021,0.376895,16978500,376195000,0.35
20171219,0.395110,0.417235,0.358429,0.375701,21628900,395110000,0.39
20171218,0.312227,0.436940,0.309387,0.395567,32789600,312227000,0.37
20171217,0.270604,0.351926,0.269124,0.311358,25909600,270604000,0.31
20171216,0.237600,0.271318,0.237299,0.270852,12336400,237600000,0.25
20171215,0.240416,0.243402,0.212466,0.235625,9697550,240416000,0.23
20171214,0.237202,0.248894,0.224380,0.240201,13308900,237202000,0.24
20171213,0.245033,0.254383,0.223079,0.238908,11660800,245033000,0.24
20171212,0.213106,0.272181,0.203490,0.245799,30706800,213106000,0.24
20171211,0.175378,0.235737,0.174918,0.210838,14784600,175378000,0.21
20171210,0.184967,0.184967,0.155022,0.175097,4934790,184967000,0.17
20171209,0.185408,0.199520,0.174940,0.185353,4858860,185408000,0.19
20171208,0.174933,0.189441,0.169128,0.186056,5905930,174933000,0.18
20171207,0.204538,0.209080,0.168851,0.173906,8750000,204538000,0.19
20171206,0.224128,0.227733,0.193441,0.206024,10626800,224128000,0.21
20171205,0.192188,0.226835,0.187000,0.224739,9751950,192188000,0.21
20171204,0.170007,0.204616,0.169102,0.192440,7164930,170007000,0.19
20171203,0.170160,0.179702,0.160182,0.170244,3795080,170160000,0.17
20171202,0.177254,0.177254,0.167340,0.169221,3125470,177254000,0.17
20171201,0.159462,0.178800,0.154044,0.176916,3118700,159462000,0.17
20171130,0.155341,0.174726,0.140673,0.159573,3391230,155341000,0.16
20171129,0.195337,0.206646,0.149889,0.151431,5918270,195337000,0.18
20171128,0.186629,0.195637,0.185511,0.195462,4521830,186629000,0.19
20171127,0.179267,0.188937,0.176520,0.186623,4168600,179267000,0.18
20171126,0.166252,0.179395,0.165484,0.179284,4057580,166252000,0.17
20171125,0.160128,0.165884,0.155781,0.165884,3787990,160128000,0.16
20171124,0.158582,0.161391,0.154530,0.160319,3428690,158582000,0.16
20171123,0.166951,0.167897,0.157045,0.158281,3089820,166951000,0.16
20171122,0.154814,0.167832,0.154544,0.167282,3086240,154814000,0.16
20171121,0.157763,0.166981,0.152876,0.154690,2777640,157763000,0.16
20171120,0.159930,0.163229,0.156410,0.157709,2961210,159930000,0.16
20171119,0.163459,0.164833,0.158315,0.161358,2455030,163459000,0.16
20171118,0.161460,0.165633,0.155645,0.162501,3096680,161460000,0.16
20171117,0.166421,0.180135,0.155159,0.160654,5317800,166421000,0.17
20171116,0.144264,0.172310,0.139390,0.167167,6494270,144264000,0.16
20171115,0.145754,0.149775,0.138325,0.143508,2425150,145754000,0.14
20171114,0.144157,0.150544,0.135131,0.147691,2805450,144157000,0.14
20171113,0.124678,0.151925,0.123785,0.143450,2146280,124678000,0.14
20171112,0.138002,0.138002,0.115952,0.124914,1549930,138002000,0.13
20171111,0.139728,0.145600,0.130550,0.137147,1274050,139728000,0.14
20171110,0.160076,0.161125,0.134577,0.139639,1616760,160076000,0.15
20171109,0.149664,0.166868,0.149175,0.160317,2266610,149664000,0.16
20171108,0.141745,0.155962,0.140031,0.149248,2300740,141745000,0.15
20171107,0.138018,0.145746,0.138010,0.141934,1175570,138018000,0.14
20171106,0.141019,0.142481,0.135678,0.137831,1565290,141019000,0.14
20171105,0.141324,0.144884,0.138791,0.140744,1166850,141324000,0.14
20171104,0.146493,0.146493,0.137842,0.141719,1581930,146493000,0.14
20171103,0.163697,0.166195,0.127327,0.146845,3418640,163697000,0.15
20171102,0.139612,0.173177,0.127822,0.166955,5297190,139612000,0.15
20171101,0.153747,0.160958,0.137936,0.138513,2628910,153747000,0.15
20171031,0.146643,0.167168,0.145623,0.154904,3375320,146643000,0.16
20171030,0.146109,0.150053,0.142668,0.146813,1245900,146109000,0.15
20171029,0.155104,0.157035,0.143382,0.145832,2217180,155104000,0.15
20171028,0.143486,0.157107,0.141414,0.155709,2032030,143486000,0.15
20171027,0.147531,0.148359,0.140947,0.142509,1306500,147531000,0.14
20171026,0.153503,0.157988,0.146016,0.147397,1663850,153503000,0.15
