date,open,high,low,close,volume,marketcap,average
20180110,0.879706,0.899181,0.792599,0.866564,22060,4390740,0.85
20180109,0.829728,0.942836,0.806516,0.886104,33463,4141110,0.87
20180108,0.880634,0.897613,0.754233,0.831022,31910,4394980,0.83
20180107,1.00,1.00,0.789736,0.883373,42781,5006690,0.89
20180106,0.616962,1.34,0.546179,1.00,103723,3078790,0.94
20180105,0.518738,0.651349,0.462390,0.527881,24344,2588510,0.56
20180104,0.422095,0.517900,0.392670,0.516718,26184,2106160,0.46
20180103,0.349460,0.473070,0.349460,0.414922,32623,1743650,0.41
20180102,0.338737,0.353309,0.309299,0.350609,19462,1690070,0.33
20180101,0.302217,0.338787,0.296120,0.338787,7883,1507790,0.32
20171231,0.339890,0.481792,0.300450,0.301383,12635,1695670,0.39
20171230,0.336020,0.348972,0.260543,0.344209,14361,1676290,0.30
20171229,0.333195,0.359933,0.322823,0.335714,10289,1662120,0.34
20171228,0.365474,0.387232,0.317180,0.331890,6697,1823060,0.35
20171227,0.356614,0.396577,0.350240,0.366126,13596,1778780,0.37
20171226,0.309497,0.387056,0.297135,0.354334,13121,1543690,0.34
20171225,0.321882,0.326632,0.297828,0.310547,6956,1605390,0.31
20171224,0.286477,0.303724,0.246505,0.292494,10552,1428740,0.28
20171223,0.291538,0.371258,0.242188,0.298101,7253,1453920,0.31
20171222,0.301805,0.320239,0.230126,0.289200,4624,1505050,0.28
20171221,0.390871,0.407835,0.286755,0.291828,8157,1949120,0.35
20171220,0.445659,0.445659,0.374278,0.387917,9832,2222220,0.41
20171219,0.486342,0.516377,0.423749,0.439392,8500,2424970,0.47
20171218,0.455418,0.484820,0.433063,0.484820,11314,2270670,0.46
20171217,0.428790,0.469928,0.423689,0.451342,14432,2137820,0.45
20171216,0.363464,0.432177,0.361716,0.428750,13314,1812040,0.40
20171215,0.342455,0.376419,0.323655,0.366478,6758,1707280,0.35
20171214,0.342784,0.353815,0.304164,0.323488,6119,1708910,0.33
20171213,0.371240,0.390896,0.330211,0.344220,13180,1850760,0.36
20171212,0.359075,0.456087,0.346417,0.363095,6040,1790080,0.40
20171211,0.324410,0.369834,0.266519,0.312185,9429,1617240,0.32
20171210,0.318544,0.351775,0.288950,0.328621,9008,1587970,0.32
20171209,0.357888,0.382448,0.296742,0.316455,13257,1784070,0.34
20171208,0.419451,0.429752,0.331864,0.356629,10489,2090930,0.38
20171207,0.274445,0.435362,0.274445,0.403737,13343,1368060,0.35
20171206,0.214493,0.274863,0.213797,0.274863,9063,1069190,0.24
20171205,0.189229,0.219574,0.185740,0.214895,7431,943238,0.20
20171204,0.239989,0.257946,0.178509,0.189854,4601,1196240,0.22
20171203,0.175784,0.243427,0.174433,0.236874,2070,876188,0.21
20171202,0.243203,0.261556,0.175397,0.175737,4402,1212220,0.22
20171201,0.158370,0.273320,0.151912,0.242942,5547,789359,0.21
20171130,0.188709,0.211346,0.135739,0.159114,3310,940562,0.17
20171129,0.167935,0.220021,0.159131,0.185441,7375,837007,0.19
20171128,0.144042,0.187052,0.143432,0.169239,6925,717907,0.17
20171127,0.135522,0.149426,0.134845,0.143625,5595,675431,0.14
20171126,0.136329,0.153319,0.133857,0.134326,6745,679441,0.14
20171125,0.122658,0.146687,0.121074,0.137250,6210,611298,0.13
20171124,0.127434,0.128920,0.120854,0.123234,3862,635089,0.12
20171123,0.129242,0.131844,0.115414,0.127645,2055,644086,0.12
20171122,0.125795,0.135576,0.123357,0.135176,3653,626895,0.13
20171121,0.139902,0.142305,0.124275,0.124994,4997,697185,0.13
20171120,0.165586,0.168588,0.129738,0.136913,3648,825164,0.15
20171119,0.124582,0.175687,0.115806,0.166127,2436,620818,0.15
20171118,0.125378,0.131017,0.111231,0.125713,2456,624773,0.12
20171117,0.126744,0.131961,0.112729,0.125124,2324,631572,0.12
20171116,0.127327,0.129451,0.117331,0.127137,3811,634465,0.12
20171115,0.119237,0.129497,0.092726,0.126621,2863,594142,0.11
20171114,0.124708,0.127461,0.105354,0.121043,6706,621394,0.12
20171113,0.111533,0.126710,0.101404,0.123967,1501,555734,0.11
20171112,0.124929,0.129711,0.107759,0.111374,1458,622470,0.12
20171111,0.142433,0.147847,0.124154,0.125182,7325,709678,0.14
20171110,0.154483,0.162431,0.129082,0.144293,3949,769700,0.15
20171109,0.160034,0.176686,0.147917,0.154810,2818,797345,0.16
20171108,0.145760,0.167610,0.141301,0.159004,6466,726213,0.15
20171107,0.164105,0.168901,0.138805,0.147419,2276,817599,0.15
20171106,0.139931,0.187145,0.134188,0.165261,1073,697146,0.16
20171105,0.138875,0.151246,0.136689,0.139551,2211,691875,0.14
20171104,0.145603,0.154127,0.122000,0.138908,3198,725380,0.14
20171103,0.140663,0.157216,0.140085,0.150073,1528,700754,0.15
20171102,0.142887,0.153441,0.136152,0.142721,5405,711823,0.14
20171101,0.146380,0.150831,0.128092,0.141412,2238,729212,0.14
20171031,0.131173,0.158826,0.129615,0.140251,3478,653444,0.14
20171030,0.144375,0.147205,0.114842,0.132215,2807,719199,0.13
20171029,0.140340,0.151998,0.138133,0.146896,2375,699083,0.15
20171028,0.144775,0.149766,0.135517,0.138394,4290,721165,0.14
20171027,0.158105,0.160806,0.142645,0.144547,5225,787552,0.15
20171026,0.152380,0.160985,0.140904,0.157888,3096,759018,0.15
20171025,0.154175,0.158153,0.144779,0.152241,4874,767946,0.15
20171024,0.149579,0.161735,0.133585,0.153033,4597,745040,0.15
20171023,0.120688,0.161987,0.119083,0.153638,3339,601125,0.14
20171022,0.120541,0.168614,0.109901,0.123015,2647,600385,0.14
20171021,0.131847,0.141245,0.098628,0.119703,5485,656685,0.12
20171020,0.146181,0.172548,0.123209,0.134006,4785,728061,0.15
20171019,0.153618,0.169798,0.142919,0.147966,4554,765089,0.16
20171018,0.151976,0.172120,0.135396,0.151722,5750,756882,0.15
20171017,0.172118,0.172118,0.136431,0.152132,2357,857167,0.15
20171016,0.166864,0.180943,0.163125,0.179937,6204,830972,0.17
20171015,0.173522,0.177661,0.159638,0.166154,31409,864094,0.17
20171014,0.143704,0.189658,0.125423,0.173492,36363,715588,0.16
20171013,0.156055,0.214622,0.131966,0.137823,38871,777040,0.17
20171012,0.165101,0.189433,0.136794,0.153079,50354,822064,0.16
20171011,0.145649,0.273741,0.144341,0.163548,107501,725197,0.21
20171010,0.162058,0.167389,0.145566,0.146111,14000,806865,0.16
20171009,0.210763,0.211526,0.158646,0.159840,22561,1049320,0.19
20171008,0.246467,0.255729,0.208003,0.210604,28819,1227040,0.23
20171007,0.259681,0.276703,0.241416,0.247062,26832,1292780,0.26
20171006,0.289790,0.348950,0.248407,0.259641,155935,1442620,0.30
20171005,0.245953,0.304201,0.229929,0.288801,98899,1224350,0.27
20171004,0.268350,0.298317,0.238539,0.246278,174704,1335800,0.27
20171003,0.802969,0.812748,0.241068,0.275093,679257,3996880,0.53
20171002,0.825166,0.855302,0.786113,0.802440,65993,4107230,0.82
20171001,0.828924,0.880414,0.822427,0.843804,56430,4125780,0.85
20170930,0.789501,0.877874,0.785937,0.852496,86759,3929420,0.83
20170929,0.769565,0.795957,0.735470,0.790046,98566,3830060,0.77
20170928,0.742479,0.805334,0.718364,0.767664,128434,3695130,0.76
20170927,0.675884,0.748465,0.670257,0.742455,64399,3363580,0.71
20170926,0.687424,0.706154,0.661385,0.668751,65001,3420880,0.68
20170925,0.658144,0.710714,0.647029,0.685889,141023,3275060,0.68
20170924,0.648356,0.689358,0.590679,0.659727,131754,3226240,0.64
20170923,0.650466,0.704988,0.627842,0.649150,190169,3236620,0.67
20170922,0.553478,0.795201,0.524179,0.647677,924261,2753920,0.66
20170921,0.593588,0.630671,0.534352,0.555739,42674,2953390,0.58
20170920,0.620802,0.715554,0.601273,0.602640,78817,3088680,0.66
20170919,0.684911,0.703630,0.603086,0.622905,138939,3407520,0.65
20170918,0.523341,0.764873,0.523341,0.687168,313628,2603600,0.64
20170917,0.489721,0.564652,0.438870,0.524477,66617,2436250,0.50
20170916,0.499524,0.528055,0.465078,0.489336,25498,2484930,0.50
20170915,0.443166,0.526665,0.367981,0.503853,43472,2204490,0.45
20170914,0.555394,0.575719,0.439864,0.439864,58716,2762660,0.51
20170913,0.584786,0.585183,0.501388,0.555731,60154,2908760,0.54
20170912,0.600901,0.656190,0.579814,0.584195,108059,2988810,0.62
20170911,0.768244,0.769659,0.590489,0.601328,452500,3821020,0.68
20170910,0.504999,0.812648,0.471000,0.784670,822456,2511630,0.64
20170909,0.489505,0.536259,0.469141,0.510284,77136,2434480,0.50
20170908,0.561823,0.567204,0.459733,0.488585,31218,2794040,0.51
20170907,0.549849,0.584346,0.541502,0.559191,31623,2734400,0.56
20170906,0.582684,0.611500,0.542368,0.554264,33288,2897580,0.58
20170905,0.483424,0.614182,0.435631,0.577146,61767,2403900,0.52
20170904,0.597983,0.600262,0.463609,0.478486,61837,2973450,0.53
20170903,0.573633,0.620831,0.544660,0.601446,39499,2852260,0.58
20170902,0.655054,0.683198,0.545079,0.577568,49530,3257000,0.61
20170901,0.581213,0.714102,0.560164,0.654294,234233,2889750,0.64
20170831,0.642246,0.645875,0.577212,0.590118,88652,3193090,0.61
20170830,0.746398,0.754489,0.615868,0.637950,181814,3710770,0.69
20170829,0.703173,0.792270,0.698475,0.739228,273494,3495750,0.75
20170828,0.732397,0.732397,0.687298,0.700576,167231,3640900,0.71
20170827,0.760963,0.840981,0.694376,0.735767,569217,3782780,0.77
20170826,0.827585,0.836861,0.691970,0.761134,890933,4113810,0.76
20170825,0.617967,1.13,0.613858,0.833704,2447510,3071710,0.87
20170824,0.420586,0.818485,0.390439,0.618308,713797,2090520,0.60
20170823,0.424222,0.447163,0.404411,0.420751,34633,2108520,0.43
20170822,0.466981,0.466981,0.369867,0.425029,70402,2320960,0.42
20170821,0.417670,0.522919,0.389131,0.466258,150055,2075800,0.46
20170820,0.389811,0.504161,0.389811,0.418925,137325,1937280,0.45
20170819,0.406063,0.511850,0.376921,0.388313,201130,2017980,0.44
20170818,0.405836,0.551696,0.377978,0.422619,116023,2016780,0.46
20170817,0.423343,0.424887,0.377414,0.405657,27311,2103700,0.40
20170816,0.415518,0.428328,0.358753,0.423665,28784,2064740,0.39
20170815,0.409743,0.549342,0.348693,0.416325,131426,2035970,0.45
20170814,0.376029,0.474031,0.353618,0.408804,59974,1868380,0.41
20170813,0.466008,0.490298,0.352270,0.379549,62372,2315380,0.42
20170812,0.436798,0.494351,0.431201,0.466902,36522,2170170,0.46
20170811,0.479296,0.506019,0.367358,0.449518,67355,2381230,0.44
