date,open,high,low,close,volume,marketcap,average
20180110,5.24,5.64,3.40,3.50,678,52419100,4.52
20180109,2.99,5.29,2.99,5.24,44896,29881900,4.14
20180108,4.24,4.49,2.90,3.00,94642,42414100,3.70
20180107,4.16,4.54,2.84,4.20,5958,41569400,3.69
20180106,4.46,4.49,3.84,4.16,12176,44555900,4.17
20180105,3.70,4.69,3.67,4.43,23150,36988400,4.18
20180104,4.22,4.80,3.68,3.71,8311,42224200,4.24
20180103,3.58,4.69,3.57,4.22,15859,35753900,4.13
20180102,3.55,3.67,3.13,3.56,42029,35468400,3.40
20180101,1.85,3.59,1.81,3.54,7167,18530000,2.70
20171231,3.27,3.32,1.78,1.86,3773,32665700,2.55
20171230,2.88,3.34,2.32,3.30,9370,28842100,2.83
20171229,2.87,3.21,2.66,2.89,80891,28725500,2.94
20171228,2.78,2.93,2.55,2.68,37109,27765400,2.74
20171227,3.01,3.22,2.66,2.78,4643,30141300,2.94
20171226,3.63,3.78,2.95,3.01,32715,36319500,3.37
20171225,2.47,3.74,2.47,3.63,14622,24705000,3.11
20171224,3.24,3.24,2.24,2.46,9582,32371700,2.74
20171223,2.05,4.05,2.05,3.20,18858,20468000,3.05
20171222,2.89,2.90,1.52,2.03,1192,28895300,2.21
20171221,2.92,3.07,2.79,2.88,285,29178200,2.93
20171220,2.97,3.35,2.64,2.91,9325,29748200,3.00
20171219,2.91,3.64,2.85,2.98,25700,29145700,3.25
20171218,2.62,3.16,2.41,2.92,65203,26215700,2.79
20171217,2.38,2.76,2.38,2.63,176974,23792500,2.57
20171216,2.40,2.67,2.32,2.37,54880,23961200,2.50
20171215,2.26,2.40,2.00,2.39,116722,22573000,2.20
20171214,1.91,2.36,1.78,2.26,53350,19084500,2.07
20171213,2.25,2.75,1.89,1.91,32948,22487000,2.32
20171212,1.79,2.49,1.74,2.25,56424,17869800,2.12
20171211,1.49,1.80,1.49,1.80,11103,14889100,1.65
20171210,1.61,1.61,1.47,1.49,6175,16144900,1.54
20171209,1.88,2.08,1.57,1.61,8008,18824200,1.83
20171208,1.44,1.89,1.40,1.88,45,14366600,1.65
20171207,1.79,1.84,1.39,1.43,1410,17917100,1.61
20171206,1.91,1.92,1.76,1.80,169,19100300,1.84
20171205,1.67,1.94,1.62,1.91,3582,16696700,1.78
20171204,1.57,1.67,1.39,1.67,6383,15743600,1.53
20171203,1.38,1.58,1.37,1.57,12121,13790400,1.48
20171202,1.37,1.40,1.31,1.38,2562,13670500,1.35
20171201,1.28,1.49,1.06,1.37,1308,12848600,1.27
20171130,1.03,1.36,1.01,1.29,2516,10273200,1.19
20171129,1.12,1.52,0.992521,1.01,2318,11190000,1.26
20171128,1.13,1.58,1.10,1.12,2786,11258300,1.34
20171127,1.51,1.53,1.09,1.13,19206,15058100,1.31
20171126,1.07,1.53,1.04,1.51,474,10695700,1.29
20171125,1.58,1.62,1.07,1.07,10700,15791600,1.35
20171124,1.15,1.60,1.12,1.58,826,11455300,1.36
20171123,1.07,1.19,1.06,1.15,1181,10690100,1.12
20171122,1.22,1.25,1.02,1.07,367,12229900,1.14
20171121,1.24,1.26,1.19,1.22,1211,12421000,1.23
20171120,1.20,1.26,1.20,1.24,1244,12033900,1.23
20171119,0.627382,1.26,0.625235,1.20,1831,6273820,0.94
20171118,0.600199,0.632063,0.591984,0.629007,1239,6001990,0.61
20171117,0.924322,1.09,0.600347,0.601105,1185,9243220,0.85
20171116,1.13,1.14,0.909924,0.924964,2325,11255200,1.02
20171115,1.14,1.16,1.11,1.13,23,11390100,1.14
20171114,0.945436,1.14,0.945436,1.14,1,9454360,1.04
20171113,0.859288,0.949312,0.803282,0.945478,1136,8592880,0.88
20171112,0.918366,0.925192,0.857011,0.857924,109,9183660,0.89
20171111,0.868034,0.934876,0.866994,0.918261,1688,8680340,0.90
20171110,1.09,1.09,0.860645,0.870533,8790,10880500,0.98
20171109,1.05,1.12,1.04,1.09,2934,10465900,1.08
20171108,0.944004,1.22,0.892527,1.05,1058,9440040,1.06
20171107,0.951433,1.03,0.938926,0.944670,7756,9514330,0.98
20171106,1.04,1.05,0.950012,0.950012,409,10372500,1.00
20171105,0.959994,1.04,0.957069,1.04,1721,9599940,1.00
