date,open,high,low,close,volume,marketcap,average
20180110,0.024737,0.024792,0.016856,0.020185,12684,,0.02
20180109,0.027698,0.028082,0.022502,0.024706,13123,,0.03
20180108,0.040367,0.040367,0.021881,0.027477,24140,,0.03
20180107,0.039062,0.054434,0.024499,0.037254,103418,,0.04
20180106,0.016946,0.096212,0.009689,0.039164,430069,,0.05
20180105,0.007580,0.008702,0.006284,0.008320,3816,,0.01
20180104,0.007025,0.007578,0.005240,0.007578,2801,,0.01
20180103,0.006156,0.007010,0.005228,0.006995,759,,0.01
20180102,0.005596,0.006744,0.004935,0.006176,1734,,0.01
20180101,0.004800,0.005822,0.003888,0.005596,1564,,0.00
20171231,0.003792,0.004821,0.003533,0.004783,315,,0.00
20171230,0.005050,0.005052,0.003891,0.003891,910,,0.00
20171229,0.004379,0.005525,0.003705,0.004643,1257,,0.00
20171228,0.004362,0.004783,0.003884,0.004336,223,,0.00
20171227,0.004492,0.005133,0.004021,0.004371,435,,0.00
20171226,0.003837,0.005452,0.003837,0.004488,544,,0.00
20171225,0.004135,0.005292,0.003818,0.003836,370,,0.00
20171224,0.004033,0.005194,0.003678,0.004106,636,,0.00
20171223,0.004165,0.004920,0.003709,0.004009,822,,0.00
20171222,0.004474,0.004516,0.003308,0.004134,306,,0.00
20171221,0.005955,0.006096,0.004434,0.004459,1453,,0.01
20171220,0.007185,0.007224,0.003406,0.005944,2216,,0.01
20171219,0.005890,0.009585,0.003832,0.007184,3804,,0.01
20171218,0.005487,0.005957,0.004179,0.005886,2211,,0.01
20171217,0.005061,0.007584,0.005007,0.005470,2400,,0.01
20171216,0.010807,0.019387,0.004930,0.004930,17758,,0.01
20171215,0.002321,0.040294,0.002321,0.010842,15398,,0.02
20171214,0.001841,0.004137,0.001664,0.002318,974,,0.00
20171213,0.001988,0.002090,0.001755,0.001836,47,,0.00
20171212,0.002157,0.003023,0.001971,0.001985,55,,0.00
20171211,0.001388,0.002227,0.001382,0.002145,99,,0.00
