date,open,high,low,close,volume,marketcap,average
20180110,0.009493,0.014482,0.009143,0.010799,4900,,0.01
20180109,0.004217,0.009704,0.004203,0.009480,2034,,0.01
20180108,0.004723,0.004976,0.004092,0.004228,132,,0.00
20180107,0.004301,0.005103,0.004238,0.004729,126,,0.00
20180106,0.005095,0.005178,0.004303,0.004304,73,,0.00
20180105,0.003340,0.005134,0.003285,0.005091,77,,0.00
20180104,0.003803,0.004482,0.003290,0.003339,121,,0.00
20180103,0.004302,0.004418,0.003081,0.003782,129,,0.00
20180102,0.004050,0.004408,0.002674,0.004318,36,,0.00
20180101,0.004055,0.004098,0.002582,0.004051,117,,0.00
20171231,0.002670,0.004130,0.002533,0.004039,216,,0.00
20171230,0.003044,0.003045,0.002556,0.002699,62,,0.00
20171229,0.002894,0.004668,0.002853,0.003052,40,,0.00
20171228,0.005431,0.005449,0.002758,0.002864,304,,0.00
20171227,0.003643,0.005587,0.002446,0.005442,174,,0.00
20171226,0.003622,0.006211,0.003127,0.003640,477,,0.00
20171225,0.003099,0.003646,0.002919,0.003625,71,,0.00
20171224,0.002921,0.003419,0.002513,0.003067,15,,0.00
20171223,0.003723,0.004125,0.002876,0.002889,204,,0.00
20171222,0.004714,0.004760,0.002851,0.003688,99,,0.00
20171221,0.003461,0.005959,0.002116,0.004698,617,,0.00
20171220,0.010043,0.010043,0.003452,0.003452,1066,,0.01
20171219,0.009786,0.012394,0.005797,0.010053,2135,,0.01
20171218,0.006654,0.016199,0.003107,0.009778,969,,0.01
20171217,0.002532,0.018206,0.002502,0.006634,869,,0.01
20171216,0.002471,0.002552,0.002311,0.002532,11,,0.00
20171215,0.001573,0.002505,0.001553,0.002467,22,,0.00
20171214,0.002129,0.002218,0.002105,0.002141,2,,0.00
20171213,0.001544,0.002184,0.001434,0.002136,24,,0.00
20171212,0.001852,0.001878,0.001809,0.001834,2,,0.00
20171211,0.002143,0.002145,0.001800,0.001846,4,,0.00
20171209,0.001477,0.001499,0.001267,0.001482,5,,0.00
20171208,0.001736,0.002698,0.001332,0.001479,248,,0.00
20171207,0.002438,0.002561,0.001543,0.001731,73,,0.00
20171206,0.001967,0.002446,0.001948,0.002443,16,,0.00
20171205,0.001748,0.002356,0.001728,0.001971,29,,0.00
