date,open,high,low,close,volume,marketcap,average
20180110,0.009493,0.009514,0.007769,0.009449,744,3233310,0.01
20180109,0.007982,0.009946,0.007750,0.009480,2090,2702460,0.01
20180108,0.010911,0.010952,0.003947,0.008004,12396,3672560,0.01
20180107,0.009977,0.011065,0.008631,0.010926,2214,3281390,0.01
20180106,0.012130,0.012211,0.009166,0.009985,1040,3965480,0.01
20180105,0.012333,0.013179,0.010875,0.012121,24257,4006720,0.01
20180104,0.011968,0.012330,0.008961,0.012330,15254,3864260,0.01
20180103,0.011872,0.012590,0.010802,0.011902,16775,3809310,0.01
20180102,0.004668,0.050626,0.004345,0.011875,86746,1488260,0.03
20180101,0.005090,0.005111,0.004291,0.004668,1830,1612350,0.00
20171231,0.003710,0.005300,0.003233,0.005070,4119,1167700,0.00
20171230,0.003914,0.003915,0.003302,0.003751,4329,1224060,0.00
20171229,0.004919,0.005120,0.003016,0.003924,48494,1527900,0.00
20171228,0.004469,0.004956,0.003967,0.004869,3488,1379100,0.00
20171227,0.005742,0.005888,0.004026,0.004479,4472,1759980,0.00
20171226,0.004448,0.005909,0.004367,0.005738,39104,1354040,0.01
20171225,0.005136,0.005182,0.003012,0.004442,29677,1552560,0.00
20171224,0.006058,0.006058,0.004774,0.005083,11265,1818500,0.01
20171223,0.005792,0.006576,0.005710,0.005992,7683,1726200,0.01
20171222,0.006599,0.006664,0.004807,0.005737,6959,1952770,0.01
20171221,0.006923,0.007302,0.006362,0.006577,7977,2034030,0.01
20171220,0.007400,0.007491,0.006621,0.006905,8375,2158140,0.01
20171219,0.007462,0.008771,0.005258,0.007407,8985,2160220,0.01
20171218,0.005166,0.008326,0.004583,0.007456,24801,1482360,0.01
20171217,0.004090,0.005168,0.004009,0.005150,6542,1166770,0.00
20171216,0.004412,0.004501,0.003773,0.004090,3392,1248220,0.00
20171215,0.005138,0.005768,0.004091,0.004406,9429,1449360,0.00
20171214,0.003436,0.007253,0.003115,0.005130,42379,966322,0.01
20171213,0.002246,0.003447,0.002072,0.003447,3912,629595,0.00
20171212,0.002189,0.002308,0.002138,0.002244,22722,611669,0.00
20171211,0.002592,0.002636,0.001993,0.002182,22094,722090,0.00
20171210,0.004058,0.004058,0.002000,0.002611,17839,1126700,0.00
20171209,0.003416,0.004616,0.003075,0.004042,11500,944775,0.00
20171208,0.004373,0.005271,0.002678,0.003419,38121,1205350,0.00
20171207,0.002684,0.007286,0.002465,0.004363,105529,737032,0.00
20171206,0.001521,0.002760,0.001521,0.002689,19228,415985,0.00
20171205,0.001516,0.002229,0.001157,0.001524,86093,412636,0.00
20171204,0.001237,0.001513,0.000980,0.001513,4582,334994,0.00
20171203,0.001311,0.001420,0.001165,0.001233,1984,353646,0.00
20171202,0.001524,0.001550,0.001180,0.001310,2402,409173,0.00
20171201,0.001198,0.001534,0.001041,0.001525,5408,320310,0.00
20171130,0.001573,0.001615,0.000900,0.001204,3214,418568,0.00
20171129,0.000849,0.001650,0.000829,0.001549,8862,224862,0.00
20171128,0.000781,0.000886,0.000777,0.000852,159,205595,0.00
20171127,0.000932,0.000975,0.000759,0.000973,1451,244261,0.00
20171126,0.000875,0.000939,0.000789,0.000932,885,228018,0.00
20171125,0.000903,0.000956,0.000781,0.000875,2411,234196,0.00
20171124,0.000884,0.000917,0.000867,0.000905,456,211993,0.00
20171123,0.000905,0.000909,0.000885,0.000885,446,216956,0.00
20171122,0.000811,0.000909,0.000808,0.000905,456,194569,0.00
20171121,0.000824,0.000835,0.000702,0.000809,780,197623,0.00
20171120,0.000884,0.000908,0.000736,0.000742,593,211860,0.00
20171119,0.000779,0.000884,0.000771,0.000884,283,186723,0.00
20171118,0.000846,0.000856,0.000745,0.000780,738,202753,0.00
20171117,0.000784,0.000878,0.000757,0.000849,655,188109,0.00
20171116,0.000803,0.000803,0.000714,0.000786,109,192633,0.00
20171115,0.000661,0.000803,0.000661,0.000799,832,158540,0.00
20171114,0.000718,0.000735,0.000643,0.000661,237,172265,0.00
20171113,0.000528,0.000711,0.000524,0.000652,285,126699,0.00
20171112,0.000700,0.000708,0.000510,0.000528,253,167789,0.00
20171111,0.000657,0.000814,0.000567,0.000700,532,157533,0.00
20171110,0.000713,0.000807,0.000645,0.000660,1529,169855,0.00
20171109,0.000747,0.000891,0.000705,0.000711,890,177066,0.00
20171108,0.000783,0.001128,0.000651,0.000748,9368,184512,0.00
20171107,0.000765,0.000866,0.000700,0.000785,616,179411,0.00
20171106,0.000665,0.000890,0.000634,0.000767,1100,155057,0.00
20171105,0.000738,0.000812,0.000657,0.000664,496,170764,0.00
20171104,0.000860,0.000882,0.000635,0.000739,1811,197829,0.00
20171103,0.000702,0.000866,0.000695,0.000862,334,160439,0.00
20171102,0.000740,0.000785,0.000683,0.000703,2113,167924,0.00
20171101,0.000709,0.000741,0.000700,0.000739,448,159820,0.00
20171031,0.000674,0.000774,0.000670,0.000774,772,150928,0.00
20171030,0.000739,0.000739,0.000664,0.000676,476,164447,0.00
20171029,0.000687,0.000747,0.000635,0.000743,160,152020,0.00
20171028,0.000634,0.000763,0.000624,0.000688,1586,139351,0.00
20171027,0.000648,0.000778,0.000632,0.000632,172,141407,0.00
20171026,0.000745,0.000801,0.000647,0.000647,2127,161771,0.00
20171025,0.000773,0.000795,0.000599,0.000746,927,166500,0.00
20171024,0.000645,0.000783,0.000564,0.000772,1746,138143,0.00
20171023,0.000658,0.000691,0.000572,0.000647,420,139773,0.00
20171022,0.000722,0.000728,0.000575,0.000659,647,152259,0.00
20171021,0.000721,0.000743,0.000670,0.000721,216,150955,0.00
20171020,0.000628,0.000848,0.000596,0.000722,1640,130456,0.00
20171019,0.000726,0.000804,0.000619,0.000627,1324,149851,0.00
20171018,0.000784,0.000810,0.000623,0.000726,1012,160478,0.00
20171017,0.000809,0.000909,0.000779,0.000784,203,164209,0.00
20171016,0.000911,0.000915,0.000791,0.000809,261,183334,0.00
20171015,0.000936,0.000936,0.000767,0.000911,430,187148,0.00
20171014,0.000961,0.000971,0.000839,0.000935,156,190942,0.00
20171013,0.000925,0.000999,0.000919,0.000961,1273,182467,0.00
20171012,0.000772,0.000922,0.000679,0.000922,1221,151133,0.00
20171011,0.000667,0.000829,0.000616,0.000772,2202,129458,0.00
20171010,0.000622,0.000739,0.000620,0.000667,1663,119934,0.00
20171009,0.000598,0.000682,0.000547,0.000622,1243,114649,0.00
20171008,0.000578,0.000598,0.000491,0.000598,608,109890,0.00
20171007,0.000569,0.000581,0.000477,0.000579,189,107326,0.00
20171006,0.000519,0.000572,0.000440,0.000568,615,97246,0.00
20171005,0.000549,0.000551,0.000467,0.000519,20,102065,0.00
20171004,0.000518,0.000550,0.000462,0.000506,517,95676,0.00
20171003,0.000484,0.000559,0.000467,0.000517,292,88676,0.00
20171002,0.000527,0.000576,0.000394,0.000484,330,95723,0.00
20171001,0.000521,0.000570,0.000387,0.000528,2705,93826,0.00
20170930,0.000459,0.000565,0.000428,0.000521,698,81885,0.00
20170929,0.000503,0.000578,0.000418,0.000459,1904,88871,0.00
20170928,0.000547,0.000590,0.000460,0.000504,683,95740,0.00
20170927,0.000583,0.000593,0.000490,0.000547,1902,101061,0.00
20170926,0.000590,0.000594,0.000541,0.000585,226,101178,0.00
20170925,0.000514,0.000595,0.000514,0.000590,290,87225,0.00
20170924,0.000530,0.000594,0.000509,0.000515,93,89043,0.00
20170923,0.000577,0.000641,0.000522,0.000568,112,95828,0.00
20170922,0.000543,0.000629,0.000509,0.000579,1093,89151,0.00
20170921,0.000543,0.000585,0.000502,0.000544,1905,88105,0.00
20170920,0.000548,0.000605,0.000508,0.000546,582,87897,0.00
20170919,0.000656,0.000660,0.000465,0.000549,2841,104188,0.00
20170918,0.000628,0.000738,0.000567,0.000655,109,98375,0.00
20170917,0.000669,0.000669,0.000549,0.000629,163,103023,0.00
20170916,0.000595,0.000699,0.000592,0.000668,208,90110,0.00
20170915,0.000547,0.000688,0.000418,0.000590,332,81454,0.00
20170914,0.000737,0.000746,0.000524,0.000548,146,107649,0.00
20170913,0.000709,0.000753,0.000605,0.000737,52,102688,0.00
20170912,0.000926,0.000941,0.000583,0.000708,1381,132552,0.00
20170911,0.000596,0.000928,0.000503,0.000926,5447,83498,0.00
20170910,0.000695,0.000695,0.000532,0.000594,511,95325,0.00
20170909,0.000518,0.000703,0.000510,0.000694,1475,69708,0.00
20170908,0.000741,0.000788,0.000518,0.000518,3039,97541,0.00
20170907,0.000786,0.000825,0.000690,0.000741,3062,101074,0.00
20170906,0.000751,0.000875,0.000751,0.000786,159,94313,0.00
20170905,0.000728,0.000852,0.000699,0.000756,426,89396,0.00
20170904,0.000831,0.000922,0.000731,0.000731,417,99560,0.00
20170903,0.000876,0.000933,0.000767,0.000831,916,102529,0.00
20170902,0.001034,0.001036,0.000795,0.000873,1716,118165,0.00
20170901,0.000900,0.001104,0.000870,0.001033,4200,100244,0.00
