date,open,high,low,close,volume,marketcap,average
20180110,10.44,10.52,8.48,10.17,2989290,,9.50
20180109,11.29,11.29,10.06,10.45,2120090,,10.68
20180108,8.89,11.92,6.45,11.11,1257510,,9.19
20180107,7.66,9.18,7.32,8.91,1037430,,8.25
20180106,5.54,7.75,5.25,7.66,587983,,6.50
20180105,5.09,5.61,4.54,5.53,507924,,5.08
20180104,4.65,5.44,4.59,5.09,595380,,5.02
20180103,5.12,5.17,4.45,4.62,492264,,4.81
20180102,4.97,5.31,4.80,5.19,487458,,5.05
20180101,4.91,5.12,4.73,4.97,333298,,4.93
20171231,4.91,5.25,4.89,4.89,307535,,5.07
