date,open,high,low,close,volume,marketcap,average
20180110,0.001125,0.001674,0.000897,0.001279,24191,2391600,0.00
20180109,0.000918,0.001127,0.000611,0.001127,19132,1951280,0.00
20180108,0.000620,0.000978,0.000520,0.000919,18161,1316920,0.00
20180107,0.000571,0.000672,0.000310,0.000573,16057,1212910,0.00
20180106,0.000758,0.001003,0.000511,0.000604,39527,1610580,0.00
20180105,0.000666,0.000776,0.000584,0.000612,7909,1414500,0.00
20180104,0.000474,0.000768,0.000462,0.000665,5014,1006240,0.00
20180103,0.000740,0.000749,0.000418,0.000473,2702,1571810,0.00
20180102,0.000531,0.000742,0.000481,0.000742,4795,1128160,0.00
20180101,0.000478,0.000600,0.000400,0.000531,3322,1015770,0.00
20171231,0.000502,0.000556,0.000324,0.000478,10053,1066330,0.00
20171230,0.000424,0.000560,0.000301,0.000504,4319,900366,0.00
20171229,0.000493,0.000596,0.000351,0.000426,9668,1046420,0.00
20171228,0.000175,0.002277,0.000144,0.000489,21445,370749,0.00
20171227,0.000195,0.000288,0.000172,0.000175,312,414053,0.00
20171226,0.000267,0.000305,0.000193,0.000195,965,566776,0.00
20171225,0.000268,0.000342,0.000205,0.000266,1062,569816,0.00
20171224,0.000261,0.000313,0.000137,0.000304,4278,553691,0.00
20171223,0.000234,0.000373,0.000131,0.000259,2435,495649,0.00
20171222,0.000253,0.000261,0.000163,0.000233,493,537126,0.00
20171221,0.000203,0.000375,0.000152,0.000252,1055,430647,0.00
20171220,0.000341,0.000375,0.000185,0.000204,4893,724309,0.00
20171219,0.000383,0.000604,0.000321,0.000339,1693,813012,0.00
20171218,0.000401,0.000659,0.000296,0.000381,3794,851506,0.00
20171217,0.000374,0.003822,0.000247,0.000402,8375,792355,0.00
20171216,0.000210,0.000404,0.000161,0.000360,1257,444607,0.00
20171215,0.000209,0.000293,0.000097,0.000211,469,442799,0.00
20171214,0.000164,0.000209,0.000119,0.000207,494,347888,0.00
20171213,0.000179,0.000219,0.000138,0.000165,930,379936,0.00
20171212,0.000161,0.000240,0.000028,0.000179,577,341448,0.00
20171211,0.000152,0.000172,0.000060,0.000160,7,321340,0.00
20171210,0.000154,0.000157,0.000116,0.000153,245,326533,0.00
20171209,0.000163,0.000166,0.000142,0.000154,17,345653,0.00
20171208,0.000173,0.000175,0.000126,0.000163,29,365994,0.00
20171207,0.000113,0.000172,0.000111,0.000172,2,238849,0.00
20171206,0.000130,0.000157,0.000099,0.000111,55,274949,0.00
20171205,0.000116,0.000147,0.000106,0.000131,66,246207,0.00
20171204,0.000112,0.000152,0.000080,0.000116,50,236300,0.00
20171203,0.000077,0.000117,0.000074,0.000111,11,162293,0.00
20171202,0.000143,0.000145,0.000072,0.000076,4,302014,0.00
20171201,0.000100,0.000148,0.000095,0.000143,0,212117,0.00
20171130,0.000088,0.000131,0.000083,0.000101,37,186477,0.00
20171129,0.000190,0.000190,0.000088,0.000088,92,402665,0.00
20171128,0.000098,0.000190,0.000080,0.000190,26,206519,0.00
20171127,0.000082,0.000097,0.000078,0.000097,196,172772,0.00
20171126,0.000174,0.000182,0.000080,0.000080,1,369094,0.00
20171125,0.000080,0.000175,0.000080,0.000174,149,169757,0.00
20171124,0.000081,0.000083,0.000075,0.000081,139,171585,0.00
20171123,0.000092,0.000095,0.000082,0.000082,181,194873,0.00
20171122,0.000084,0.000102,0.000082,0.000093,43,177737,0.00
20171121,0.000118,0.000119,0.000078,0.000084,27,250424,0.00
20171120,0.000084,0.000119,0.000080,0.000118,63,177444,0.00
20171119,0.000079,0.000087,0.000078,0.000084,30,167563,0.00
20171118,0.000078,0.000080,0.000076,0.000079,189,165573,0.00
20171117,0.000090,0.000090,0.000076,0.000079,161,190464,0.00
20171116,0.000081,0.000091,0.000078,0.000091,0,170985,0.00
20171115,0.000068,0.000099,0.000068,0.000079,150,144253,0.00
20171114,0.000065,0.000070,0.000057,0.000068,18,138142,0.00
20171113,0.000059,0.000067,0.000058,0.000065,66,124175,0.00
20171112,0.000064,0.000064,0.000055,0.000059,126,134781,0.00
20171111,0.000066,0.000111,0.000062,0.000064,197,140056,0.00
20171110,0.000071,0.000144,0.000065,0.000067,401,151073,0.00
20171109,0.000076,0.000139,0.000071,0.000071,76,159599,0.00
20171108,0.000071,0.000079,0.000071,0.000077,295,149501,0.00
20171107,0.000060,0.000072,0.000060,0.000071,10,125587,0.00
20171106,0.000064,0.000064,0.000041,0.000060,9,133933,0.00
20171105,0.000073,0.000075,0.000059,0.000064,2,154228,0.00
20171104,0.000072,0.000075,0.000070,0.000074,7,150505,0.00
20171103,0.000067,0.000075,0.000065,0.000072,224,139854,0.00
20171102,0.000067,0.000072,0.000065,0.000067,1,140907,0.00
20171101,0.000065,0.000067,0.000064,0.000067,90,135950,0.00
20171031,0.000092,0.000093,0.000062,0.000065,16,193922,0.00
20171030,0.000062,0.000122,0.000033,0.000093,12,129250,0.00
20171029,0.000057,0.000063,0.000057,0.000062,125,120241,0.00
20171028,0.000059,0.000060,0.000057,0.000057,12,123177,0.00
20171027,0.000049,0.000059,0.000048,0.000059,93,101806,0.00
20171026,0.000057,0.000060,0.000057,0.000059,2,120336,0.00
20171025,0.000057,0.000058,0.000055,0.000057,2,120138,0.00
20171024,0.000061,0.000107,0.000056,0.000057,158,127360,0.00
20171023,0.000061,0.000063,0.000057,0.000061,0,128171,0.00
20171022,0.000060,0.000064,0.000058,0.000062,0,126087,0.00
20171021,0.000061,0.000062,0.000057,0.000060,3,128229,0.00
20171020,0.000108,0.000110,0.000059,0.000061,9,227524,0.00
20171019,0.000060,0.000113,0.000056,0.000108,30,124927,0.00
20171018,0.000057,0.000060,0.000053,0.000060,9,118685,0.00
20171017,0.000057,0.000062,0.000055,0.000057,18,119464,0.00
20171016,0.000065,0.000065,0.000056,0.000057,0,135478,0.00
20171015,0.000069,0.000085,0.000027,0.000065,134,144980,0.00
20171014,0.000057,0.000069,0.000056,0.000069,0,119036,0.00
20171013,0.000078,0.000084,0.000055,0.000057,251,163103,0.00
20171012,0.000096,0.000096,0.000052,0.000078,13,201926,0.00
20171011,0.000095,0.000097,0.000094,0.000096,16,199549,0.00
20171010,0.000047,0.000098,0.000047,0.000095,248,99466,0.00
20171009,0.000038,0.000048,0.000037,0.000047,67,79357,0.00
20171008,0.000037,0.000045,0.000030,0.000038,173,76979,0.00
20171007,0.000038,0.000045,0.000033,0.000037,26,80424,0.00
20171006,0.000042,0.000044,0.000038,0.000038,4,87872,0.00
20171005,0.000043,0.000043,0.000028,0.000042,19,89644,0.00
20171004,0.000045,0.000046,0.000043,0.000043,113,93768,0.00
20171003,0.000042,0.000045,0.000039,0.000045,56,88784,0.00
20171002,0.000040,0.000084,0.000038,0.000042,120,84174,0.00
20171001,0.000058,0.000076,0.000039,0.000040,332,120859,0.00
20170930,0.000080,0.000084,0.000042,0.000058,8,167165,0.00
20170929,0.000054,0.000084,0.000042,0.000080,0,112534,0.00
20170928,0.000051,0.000078,0.000044,0.000045,9,105538,0.00
20170927,0.000040,0.000051,0.000040,0.000051,109,84410,0.00
20170926,0.000039,0.000041,0.000039,0.000040,58,82215,0.00
20170925,0.000049,0.000053,0.000039,0.000039,271,101444,0.00
20170924,0.000044,0.000092,0.000040,0.000049,281,91590,0.00
20170923,0.000052,0.000070,0.000043,0.000044,14,107791,0.00
20170922,0.000048,0.000072,0.000042,0.000052,133,100029,0.00
20170921,0.000040,0.000056,0.000024,0.000048,86,84442,0.00
