date,open,high,low,close,volume,marketcap,average
20180110,0.012414,0.013199,0.011926,0.013199,114,111630,0.01
20180109,0.011144,0.012730,0.011036,0.012398,28,100214,0.01
20180108,0.011562,0.011606,0.010255,0.011175,21,103973,0.01
20180107,0.006881,0.012542,0.006845,0.011579,6,61877,0.01
20180106,0.013078,0.013793,0.006874,0.006886,118,117600,0.01
20180105,0.013208,0.014440,0.011799,0.013067,154,118768,0.01
20180104,0.011408,0.025398,0.010775,0.013205,3105,102586,0.02
20180103,0.010694,0.011368,0.010658,0.011346,30,96169,0.01
20180101,0.008948,0.008954,0.008263,0.008477,15,80464,0.01
20171231,0.008646,0.009642,0.008560,0.008914,37,77746,0.01
20171230,0.010147,0.010150,0.008521,0.008740,9,91245,0.01
20171229,0.009983,0.010416,0.009843,0.010173,4,89766,0.01
20171228,0.010240,0.010751,0.009402,0.009880,3,92085,0.01
20171227,0.010408,0.010473,0.009422,0.010262,126,93587,0.01
20171226,0.009333,0.010814,0.009295,0.010784,4,83923,0.01
20171225,0.009471,0.009471,0.009158,0.009342,3,85161,0.01
20171224,0.010371,0.010371,0.008922,0.009584,8,93254,0.01
20171223,0.009653,0.011021,0.009517,0.010257,9,86799,0.01
20171222,0.010056,0.010291,0.007096,0.009562,33,90428,0.01
20171221,0.010549,0.010970,0.009694,0.010022,12,94861,0.01
20171220,0.010747,0.011003,0.009463,0.010522,75,96642,0.01
20171219,0.010715,0.010815,0.009945,0.010758,119,96349,0.01
20171218,0.010905,0.018249,0.009210,0.010706,1318,98061,0.01
20171217,0.009544,0.011382,0.009432,0.010872,3,85817,0.01
20171216,0.008647,0.009618,0.008538,0.009542,9,77754,0.01
20171215,0.009455,0.010186,0.008613,0.008635,35,85020,0.01
20171214,0.009257,0.009726,0.009229,0.009441,19,83242,0.01
20171212,0.009934,0.010478,0.009701,0.010401,10,89323,0.01
20171211,0.006861,0.010327,0.006831,0.009902,10,61695,0.01
20171210,0.009615,0.010726,0.006586,0.006911,14,86458,0.01
20171209,0.011222,0.011388,0.009345,0.010292,9,100908,0.01
20171208,0.017355,0.017614,0.006033,0.011233,4330,156059,0.01
20171207,0.009478,0.025508,0.007499,0.017315,6838,85223,0.02
20171206,0.008191,0.009494,0.006370,0.009494,198,73649,0.01
20171205,0.019233,0.019299,0.007997,0.008209,150,172940,0.01
20171204,0.011242,0.021077,0.010779,0.019195,232,101085,0.02
20171203,0.012134,0.022335,0.010588,0.011205,120,109109,0.02
20171202,0.020680,0.021270,0.012091,0.012123,541,185954,0.02
20171201,0.007994,0.020819,0.007568,0.020698,116,71885,0.01
20171130,0.009632,0.010584,0.007199,0.008034,185,86610,0.01
20171129,0.013601,0.014570,0.009002,0.009486,40,122300,0.01
20171128,0.020779,0.021200,0.013602,0.013615,1,186840,0.02
20171127,0.014070,0.020760,0.014070,0.020725,58,126512,0.02
20171126,0.020029,0.020363,0.011121,0.014067,71,180096,0.02
20171125,0.014614,0.020036,0.014531,0.020036,1,131403,0.02
20171124,0.016074,0.019446,0.014602,0.014643,801,144534,0.02
20171123,0.018507,0.020677,0.016096,0.016096,3896,166407,0.02
20171122,0.006329,0.018521,0.006240,0.018513,4637,56908,0.01
