date,open,high,low,close,volume,marketcap,average
20180110,696770,698770,584247,673932,1561,707918,641508.50
20180109,739435,787819,691751,695537,1252,751266,739785.00
20180108,803181,803181,640173,790390,7395,816032,721677.00
20180107,826674,906134,781799,803145,3661,839900,843966.50
20180106,765081,888044,759299,828765,5040,777322,823671.50
20180105,800668,862295,598786,762994,3314,813479,730540.50
20180104,873028,927886,783099,802925,3810,886997,855492.50
20180103,911014,929255,772520,878283,21436,925591,850887.50
20180102,714385,1223690,714385,912138,3959,725815,969037.50
20180101,675722,1035270,675722,711897,1641,686533,855496.00
20171231,668761,706896,623142,677042,9795,679461,665019.00
20171230,574631,692275,573864,671153,700,583826,633069.50
20171229,542725,882613,541501,572516,1950,551409,712057.00
20171228,922919,926441,484644,540599,7772,937685,705542.50
20171227,647418,924637,591561,924637,449,657776,758099.00
20171226,629570,738870,591009,646933,1398,639643,664939.50
20171225,863083,902843,556631,630059,7803,876892,729737.00
20171224,558073,857614,521720,855766,2156,567002,689667.00
20171223,775032,1046060,564187,564187,5995,787433,805123.50
20171222,712407,833329,443676,767966,6191,723805,638502.50
20171221,789058,914075,681757,708855,5355,801683,797916.00
20171220,497845,786933,444480,786933,8458,505811,615706.50
20171219,664225,667371,462117,498215,3623,674852,564744.00
20171218,460291,673919,443806,664487,4659,467656,558862.50
20171217,519396,539872,446213,459994,1462,527706,493042.50
20171216,389920,558727,380260,519164,1953,396159,469493.50
20171215,351353,471832,292806,389554,2419,356975,382319.00
20171214,426245,631444,246469,348723,6997,433065,438956.50
20171213,437221,460867,400184,424879,3003,444217,430525.50
20171212,416668,707111,407148,435499,1567,423335,557129.50
20171211,380455,474486,362575,415307,1554,386543,418530.50
20171210,589439,671303,348662,379886,3957,598870,509982.50
20171209,723939,734164,455111,585445,808,735522,594637.50
20171208,543650,724310,385572,724257,10276,552349,554941.00
20171207,404635,924081,396951,543768,12887,411109,660516.00
20171206,373780,559063,359008,404862,6221,379761,459035.50
20171205,395538,401154,359614,373818,1257,401867,380384.00
20171204,345681,435296,335314,396396,3454,351212,385305.00
20171203,314802,353449,310530,343920,1252,319839,331989.50
20171202,302379,323497,283742,314961,1157,307217,303619.50
20171201,277821,312390,270300,302002,1557,282266,291345.00
20171130,266014,287431,258074,279802,350,270271,272752.50
20171123,291237,482870,289906,481580,578,295897,386388.00
20171122,232803,307154,227596,291330,61,236528,267375.00
20171121,219958,259893,207641,233403,1078,223477,233767.00
20171120,213441,242150,210424,219767,578,216856,226287.00
20171119,209233,239811,209233,213084,321,212581,224522.00
20171118,226889,401731,200668,209595,565,230519,301199.50
20171117,192027,229299,183024,227720,11,195100,206161.50
20171116,207635,212992,192058,197538,4,210957,202525.00
20171115,198096,223890,198096,206754,393,201266,210993.00
20171114,184135,214601,180048,199217,221,187081,197324.50
20171113,167017,186032,161047,186032,162,169689,173539.50
20171111,159282,179815,158447,175919,797,161830,169131.00
20171110,187794,187794,151964,159204,724,190799,169879.00
20171109,165123,196475,163867,188115,401,167765,180171.00
20171108,206651,212923,160616,164998,857,209958,186769.50
20171107,190964,228145,131741,206919,190,194019,179943.00
20171106,196892,211723,189662,191022,2236,200043,200692.50
20171105,199595,206621,194330,196622,29,202789,200475.50
20171104,190548,202712,186554,199518,419,193597,194633.00
20171103,248482,251797,181961,191059,274,252458,216879.00
20171102,115814,250786,107905,248455,176,117667,179345.50
20171101,206059,214509,115085,115115,397,209356,164797.00
20171031,257710,261956,199144,206953,155,261833,230550.00
20171030,169814,260323,169814,258794,3,172531,215068.50
20171029,259633,260971,167380,170779,5,263787,214175.50
20171028,381994,382878,258613,259683,663,388106,320745.50
20171027,157890,160264,154505,155917,16,160416,157384.50
20171026,163508,163844,155445,158041,217,166124,159644.50
20171025,161198,163838,155171,163613,335,163777,159504.50
20171024,149283,159806,147969,158334,8,151671,153887.50
20171023,209569,219937,92776.50,149184,1466,212922,156356.75
20171022,148714,211153,134074,209109,454,151094,172613.50
20171021,206942,211632,148572,150404,61,210253,180102.00
20171020,189401,212352,177543,208832,336,192431,194947.50
20171019,222380,308436,222380,307597,111,225938,265408.00
20171018,343258,343258,216151,222438,742,348750,279704.50
20171017,226935,365621,221517,343225,1141,230566,293569.00
20171016,216952,264531,183103,226935,1325,220423,223817.00
20171015,195271,235915,195271,216937,208,198395,215593.00
20171014,200960,205584,147130,195261,1015,204175,176357.00
20171013,195620,206281,189426,200931,346,198750,197853.50
20171012,169611,295044,169175,195208,1107,172325,232109.50
20171011,151033,171335,151033,169468,271,153450,161184.00
20171010,96500.90,151043,96500.90,151032,475,98045,123771.95
20171009,137273,144223,96012.50,96505.70,278,139470,120117.75
20171008,124341,137273,114716,137273,111,126330,125994.50
20171007,128928,129515,118633,119198,61,130991,124074.00
20171006,116246,161888,109308,128910,155,118106,135598.00
20171005,115655,129537,111058,116246,95,117506,120297.50
20171004,129289,130705,113335,115628,156,131358,122020.00
20171003,142375,144630,118720,129197,405,144653,131675.00
20171002,171237,175185,142306,142374,310,173977,158745.50
20171001,205546,206610,170070,171278,3011,208835,188340.00
20170930,194520,195256,141654,162777,2,197633,168455.00
20170929,195581,199352,167643,194497,27,198710,183497.50
20170928,185875,196925,182637,195650,1046,188849,189781.00
20170927,171937,186171,171600,185872,418,174688,178885.50
20170926,207410,208289,165246,172255,398,210728,186767.50
20170925,117841,207841,117835,207423,483,119726,162838.00
20170924,118304,118304,117711,117855,1298,120197,118007.50
20170923,117592,118414,117462,118305,1303,119473,117938.00
20170922,117643,118190,117327,117630,1296,119525,117758.50
20170921,120850,120850,117555,117659,1296,122784,119202.50
20170917,121689,121689,112280,112280,385,123636,116984.50
20170916,129895,140231,114310,121445,417,131973,127270.50
20170915,187896,190330,74786.00,128842,1419,190903,132558.00
20170914,140264,215819,140262,187776,349,142508,178040.50
20170913,135403,142055,135403,140268,358,137570,138729.00
20170909,128399,141980,126844,127279,1,130454,134412.00
20170908,156190,174310,125925,128399,1825,158689,150117.50
20170907,215141,215141,152394,156442,25,218583,183767.50
20170906,143178,290106,143178,214204,1294,145468,216642.00
20170905,198228,224143,143178,143178,175,201400,183660.50
20170904,134398,203256,101072,198757,4049,136549,152164.00
20170903,137106,144285,137106,144285,65,139300,140695.50
20170902,158648,172148,135785,137106,111,161186,153966.50
20170901,135876,163866,135805,158648,211,138050,149835.50
20170831,134494,148707,130722,135876,438,136646,139714.50
20170830,123817,145680,116234,134501,2186,125798,130957.00
20170829,132549,135238,119804,123833,609,134670,127521.00
20170828,111501,181662,106525,132554,869,113285,144093.50
20170827,110792,111528,104513,111476,506,112564,108020.50
20170826,105526,110907,95595.40,110806,298,107215,103251.20
20170825,93950.30,107542,93950.30,105458,463,95454,100746.15
20170824,108545,110646,93955.10,93968.70,1389,110282,102300.55
20170823,116822,123574,105696,108545,25,118692,114635.00
20170822,97882.60,117023,92000.00,117023,159,99449,104511.50
20170821,120146,128076,97029.30,97882.60,328,122068,112552.65
20170820,110129,122988,99379.20,120603,4,111891,111183.60
20170819,91360.50,110249,76414.50,110214,263,92822,93331.75
20170818,98796.40,100693,92698.10,92699.00,35,100377,96695.55
20170817,107648,108388,85473.90,98912.90,235,109371,96930.95
20170816,105706,109164,102904,107696,493,107397,106034.00
20170815,114128,114128,101935,105673,947,115954,108031.50
20170814,116202,116748,105613,113962,169,118061,111180.50
20170813,124661,127273,112768,116175,452,,120020.50
20170812,130568,136834,122471,124696,438,,129652.50
20170811,119887,134090,119722,130572,117,,126906.00
20170810,107176,126980,106359,119889,435,,116669.50
20170809,110517,113124,106179,107176,53,,109651.50
20170808,111015,119344,109344,110517,272,,114344.00
20170807,112140,118185,104770,110955,240,,111477.50
20170806,166013,171123,111938,112140,203,,141530.50
20170805,117314,166183,112039,165987,32,,139111.00
20170804,103688,117739,96653.20,117739,316,,107196.10
20170803,97341.70,99479.00,96479.60,98961.30,189,,97979.30
20170802,91519.90,101574,90787.70,97694.10,186,,96180.85
20170801,91583.40,91583.40,88178.20,88178.20,193,,89880.80
20170731,91247.80,91320.40,89680.50,90525.80,198,,90500.45
20170730,91730.10,93086.40,87107.50,91135.60,200,,90096.95
20170729,94743.80,94743.80,88036.50,91712.00,261,,91390.15
20170728,131414,136763,92945.10,94537.80,141,,114854.05
20170727,97845.40,132191,93142.10,131100,6249,,112666.55
20170726,107650,108982,89238.90,92394.40,24,,99110.45
20170725,118281,119639,104220,107739,133,,111929.50
20170724,117915,137878,112238,118278,2346,,125058.00
20170723,104725,123515,92502.90,117958,720,,108008.95
20170722,78850.70,105932,74475.70,104725,204,,90203.85
20170721,46807.40,95019.90,44469.60,78850.70,422,,69744.75
20170720,65382.20,83504.30,42472.90,46807.40,47681,,62988.60
20170719,76521.40,88229.20,65382.20,65382.20,769,,76805.70
20170718,71614.60,79472.00,71500.10,76521.40,5469,,75486.05
