date,open,high,low,close,volume,marketcap,average
20180110,0.007156,0.010182,0.004338,0.005549,7687,,0.01
20180109,0.003765,0.009233,0.003010,0.007147,6501,,0.01
20180108,0.003094,0.004269,0.002991,0.003775,1583,,0.00
20180107,0.003785,0.004570,0.003081,0.003098,1982,,0.00
20180106,0.003906,0.004488,0.002973,0.003787,3377,,0.00
20180105,0.003188,0.004033,0.002837,0.003903,804,,0.00
20180104,0.002890,0.004097,0.002622,0.003187,2444,,0.00
20180103,0.003561,0.003654,0.002641,0.003177,907,,0.00
20180102,0.002565,0.003643,0.002382,0.003573,669,,0.00
20180101,0.002237,0.003444,0.002161,0.002565,952,,0.00
20171231,0.002416,0.003348,0.002041,0.002228,1035,,0.00
20171230,0.002609,0.003329,0.002139,0.002442,223,,0.00
20171229,0.002894,0.003974,0.002344,0.002616,806,,0.00
20171228,0.002948,0.003048,0.002208,0.002864,175,,0.00
20171227,0.004118,0.004343,0.002797,0.002954,430,,0.00
20171226,0.002786,0.004192,0.002775,0.004115,391,,0.00
20171225,0.002677,0.003824,0.002521,0.002789,669,,0.00
20171224,0.002629,0.003601,0.002441,0.002649,195,,0.00
20171223,0.003172,0.003914,0.002224,0.002600,373,,0.00
20171222,0.003771,0.003967,0.002033,0.003142,232,,0.00
20171221,0.003956,0.004888,0.002956,0.003758,556,,0.00
20171220,0.003876,0.005107,0.003332,0.003946,1262,,0.00
20171219,0.005162,0.005185,0.003581,0.003880,387,,0.00
20171218,0.003444,0.005393,0.002933,0.005156,1707,,0.00
20171217,0.002532,0.005007,0.001918,0.003433,1554,,0.00
20171216,0.002118,0.002552,0.000719,0.002532,708,,0.00
20171215,0.003152,0.003313,0.002109,0.002115,674,,0.00
20171214,0.003439,0.003488,0.001945,0.003147,252,,0.00
20171213,0.003801,0.004073,0.001912,0.003450,355,,0.00
20171212,0.004378,0.005189,0.003788,0.003798,1881,,0.00
20171211,0.004574,0.004901,0.003951,0.004364,668,,0.00
20171210,0.003759,0.004943,0.003310,0.004607,435,,0.00
20171209,0.005530,0.006122,0.003632,0.003744,1392,,0.00
20171208,0.005033,0.005536,0.003235,0.005535,2587,,0.00
20171207,0.005632,0.007448,0.004395,0.005021,1319,,0.01
20171206,0.004914,0.006602,0.004846,0.005641,1309,,0.01
20171205,0.009092,0.009723,0.003918,0.004925,5536,,0.01
20171204,0.003148,0.019687,0.003144,0.009074,12775,,0.01
20171203,0.003607,0.003770,0.002946,0.003137,415,,0.00
20171202,0.003701,0.004982,0.002832,0.003604,1310,,0.00
20171201,0.004097,0.004143,0.003217,0.003704,500,,0.00
20171130,0.004030,0.004990,0.002633,0.004118,1545,,0.00
20171129,0.006155,0.006848,0.003728,0.003969,1157,,0.01
20171128,0.005365,0.006287,0.005254,0.006161,869,,0.01
20171127,0.005218,0.006456,0.005122,0.005352,1997,,0.01
20171126,0.004985,0.006401,0.004915,0.005217,2305,,0.01
20171125,0.004515,0.005844,0.004490,0.004987,1506,,0.01
20171124,0.004661,0.006152,0.004494,0.004525,1349,,0.01
20171123,0.007978,0.008159,0.004411,0.004668,6344,,0.01
20171122,0.009007,0.009018,0.006893,0.007981,1387,,0.01
20171121,0.007417,0.009101,0.007055,0.008985,1406,,0.01
20171120,0.009089,0.011725,0.007407,0.007416,5729,,0.01
20171119,0.012693,0.012757,0.007820,0.009093,4681,,0.01
20171118,0.010070,0.013872,0.009561,0.012716,3478,,0.01
20171117,0.009649,0.014972,0.008712,0.010108,6495,,0.01
20171116,0.008033,0.016326,0.006381,0.009665,8365,,0.01
20171115,0.007802,0.010346,0.006832,0.007991,11364,,0.01
20171114,0.010841,0.017458,0.007347,0.007796,7592,,0.01
20171113,0.012681,0.016635,0.009664,0.010818,10489,,0.01
20171112,0.018320,0.018320,0.011960,0.012663,10084,,0.02
20171111,0.019199,0.021467,0.015766,0.018334,10709,,0.02
20171110,0.048954,0.052080,0.018482,0.019267,26815,,0.04
20171109,0.038621,0.048723,0.038308,0.048723,34268,,0.04
20171108,0.036997,0.040685,0.031839,0.038365,66215,,0.04
20171107,0.033341,0.037148,0.031891,0.037067,85592,,0.03
20171106,0.030885,0.056254,0.025911,0.033392,310327,,0.04
20171105,0.084436,0.094877,0.027184,0.030825,1110560,,0.06
20171104,0.329386,0.345931,0.063029,0.084659,2693130,,0.20
20171103,1.34,1.34,0.058180,0.358576,3807870,,0.70
20171102,0.686922,2.19,0.686922,1.38,1748760,,1.44
20171101,2.92,6.48,0.632623,0.926913,1889480,,3.56
