date,open,high,low,close,volume,marketcap,average
20180110,0.010475,0.012934,0.009817,0.011240,9123,,0.01
20180109,0.015827,0.016474,0.010415,0.010470,2763,,0.01
20180108,0.008658,0.021184,0.008655,0.015872,25252,,0.01
20180107,0.007822,0.008758,0.007802,0.008580,7688,,0.01
20180106,0.007749,0.008063,0.007430,0.007825,1627,,0.01
20180105,0.007867,0.008458,0.007485,0.007711,1100,,0.01
20180104,0.007547,0.009322,0.007400,0.007899,1583,,0.01
20180103,0.005514,0.011549,0.004663,0.007535,4629,,0.01
20180102,0.004838,0.005578,0.003867,0.005488,6031,,0.00
20180101,0.005020,0.005020,0.003733,0.004827,2228,,0.00
20171231,0.004408,0.005298,0.003605,0.005027,3951,,0.00
20171230,0.004053,0.005462,0.003680,0.004447,4381,,0.00
20171229,0.004165,0.005837,0.003483,0.004053,5022,,0.00
20171228,0.004589,0.004596,0.003157,0.004140,1820,,0.00
20171227,0.004373,0.004743,0.003411,0.004597,2567,,0.00
20171226,0.004299,0.006508,0.002935,0.005264,1205,,0.00
20171225,0.004419,0.006023,0.002764,0.004400,2517,,0.00
20171224,0.004243,0.004397,0.002499,0.004397,2450,,0.00
20171223,0.005282,0.005635,0.003784,0.004194,9413,,0.00
20171222,0.004433,0.007020,0.003349,0.005239,689,,0.01
20171221,0.004556,0.010668,0.004286,0.004416,1542,,0.01
20171220,0.004076,0.004618,0.003611,0.004551,316,,0.00
20171219,0.004481,0.005885,0.003899,0.004080,1094,,0.00
20171218,0.004899,0.005572,0.004265,0.004494,3394,,0.00
20171217,0.004529,0.005866,0.004041,0.004906,6352,,0.00
20171216,0.008194,0.008479,0.004481,0.004516,6630,,0.01
20171215,0.007601,0.008179,0.004241,0.008179,7489,,0.01
20171214,0.009115,0.009115,0.006030,0.007594,1564,,0.01
20171213,0.007334,0.009140,0.006409,0.009119,5077,,0.01
20171212,0.010233,0.010341,0.005837,0.007329,7200,,0.01
20171211,0.004379,0.010429,0.003922,0.010299,5288,,0.01
20171210,0.004777,0.005073,0.004370,0.004374,1581,,0.00
20171209,0.006808,0.008030,0.004635,0.004762,5507,,0.01
20171208,0.007183,0.007422,0.004145,0.006808,17783,,0.01
20171207,0.006563,0.009591,0.004640,0.007178,6457,,0.01
20171206,0.015462,0.015677,0.004420,0.004449,24380,,0.01
20171205,0.017209,0.017454,0.012152,0.015489,58719,,0.01
20171204,0.004839,0.017553,0.004589,0.017200,64671,,0.01
20171203,0.002797,0.004931,0.002797,0.004658,29399,,0.00
20171202,0.001842,0.002956,0.001591,0.002796,15384,,0.00
20171201,0.002092,0.002798,0.001672,0.001842,5055,,0.00
20171130,0.002379,0.002904,0.001685,0.002098,4036,,0.00
20171129,0.003908,0.003998,0.001960,0.002349,3677,,0.00
20171128,0.003340,0.004013,0.002627,0.003905,6741,,0.00
20171127,0.003796,0.004408,0.003119,0.003345,6557,,0.00
20171126,0.003720,0.004371,0.003221,0.003797,11806,,0.00
20171125,0.003225,0.003842,0.002788,0.003720,7697,,0.00
20171124,0.003488,0.004833,0.002526,0.003226,27160,,0.00
20171123,0.003217,0.003609,0.002412,0.003506,9820,,0.00
20171122,0.003508,0.003585,0.002241,0.003210,11922,,0.00
20171121,0.003455,0.004473,0.002379,0.003504,8794,,0.00
20171120,0.002624,0.003545,0.001785,0.003461,6450,,0.00
20171119,0.002646,0.002866,0.001391,0.002626,1466,,0.00
20171118,0.002636,0.002919,0.001787,0.002653,7117,,0.00
20171117,0.002240,0.003163,0.001668,0.002640,16388,,0.00
20171116,0.003193,0.003231,0.002137,0.002253,6168,,0.00
20171115,0.002346,0.003465,0.002314,0.003196,7646,,0.00
20171114,0.001701,0.004047,0.001641,0.002344,2896,,0.00
20171113,0.001990,0.003125,0.001697,0.001701,3852,,0.00
20171112,0.002718,0.002743,0.001722,0.001986,5348,,0.00
20171111,0.002587,0.004282,0.002410,0.002718,15443,,0.00
20171110,0.002985,0.003093,0.002322,0.002595,7152,,0.00
20171109,0.002720,0.003447,0.002510,0.002984,11554,,0.00
20171108,0.003879,0.004119,0.002387,0.002735,27441,,0.00
20171107,0.004319,0.004332,0.003303,0.003882,13942,,0.00
20171106,0.004904,0.005211,0.003506,0.004312,12253,,0.00
20171105,0.004425,0.004924,0.003552,0.004899,9738,,0.00
20171104,0.004906,0.004906,0.003568,0.004419,6612,,0.00
20171103,0.005316,0.005633,0.004009,0.004905,19661,,0.00
20171102,0.018097,0.018281,0.002567,0.005290,36487,,0.01
20171101,0.014508,0.019713,0.014341,0.018047,9806,,0.02
20171031,0.031797,0.036768,0.008528,0.014534,47019,,0.02
20171030,0.042156,0.051931,0.029017,0.031780,22263,,0.04
20171029,0.081438,0.081500,0.015784,0.042241,54744,,0.05
20171028,0.104208,0.104364,0.047020,0.081472,7012,,0.08
20171027,0.089223,0.118971,0.089047,0.111209,40053,,0.10
