date,open,high,low,close,volume,marketcap,average
20180110,1.14,1.34,0.986781,1.22,30737,132437,1.16
20180109,1.19,1.22,1.12,1.14,41366,137618,1.17
20180108,1.20,1.35,1.06,1.19,13415,143305,1.21
20180107,1.22,1.22,1.16,1.20,79438,149668,1.19
20180106,1.13,1.34,1.10,1.23,3105,133337,1.22
20180105,1.21,1.41,1.10,1.13,2392,143983,1.25
20180104,1.32,1.45,1.19,1.22,1122,156240,1.32
20180103,1.26,1.41,1.22,1.32,1962,150085,1.31
20180102,1.29,1.38,1.16,1.26,10019,154895,1.27
20180101,1.30,1.38,1.20,1.29,10437,144660,1.29
20171231,1.24,1.32,1.17,1.30,1947,137339,1.25
20171230,1.23,1.37,1.10,1.24,2584,135366,1.24
20171229,1.30,1.39,1.18,1.22,315,143101,1.28
20171228,1.17,1.32,1.08,1.30,4481,137831,1.20
20171227,1.18,1.25,1.11,1.17,1989,138377,1.18
20171226,1.42,1.83,1.13,1.18,3053,167312,1.48
20171225,1.22,1.49,1.18,1.42,8908,146492,1.33
20171224,1.15,1.32,1.09,1.21,3680,138408,1.21
20171223,1.21,1.41,1.14,1.16,1530,145822,1.27
20171222,1.23,1.75,0.945717,1.22,55417,140953,1.35
20171221,1.27,1.35,1.18,1.22,7237,146062,1.27
20171220,1.30,1.46,1.16,1.26,14863,137737,1.31
20171219,1.27,1.35,1.10,1.30,4041,132571,1.23
20171218,1.26,1.32,1.23,1.26,12741,152516,1.27
20171217,1.35,1.38,1.22,1.26,8517,176445,1.30
20171216,1.23,1.49,1.18,1.35,4748,143069,1.33
20171215,1.48,1.48,1.23,1.23,9151,150126,1.35
20171214,1.30,1.48,1.16,1.47,18117,129264,1.32
20171213,1.33,1.44,1.20,1.29,16249,130646,1.32
20171212,1.22,1.32,1.20,1.32,5855,118395,1.26
20171211,1.22,1.38,1.01,1.22,4169,109667,1.19
20171210,1.26,1.27,1.16,1.22,804,115420,1.21
20171209,1.29,1.37,1.19,1.26,12432,109029,1.28
20171208,1.25,1.29,1.15,1.29,23875,102706,1.22
20171207,1.16,1.27,1.12,1.26,5482,102385,1.20
20171206,1.21,1.45,1.14,1.16,2835,106437,1.29
20171205,1.26,1.37,1.16,1.21,7811,105962,1.27
20171204,1.27,1.38,1.18,1.26,3991,102436,1.28
20171203,1.23,1.33,1.18,1.26,1881,99449,1.25
20171202,1.21,1.26,1.16,1.23,2920,97428,1.21
20171201,1.25,1.26,1.18,1.20,5120,95886,1.22
20171130,1.25,1.36,1.11,1.25,2734,96327,1.24
20171129,1.32,1.35,1.09,1.25,12167,99727,1.22
20171128,1.25,1.32,1.21,1.32,1623,94684,1.27
20171127,1.19,1.30,1.19,1.25,850,97409,1.25
20171126,1.18,1.25,1.18,1.19,1996,95696,1.21
20171125,1.14,1.25,1.11,1.18,4227,87704,1.18
20171124,1.07,1.18,1.06,1.15,3838,82676,1.12
20171123,1.07,1.12,1.06,1.07,1707,82408,1.09
20171122,1.00,1.09,0.976975,1.07,2840,78986,1.03
20171121,1.07,1.21,1.00,1.01,2198,82374,1.10
20171120,1.15,1.28,1.06,1.07,7333,85926,1.17
20171119,1.13,1.17,1.11,1.15,889,85956,1.14
20171118,1.14,1.19,1.13,1.13,13364,79095,1.16
20171117,1.07,1.21,1.02,1.14,9136,69143,1.11
20171116,1.19,1.22,1.07,1.09,7093,71415,1.15
20171115,1.18,1.23,1.16,1.19,634,71022,1.19
20171114,1.20,1.25,1.14,1.18,526,72182,1.19
20171113,1.19,1.23,1.06,1.21,3998,70096,1.15
20171112,1.20,1.29,1.07,1.18,7773,68306,1.18
20171111,1.17,1.23,1.10,1.20,3128,65513,1.17
20171110,1.22,1.22,1.09,1.17,9540,67524,1.16
20171109,1.18,1.25,1.14,1.22,5170,64986,1.19
20171108,1.18,1.27,1.14,1.17,1518,65003,1.21
20171107,1.47,1.52,1.17,1.18,134,81081,1.34
20171106,1.18,1.48,1.14,1.47,2651,67172,1.31
20171105,1.29,1.29,1.17,1.18,1662,73356,1.23
20171104,1.23,1.30,1.10,1.29,512,70062,1.20
20171103,1.17,1.38,1.12,1.23,1001,66481,1.25
20171102,1.14,1.34,1.11,1.17,7012,66446,1.23
20171101,1.10,1.27,1.05,1.13,1303,63964,1.16
20171031,1.21,1.35,1.11,1.11,1122,69524,1.23
20171030,1.22,1.24,1.19,1.21,82,70088,1.21
20171029,1.15,1.23,1.14,1.22,208,66281,1.19
20171028,1.18,1.19,1.14,1.14,1640,70055,1.17
20171027,1.28,1.39,1.17,1.18,829,76547,1.28
20171026,1.18,1.30,1.14,1.29,76,70502,1.22
20171025,1.22,1.22,1.11,1.18,330,73040,1.17
20171024,1.21,1.25,1.16,1.22,603,72453,1.21
20171023,1.26,1.26,1.16,1.21,575,75944,1.21
20171022,1.26,1.27,1.19,1.26,132,76155,1.23
20171021,1.22,1.29,1.19,1.27,1352,73773,1.24
20171020,1.23,1.26,1.18,1.23,5455,77505,1.22
20171019,1.26,1.27,1.19,1.23,1304,79873,1.23
20171018,1.23,1.31,1.14,1.26,389,76904,1.23
20171017,1.30,1.30,1.17,1.23,7124,85785,1.23
20171016,1.22,1.35,1.16,1.30,2337,81193,1.25
20171015,1.23,1.26,1.14,1.22,571,82062,1.20
20171014,1.29,1.32,1.16,1.23,1133,86412,1.24
20171013,1.20,1.32,1.18,1.29,986,80347,1.25
20171012,1.19,1.27,1.15,1.20,10841,84356,1.21
20171011,1.13,1.26,1.09,1.19,1627,79968,1.18
20171010,1.21,1.27,1.12,1.13,65900,89930,1.20
20171009,1.20,1.28,1.16,1.21,7870,95829,1.22
20171008,1.20,1.27,1.16,1.20,1291,95506,1.21
20171007,1.17,1.22,1.15,1.20,2060,93582,1.19
20171006,1.15,1.23,0.925524,1.17,1001,91941,1.08
20171005,1.20,1.25,1.13,1.15,7699,96359,1.19
20171004,1.18,1.27,1.12,1.20,6578,94897,1.20
20171003,1.18,1.23,1.13,1.18,6925,95635,1.18
20171002,1.19,1.25,1.16,1.18,2614,96449,1.21
20171001,1.23,1.25,1.18,1.19,961,97729,1.21
20170930,1.24,1.29,1.20,1.23,2611,97955,1.25
20170929,1.27,1.30,1.21,1.24,1318,100759,1.25
20170928,1.26,1.29,1.19,1.27,910,99752,1.24
20170927,1.24,1.26,1.15,1.26,656,97969,1.21
20170926,1.23,1.29,1.22,1.24,5259,97292,1.25
20170925,1.12,1.23,1.12,1.23,4054,86862,1.18
20170924,1.13,1.13,1.12,1.12,33872,87298,1.12
20170923,1.12,1.13,1.11,1.13,34006,86554,1.12
20170922,1.12,1.12,1.11,1.12,33796,86579,1.12
20170921,1.91,1.91,1.12,1.12,33798,148392,1.52
20170917,1.16,1.16,1.11,1.11,35152,90230,1.14
20170916,1.18,1.24,1.12,1.16,36872,91233,1.18
20170915,1.07,1.32,1.07,1.17,34875,104989,1.20
20170914,1.19,1.23,1.07,1.07,1864,117255,1.15
20170913,1.25,1.25,1.18,1.19,2784,124839,1.21
20170912,1.25,1.38,1.25,1.33,998,124742,1.31
20170911,1.18,1.28,1.17,1.25,951,117014,1.23
20170910,1.17,1.24,1.15,1.17,925,115911,1.19
20170909,1.16,1.25,1.13,1.17,506,114983,1.19
20170908,1.24,1.30,1.14,1.16,10258,123368,1.22
20170907,1.23,1.25,1.17,1.24,1173,122874,1.21
20170906,1.16,1.29,1.15,1.22,11846,118601,1.22
20170905,1.16,1.29,1.10,1.16,8996,118749,1.20
20170904,1.24,1.31,1.13,1.16,5929,128450,1.22
20170903,1.17,1.67,1.17,1.24,1551,124828,1.42
20170902,1.24,1.27,1.08,1.17,6308,131467,1.18
20170901,1.23,1.28,1.17,1.24,1762,124546,1.23
20170831,1.21,1.27,1.20,1.23,373,123132,1.23
20170830,1.22,1.31,1.20,1.21,584,124091,1.25
20170829,1.20,1.25,1.17,1.22,985,124441,1.21
20170828,1.19,1.21,1.15,1.20,10303,121577,1.18
20170827,1.22,1.22,1.16,1.19,925,123728,1.19
20170826,1.20,1.33,1.15,1.22,828,121851,1.24
20170825,1.11,1.23,1.11,1.20,5887,112779,1.17
20170824,1.19,1.23,1.11,1.11,1912,121558,1.17
20170823,1.21,1.25,1.18,1.19,4993,123585,1.21
20170822,1.19,1.25,1.18,1.21,17914,121678,1.21
20170821,1.22,1.30,1.18,1.19,2182,124994,1.24
20170820,1.21,1.24,1.07,1.23,4299,123292,1.16
20170819,1.17,1.21,1.10,1.21,3193,121142,1.16
20170818,1.19,1.21,1.15,1.17,5957,123156,1.18
20170817,1.21,1.22,1.01,1.19,1412,126363,1.11
20170816,1.14,1.22,1.13,1.21,1344,119520,1.17
20170815,1.20,1.22,1.12,1.14,2522,125658,1.17
20170814,1.20,1.23,1.15,1.20,3552,126118,1.19
20170813,1.21,1.25,1.15,1.20,3565,129848,1.20
20170812,1.18,1.24,1.16,1.21,2327,126919,1.20
20170811,1.23,1.27,1.15,1.18,7101,129553,1.21
20170810,1.20,1.27,1.18,1.23,12236,123870,1.23
20170809,1.21,1.25,1.18,1.20,3208,124340,1.21
20170808,1.18,1.31,1.18,1.21,13282,115784,1.25
20170807,1.20,1.23,1.16,1.18,11042,117840,1.19
20170806,1.29,1.33,1.17,1.20,1109,123689,1.25
20170805,1.28,1.35,1.23,1.29,9226,116426,1.29
20170804,1.22,1.28,1.20,1.28,982,112179,1.24
20170803,1.19,1.21,1.19,1.20,1291,109444,1.20
20170802,1.20,1.24,1.16,1.19,1282,110337,1.20
20170801,1.20,1.23,1.16,1.20,2822,109737,1.19
20170731,1.19,1.19,1.17,1.18,1015,108295,1.18
20170730,1.18,1.21,1.16,1.19,1019,107536,1.19
