date,open,high,low,close,volume,marketcap,average
20180110,1531.44,1546.21,1290.00,1429.59,2494,294513,1418.11
20180109,1570.05,1570.05,1263.88,1529.23,2992,302276,1416.97
20180108,1432.08,1586.36,1245.81,1579.69,4903,275713,1416.09
20180107,1515.67,1539.12,1383.62,1431.02,3,291807,1461.37
20180106,1449.57,1635.74,1287.00,1518.48,1,278355,1461.37
20180105,1482.20,1580.17,1372.31,1446.53,92,284621,1476.24
20180104,1534.86,1815.47,1374.75,1428.78,2064,294733,1595.11
20180103,1701.19,1758.39,1463.71,1538.63,167,326674,1611.05
20180102,1539.67,1712.18,1209.29,1704.58,29086,249498,1460.74
20180101,1670.42,1773.01,1369.01,1531.76,55249,199692,1571.01
20171231,1533.16,1746.17,1432.69,1676.55,423,183284,1589.43
20171230,1475.29,1841.67,1289.26,1541.05,12321,167956,1565.47
20171229,1454.94,1682.93,1420.64,1470.22,429,165639,1551.79
20171228,1337.66,1633.68,1269.48,1450.68,3046,152287,1451.58
20171227,1412.57,1512.74,1295.51,1340.12,1159,160815,1404.12
20171226,1510.23,1548.69,1325.61,1411.93,4109,171918,1437.15
20171225,1559.99,1781.67,1368.64,1510.27,6694,169231,1575.16
20171224,1241.94,1550.90,1116.75,1546.49,4412,138454,1333.83
20171223,1329.40,1724.96,1259.40,1259.40,27046,122220,1492.18
20171222,1674.25,1975.56,1118.82,1327.34,8867,156189,1547.19
20171221,1676.07,1827.57,1565.78,1665.48,2969,156392,1696.67
20171220,1517.72,1862.85,1346.58,1671.47,8797,135546,1604.71
20171219,1457.51,1592.89,1401.47,1518.47,856,130169,1497.18
20171218,1577.86,1764.14,1435.22,1457.39,904,139308,1599.68
20171217,1476.17,1702.26,1305.22,1577.43,435,130330,1503.74
20171216,1420.65,1881.07,1273.65,1478.08,2218,124291,1577.36
20171215,1763.20,1819.86,1418.07,1418.07,4203,146326,1618.96
20171214,1413.89,1756.98,1383.66,1753.16,1146,117388,1570.32
20171213,1535.43,1828.67,1339.41,1403.76,1342,127172,1584.04
20171212,1295.21,1744.54,1264.50,1536.16,2252,103374,1504.52
20171211,1385.80,1769.54,1266.42,1290.77,4,110605,1517.98
20171210,1446.09,1450.38,1303.78,1389.20,0,115417,1377.08
20171209,1883.98,2046.43,1381.13,1435.79,1934,151674,1713.78
20171208,1403.49,1871.56,1287.31,1871.56,2482,126271,1579.43
20171207,1438.00,1571.76,1326.65,1403.21,1849,129376,1449.20
20171206,1432.47,1703.04,1387.95,1438.06,5731,128879,1545.49
20171205,1535.04,1535.04,1396.48,1434.34,516,138106,1465.76
20171204,1469.81,1763.62,1469.81,1536.88,2376,132238,1616.71
20171203,1401.53,1841.94,1393.84,1461.89,1884,126095,1617.89
20171202,1508.82,1547.55,1387.10,1401.11,197,135748,1467.32
20171201,2300.69,2300.69,1393.83,1506.93,860,206991,1847.26
20171130,1503.22,2332.07,1340.07,2317.21,723,135244,1836.07
20171129,1524.83,1596.98,1233.89,1505.50,1008,137188,1415.43
20171128,1601.26,1602.18,1358.87,1523.58,5420,144065,1480.53
20171127,1334.53,1625.47,1208.52,1605.02,272,120067,1416.99
20171126,1281.74,1383.73,1278.98,1333.96,35,115318,1331.36
20171125,1296.21,1325.30,1247.00,1282.21,113,116619,1286.15
20171124,1191.30,1356.61,1155.58,1299.91,577,107180,1256.09
20171123,1267.68,1331.99,1190.86,1190.86,455,114052,1261.42
20171122,1171.38,1412.04,1094.80,1267.93,779,105389,1253.42
20171121,1279.00,1660.39,1166.00,1181.83,1793,115071,1413.20
20171120,1244.03,1548.19,1229.22,1279.35,2072,111925,1388.70
20171119,1244.44,1694.10,1219.27,1241.08,433,111961,1456.68
20171118,1304.21,1304.21,1202.93,1246.92,9555,117339,1253.57
20171117,1156.35,1339.98,1096.73,1304.26,2314,104037,1218.36
20171116,1261.05,1283.55,1149.74,1170.37,5615,113456,1216.64
20171115,1285.21,1321.21,1208.36,1260.37,858,115630,1264.78
20171114,1256.50,1301.93,1197.09,1288.24,190,113046,1249.51
20171113,1262.11,1289.36,1164.34,1264.74,260,113551,1226.85
20171112,1285.85,1329.45,1138.07,1255.19,1788,115687,1233.76
20171111,1260.60,1350.92,1210.59,1282.42,439,113416,1280.76
20171110,1299.99,1311.30,1132.39,1260.23,207,116959,1221.85
20171109,1265.37,1339.51,1232.71,1302.61,112,113844,1286.11
20171108,1272.03,1356.59,1222.93,1263.99,23,114443,1289.76
20171107,1284.33,1306.45,1249.20,1271.83,297,115550,1277.83
20171106,1301.80,1312.41,1251.42,1283.09,137,117122,1281.91
20171105,1310.23,1331.96,1255.39,1302.84,35,117881,1293.68
20171104,1261.42,1331.91,954.39,1307.41,1588,113489,1143.15
20171103,1281.62,1383.86,1137.92,1263.42,1872,115306,1260.89
20171102,1178.25,1321.38,1064.39,1278.31,1253,106006,1192.89
20171101,1193.44,1352.22,920.74,1171.83,1068,107373,1136.48
20171031,1339.59,1562.02,1201.50,1201.50,580,120522,1381.76
20171030,1392.51,1392.51,1303.87,1339.05,528,125283,1348.19
20171029,1272.41,1405.50,1272.41,1397.63,617,114478,1338.95
20171028,1397.45,1408.30,1268.97,1270.29,1344,125728,1338.63
20171027,1361.34,1444.32,1360.81,1398.36,1167,122479,1402.57
20171026,1402.60,1429.00,1342.96,1363.40,690,126191,1385.98
20171025,1438.14,1452.15,1319.26,1403.51,39,129388,1385.70
20171024,1347.31,1516.61,1335.40,1440.22,203,121216,1426.01
20171023,1367.87,1399.74,1311.89,1346.30,190,123066,1355.82
20171022,1405.18,1412.09,1330.80,1364.87,51,126423,1371.44
20171021,1311.52,1429.36,1308.97,1418.16,178,117997,1369.16
20171020,1464.23,1465.57,1268.20,1323.50,67,131736,1366.88
20171019,1457.56,1506.00,1424.95,1465.61,52,131136,1465.47
20171018,1395.67,1524.11,1357.80,1464.20,153,125568,1440.95
20171017,1511.68,1521.10,1379.53,1394.35,242,136005,1450.32
20171016,1309.41,1627.81,1277.08,1511.68,12522,117807,1452.44
20171015,1344.29,1344.29,1073.76,1309.24,29,120945,1209.03
20171014,1419.49,1472.37,1308.71,1344.65,154,127710,1390.54
