date,open,high,low,close,volume,marketcap,average
20180110,0.049353,0.057673,0.033716,0.036855,9283,3701470,0.05
20180109,0.029203,0.062659,0.025771,0.052425,14830,2190230,0.04
20180108,0.024882,0.029450,0.021338,0.029283,3593,1866110,0.03
20180107,0.017745,0.028005,0.016331,0.024916,2886,1330840,0.02
20180106,0.014441,0.024204,0.011708,0.017758,1892,1083060,0.02
20180105,0.011488,0.014496,0.009873,0.014419,1375,861585,0.01
20180104,0.019416,0.034398,0.011026,0.011487,419,1456170,0.02
20180103,0.010858,0.019556,0.010738,0.019374,507,814374,0.02
20180102,0.010126,0.011074,0.008445,0.010886,222,759454,0.01
20180101,0.010626,0.010626,0.007876,0.010127,87,796935,0.01
20171231,0.008949,0.010824,0.008861,0.010585,6,671211,0.01
20171230,0.010489,0.010541,0.008823,0.009046,130,786660,0.01
20171229,0.010056,0.010755,0.009819,0.010513,57,754222,0.01
20171228,0.010861,0.010907,0.008266,0.009954,437,814586,0.01
20171227,0.011086,0.011591,0.009713,0.010884,167,831442,0.01
20171226,0.010635,0.011692,0.009090,0.011078,342,797650,0.01
20171225,0.008655,0.010812,0.006493,0.010646,756,649124,0.01
20171224,0.010955,0.010955,0.008047,0.008569,174,821611,0.01
20171223,0.009364,0.012186,0.009364,0.010835,222,702272,0.01
20171222,0.009273,0.010242,0.007429,0.009276,164,695445,0.01
20171221,0.007747,0.011788,0.007138,0.009241,216,581034,0.01
20171220,0.010330,0.010330,0.006323,0.007727,195,774756,0.01
20171219,0.013889,0.016354,0.006691,0.010337,372,1041660,0.01
20171218,0.009566,0.014086,0.009137,0.014086,138,717446,0.01
20171217,0.010907,0.012442,0.009434,0.009537,227,818021,0.01
20171216,0.009706,0.011835,0.009583,0.010906,97,727933,0.01
20171215,0.010948,0.011644,0.008803,0.009692,68,821088,0.01
20171214,0.009825,0.012408,0.009714,0.010931,937,736896,0.01
20171213,0.011920,0.016630,0.009721,0.009857,499,894033,0.01
20171212,0.008794,0.012431,0.008581,0.011910,59,659581,0.01
20171211,0.007562,0.012364,0.007529,0.008765,123,567168,0.01
20171210,0.010584,0.010584,0.007252,0.007618,190,793766,0.01
20171209,0.010491,0.016977,0.008059,0.010541,276,786822,0.01
20171208,0.015912,0.019819,0.009405,0.010501,917,1193380,0.01
20171207,0.014813,0.021395,0.014531,0.015875,2889,1110950,0.02
20171206,0.007723,0.017691,0.006454,0.014838,2584,579188,0.01
20171205,0.010840,0.010941,0.006574,0.007740,714,813024,0.01
20171204,0.009668,0.010819,0.006420,0.010819,89,725094,0.01
20171203,0.010167,0.012145,0.005506,0.009636,836,762485,0.01
20171202,0.010451,0.010639,0.006984,0.010157,330,783805,0.01
20171201,0.009600,0.010521,0.005547,0.010460,1008,719969,0.01
20171130,0.009632,0.010490,0.008552,0.009645,20,722408,0.01
20171129,0.010770,0.012384,0.008911,0.009486,609,807741,0.01
20171128,0.012699,0.012700,0.008172,0.010780,829,952404,0.01
20171127,0.012855,0.013319,0.009696,0.012671,130,964128,0.01
20171126,0.012071,0.012955,0.011674,0.012853,385,905302,0.01
20171125,0.010161,0.012074,0.009399,0.012074,173,762091,0.01
20171124,0.012235,0.012268,0.009959,0.010177,484,917634,0.01
20171123,0.015875,0.015879,0.009323,0.012261,391,1190600,0.01
20171122,0.017445,0.019140,0.012234,0.015880,556,1308400,0.02
20171121,0.013846,0.017571,0.011511,0.017403,517,1038420,0.01
20171120,0.011663,0.015981,0.006774,0.008240,377,874719,0.01
20171119,0.015963,0.018211,0.011563,0.011668,350,1197240,0.01
20171118,0.015758,0.019814,0.015283,0.015993,977,1181830,0.02
20171117,0.010433,0.023961,0.009988,0.015818,4861,782507,0.02
20171116,0.008910,0.010484,0.002433,0.010450,180,668229,0.01
20171115,0.007339,0.008935,0.007339,0.008863,404,550416,0.01
20171114,0.007902,0.008159,0.005379,0.007334,35,592675,0.01
20171113,0.007104,0.008407,0.007048,0.007886,15,532776,0.01
20171112,0.007697,0.007787,0.006700,0.007093,28,577278,0.01
20171111,0.010191,0.011776,0.007540,0.007703,92,764327,0.01
20171110,0.012689,0.013055,0.010000,0.010227,80,951702,0.01
20171109,0.009558,0.012949,0.009330,0.012652,511,716872,0.01
20171108,0.009322,0.009741,0.006098,0.009568,26,699160,0.01
20171107,0.009186,0.009667,0.009186,0.009351,24,688939,0.01
20171106,0.011164,0.011199,0.008204,0.009201,663,837298,0.01
20171105,0.011139,0.011493,0.011016,0.011139,7,835423,0.01
20171104,0.011395,0.011400,0.008159,0.011160,13,854655,0.01
20171103,0.008568,0.013290,0.008473,0.011425,36,642630,0.01
20171102,0.013457,0.019048,0.008547,0.008580,498,1009290,0.01
20171101,0.015981,0.017575,0.011227,0.013442,453,1198570,0.01
20171031,0.019486,0.021573,0.009337,0.015993,276,1461480,0.02
20171030,0.014223,0.020433,0.008101,0.019553,117,1066690,0.01
20171029,0.014721,0.017636,0.012687,0.014306,29,1104060,0.02
20171028,0.017060,0.017377,0.014697,0.014741,2,1279480,0.02
20171027,0.017660,0.017989,0.016880,0.017013,16,1324530,0.02
20171026,0.017203,0.017953,0.017091,0.017656,1,1290240,0.02
20171025,0.016555,0.017236,0.016145,0.017205,1,1241620,0.02
20171024,0.020647,0.020647,0.016456,0.016548,1,1548510,0.02
20171023,0.020808,0.021114,0.016823,0.020692,60,1560600,0.02
20171022,0.018703,0.021029,0.017875,0.020841,541,1402690,0.02
20171021,0.019577,0.020188,0.018356,0.018697,4,1468260,0.02
20171020,0.018768,0.019921,0.013885,0.019618,1179,1407600,0.02
20171019,0.015030,0.018885,0.012728,0.018763,386,1127230,0.02
20171018,0.022179,0.022180,0.009584,0.015022,397,1663420,0.02
20171017,0.022249,0.025564,0.021313,0.022177,133,1668700,0.02
20171016,0.017759,0.022362,0.016812,0.022246,69,1331900,0.02
20171015,0.027033,0.027120,0.016748,0.017756,129,2027460,0.02
20171014,0.025168,0.027022,0.016925,0.026985,1025,1887580,0.02
20171013,0.037323,0.050623,0.024647,0.025161,360,2799240,0.04
20171012,0.028234,0.037208,0.028161,0.037208,73,2117510,0.03
20171011,0.036340,0.037101,0.028161,0.028210,4,2725490,0.03
20171010,0.040778,0.051652,0.035061,0.036346,48,3058360,0.04
20171009,0.039676,0.043393,0.037073,0.040781,69,2975700,0.04
20171008,0.042925,0.043173,0.033357,0.039666,302,3219390,0.04
20171007,0.045707,0.048481,0.036046,0.043040,102,3427990,0.04
20171006,0.039821,0.050946,0.038543,0.045692,112,2986570,0.04
20171005,0.040019,0.041069,0.037608,0.039821,100,3001420,0.04
20171004,0.039655,0.042021,0.037845,0.039983,101,2974110,0.04
20171003,0.039581,0.046177,0.039266,0.039563,159,2968620,0.04
20171002,0.040294,0.043918,0.036036,0.039580,67,3022050,0.04
20171001,0.047185,0.047399,0.037637,0.040312,133,3538860,0.04
20170930,0.030706,0.050618,0.030677,0.047159,146,2302950,0.04
20170929,0.029984,0.033512,0.028785,0.030702,68,2248830,0.03
20170928,0.039550,0.050185,0.019491,0.030007,738,2966280,0.03
20170927,0.032625,0.039710,0.032625,0.039549,100,2446900,0.04
20170926,0.034849,0.037940,0.032498,0.032717,56,2613710,0.04
20170925,0.028938,0.035174,0.028928,0.034853,201,2170370,0.03
20170924,0.022958,0.030545,0.022263,0.028968,69,1721880,0.03
20170923,0.021860,0.023121,0.021650,0.022960,2,1639500,0.02
20170922,0.021363,0.022188,0.020915,0.021922,2,1602230,0.02
20170921,0.022927,0.023082,0.021201,0.021388,2,1719550,0.02
20170920,0.023090,0.023919,0.022689,0.023040,0,1731760,0.02
20170919,0.023798,0.023924,0.022373,0.023121,4,1784840,0.02
20170918,0.023263,0.023949,0.022998,0.023740,4,1744730,0.02
20170917,0.020429,0.020896,0.019190,0.020726,2,1532200,0.02
20170916,0.020401,0.021345,0.019559,0.020443,2,1530090,0.02
20170915,0.016840,0.021035,0.015514,0.020455,10,1262970,0.02
20170914,0.021518,0.024923,0.016709,0.016709,174,1613850,0.02
20170913,0.023046,0.023369,0.021078,0.021519,54,1728450,0.02
20170912,0.030014,0.030707,0.020600,0.023134,16,2251080,0.03
20170911,0.031154,0.032076,0.019176,0.030024,299,2336550,0.03
20170910,0.031142,0.035872,0.028439,0.031207,244,2335640,0.03
20170909,0.030691,0.034060,0.018318,0.031222,178,2301850,0.03
20170908,0.031047,0.038052,0.021976,0.030632,522,2328490,0.03
20170907,0.038218,0.039330,0.027818,0.031040,126,2866350,0.03
20170906,0.044421,0.045230,0.033446,0.038291,238,3331590,0.04
20170905,0.034363,0.045208,0.031692,0.044371,80,2577200,0.04
20170904,0.044573,0.045324,0.032101,0.034185,58,3342990,0.04
20170903,0.025269,0.049070,0.025269,0.044558,112,1895160,0.04
20170902,0.044266,0.048554,0.024662,0.025253,92,3319940,0.04
20170901,0.044918,0.044972,0.040466,0.044210,44,3368840,0.04
20170831,0.040940,0.045157,0.038513,0.044910,12,3070530,0.04
20170830,0.039647,0.045917,0.038231,0.041012,49,2973500,0.04
20170829,0.041518,0.048567,0.039370,0.039700,156,3113880,0.04
20170828,0.036438,0.041592,0.036342,0.041448,84,2732840,0.04
20170826,0.043663,0.043775,0.042833,0.043103,1167,3274700,0.04
