date,open,high,low,close,volume,marketcap,average
20180110,0.693300,0.756084,0.610904,0.633684,67912,,0.68
20180109,0.715669,0.755712,0.619309,0.692399,98440,,0.69
20180108,0.959534,0.976547,0.611052,0.644841,359072,,0.79
20180107,1.31,1.31,0.697404,0.983488,174726,,1.00
20180106,1.55,1.61,1.18,1.31,125371,,1.40
20180105,1.75,1.88,1.51,1.54,916423,,1.69
20180104,1.52,1.78,1.17,1.53,140302,,1.48
20180103,1.63,1.99,1.22,1.51,72718,,1.60
20180102,1.78,1.89,1.62,1.64,151965,,1.75
20180101,2.01,2.05,1.69,1.78,137512,,1.87
20171231,1.89,2.13,1.66,1.94,228673,,1.90
20171230,1.94,2.01,1.61,1.91,114380,,1.81
20171229,2.06,2.19,1.90,1.95,151459,,2.04
20171228,2.18,2.22,1.77,2.04,176453,,2.00
20171227,2.42,2.61,1.85,2.15,277463,,2.23
20171226,1.27,3.31,1.15,2.43,870022,,2.23
20171225,1.57,2.00,1.08,1.27,483319,,1.54
20171224,1.94,2.13,1.54,1.55,391495,,1.83
20171223,2.34,2.45,1.83,1.94,509056,,2.14
20171222,3.26,3.59,1.87,2.45,774661,,2.73
20171221,5.49,5.57,3.16,3.34,673707,,4.37
20171220,5.89,6.47,4.96,5.25,614585,,5.71
20171219,7.62,7.62,5.67,5.92,708690,,6.64
20171218,7.00,7.65,5.88,7.61,419109,,6.77
20171217,7.79,8.16,6.93,6.98,203532,,7.54
20171216,7.86,8.12,7.23,7.81,347649,,7.67
20171215,7.69,8.40,7.05,7.85,845733,,7.72
20171214,8.20,8.44,7.22,7.70,1671070,,7.83
20171213,7.44,9.20,6.94,7.66,1725620,,8.07
20171212,6.40,8.05,5.33,7.29,1378350,,6.69
20171211,6.63,7.18,6.07,6.39,585686,,6.62
20171210,6.76,7.20,5.97,6.63,395421,,6.58
20171209,7.15,7.48,6.13,6.73,362749,,6.80
20171208,6.94,7.89,5.74,6.78,926839,,6.81
20171207,7.55,7.82,6.00,6.94,1298710,,6.91
20171206,8.21,8.67,7.40,7.56,1566410,,8.04
20171205,8.31,8.44,7.79,8.22,1448390,,8.12
20171204,7.74,8.52,7.64,8.29,2766250,,8.08
20171203,5.14,8.55,5.02,7.69,3819450,,6.79
20171202,4.63,5.35,4.50,5.17,1192480,,4.92
20171201,4.06,4.66,3.84,4.66,712534,,4.25
20171130,4.29,4.60,3.70,4.01,863934,,4.15
20171129,2.84,5.96,2.57,4.16,2206050,,4.26
20171128,3.49,3.54,2.26,2.91,983358,,2.90
20171127,4.15,4.53,2.95,3.30,1337910,,3.74
20171126,4.46,5.32,3.67,4.19,1342670,,4.50
20171125,4.51,5.35,4.23,4.40,1327470,,4.79
20171124,5.52,5.73,4.30,4.56,1060980,,5.02
20171123,5.78,6.07,4.94,5.53,1243150,,5.51
20171122,4.05,6.47,3.68,5.79,2368490,,5.08
20171121,5.55,5.63,3.05,3.96,1906070,,4.34
20171120,5.24,6.34,5.24,5.69,2269030,,5.79
20171119,4.98,6.84,4.95,5.32,3371880,,5.89
