date,open,high,low,close,volume,marketcap,average
20180110,0.142978,0.144832,0.124049,0.142485,190424,,0.13
20180109,0.147436,0.151199,0.128268,0.142790,219334,,0.14
20180108,0.157964,0.163902,0.129430,0.147839,242366,,0.15
20180107,0.151382,0.166512,0.145163,0.158185,247582,,0.16
20180106,0.168991,0.192955,0.145586,0.151494,262664,,0.17
20180105,0.152874,0.197625,0.148330,0.168856,56158,,0.17
20180104,0.158192,0.160583,0.134271,0.152844,263069,,0.15
20180103,0.152808,0.160803,0.137562,0.157330,225311,,0.15
20180102,0.142305,0.156411,0.123465,0.153353,173863,,0.14
20180101,0.132822,0.150087,0.129232,0.142316,225082,,0.14
20171231,0.158168,0.164420,0.123098,0.132311,19940,,0.14
20171230,0.162933,0.172210,0.122420,0.159895,401628,,0.15
20171229,0.171440,0.187468,0.160336,0.163343,216749,,0.17
20171228,0.162917,0.193589,0.141130,0.170829,123760,,0.17
20171227,0.196379,0.201610,0.156775,0.164193,149340,,0.18
20171226,0.158798,0.210903,0.157454,0.196237,129016,,0.18
20171225,0.160168,0.202890,0.151636,0.158960,585886,,0.18
20171224,0.168266,0.197837,0.080159,0.158522,574070,,0.14
20171223,0.172095,0.188686,0.143465,0.166428,297794,,0.17
20171222,0.172843,0.198590,0.135096,0.170485,211798,,0.17
20171221,0.164997,0.204215,0.164064,0.187905,208315,,0.18
20171220,0.191516,0.197340,0.162240,0.164566,117469,,0.18
20171219,0.218122,0.218904,0.180501,0.191705,114135,,0.20
20171218,0.226139,0.226139,0.185322,0.217938,7560,,0.21
20171217,0.174511,0.238450,0.172452,0.225456,136782,,0.21
20171216,0.209821,0.222562,0.154179,0.174489,239508,,0.19
20171215,0.199881,0.214587,0.174269,0.209527,213475,,0.19
20171214,0.207969,0.212591,0.168428,0.199581,292338,,0.19
20171213,0.254648,0.260829,0.178679,0.208638,176844,,0.22
20171212,0.252550,0.271500,0.204634,0.254436,529203,,0.24
20171211,0.194399,0.258505,0.159744,0.251742,322804,,0.21
20171210,0.195488,0.222284,0.147581,0.158340,123578,,0.18
20171209,0.244771,0.263252,0.153289,0.194699,17098,,0.21
20171208,0.233777,0.267065,0.157328,0.245017,277123,,0.21
20171207,0.173621,0.240072,0.173621,0.233228,199684,,0.21
20171206,0.175512,0.229005,0.156109,0.173920,142906,,0.19
20171205,0.203751,0.207047,0.156227,0.175902,15618,,0.18
20171204,0.224835,0.239765,0.151828,0.203352,115990,,0.20
20171203,0.196770,0.236740,0.195464,0.224093,96566,,0.22
20171202,0.222585,0.224874,0.176508,0.218098,170968,,0.20
20171201,0.160189,0.222775,0.160075,0.222775,107320,,0.19
20171130,0.210334,0.318894,0.148599,0.160987,122350,,0.23
20171129,0.296846,0.332145,0.126954,0.207152,188275,,0.23
20171128,0.220179,0.317230,0.219128,0.222608,21853,,0.27
20171127,0.291644,0.298271,0.212306,0.219610,93729,,0.26
20171126,0.279531,0.297838,0.196840,0.291588,125216,,0.25
20171125,0.186695,0.547007,0.148360,0.279625,70553,,0.35
20171124,0.180030,0.188090,0.148302,0.187073,107321,,0.17
20171123,0.186629,0.187541,0.162510,0.180276,66876,,0.18
20171122,0.114409,0.189069,0.114066,0.186689,61078,,0.15
20171121,0.160708,0.186683,0.112504,0.114131,57574,,0.15
20171120,0.144298,0.161556,0.100676,0.160678,63519,,0.13
20171119,0.135103,0.145523,0.095304,0.144366,53192,,0.12
20171118,0.134441,0.136395,0.129885,0.135354,47938,,0.13
20171117,0.148970,0.154885,0.094019,0.134958,50959,,0.12
20171116,0.140949,0.150437,0.118339,0.149215,48895,,0.13
20171115,0.125620,0.141351,0.088936,0.140214,31817,,0.12
20171114,0.112200,0.127699,0.078425,0.125534,52361,,0.10
20171113,0.100626,0.115618,0.100133,0.111963,67998,,0.11
20171112,0.109094,0.110028,0.095069,0.100479,20943,,0.10
20171111,0.111773,0.116996,0.104498,0.109175,24050,,0.11
20171110,0.122474,0.126081,0.109677,0.112172,20103,,0.12
20171109,0.085875,0.130431,0.083914,0.122111,116724,,0.11
20171108,0.119907,0.126038,0.114527,0.119527,375,,0.12
20171107,0.104176,0.125293,0.104176,0.120284,3910,,0.11
20171106,0.109717,0.110057,0.102880,0.104343,2477,,0.11
20171105,0.113160,0.113400,0.070159,0.109474,1648,,0.09
20171104,0.121121,0.122608,0.064025,0.113375,4999,,0.09
20171103,0.126349,0.130459,0.061714,0.121437,42946,,0.10
20171102,0.123403,0.133802,0.098223,0.126514,912,,0.12
20171101,0.122177,0.123559,0.099018,0.123265,74046,,0.11
20171031,0.109075,0.122266,0.088987,0.122266,26849,,0.11
20171030,0.110147,0.110658,0.084835,0.109446,4627,,0.10
20171029,0.102988,0.111316,0.081390,0.110791,45425,,0.10
20171028,0.103742,0.105668,0.080081,0.103129,6747,,0.09
20171027,0.079531,0.116200,0.078758,0.103459,49352,,0.10
20171026,0.057401,0.108568,0.057258,0.079512,283890,,0.08
20171025,0.088293,0.096663,0.055528,0.057408,34512,,0.08
20171024,0.100243,0.113194,0.087768,0.088257,51143,,0.10
20171023,0.101648,0.119487,0.085019,0.088178,123877,,0.10
20171022,0.117267,0.131576,0.081444,0.101812,61881,,0.11
20171021,0.081730,0.153111,0.081162,0.117232,1501800,,0.12
20171020,0.083002,0.142280,0.076309,0.081902,174828,,0.11
20171019,0.088279,0.124378,0.073110,0.074253,40313,,0.10
20171018,0.352846,0.352856,0.071450,0.088233,88012,,0.21
20171017,0.112025,0.395510,0.112025,0.352822,37718,,0.25
