date,open,high,low,close,volume,marketcap,average
20180110,0.908977,0.993358,0.885146,0.951418,10714300,26407100,0.94
20180109,0.940607,0.965388,0.880320,0.907755,4967430,27315100,0.92
20180108,0.944995,0.981486,0.848904,0.969903,9008080,28252900,0.92
20180107,0.937565,0.956694,0.914116,0.944634,2927720,27864900,0.94
20180106,0.917847,0.994520,0.894844,0.939688,4370840,26706700,0.94
20180105,0.928766,0.985637,0.873051,0.915301,4757680,26603600,0.93
20180104,1.01,1.16,0.912844,0.932338,5010770,28134900,1.04
20180103,0.944907,1.05,0.899678,1.02,4180930,26020700,0.97
20180102,0.968204,1.01,0.890045,0.943850,9761840,25784300,0.95
20180101,0.963182,1.02,0.938256,0.965446,4874320,24863100,0.98
20171231,1.01,1.01,0.920738,0.966806,2872560,25691700,0.97
20171230,0.936570,1.06,0.900332,1.02,5735110,23325600,0.98
20171229,1.01,1.10,0.921216,0.934997,3734770,24020900,1.01
20171228,0.944109,1.09,0.896075,1.00,5689600,22355500,0.99
20171227,0.961156,1.03,0.912584,0.943374,2435150,22856600,0.97
20171226,0.980198,1.05,0.920851,0.959945,3306450,23763000,0.99
20171225,1.00,1.08,0.946087,0.982262,4654770,23418500,1.01
20171224,0.902254,1.05,0.901142,0.997447,5950800,21079600,0.98
20171223,0.896937,1.09,0.896937,0.909884,6642010,19424400,0.99
20171222,0.976371,1.30,0.781599,0.893388,17627000,22827500,1.04
20171221,0.994748,1.05,0.907766,0.972030,7643020,21402900,0.98
20171220,1.01,1.15,0.896278,0.992296,12936100,18621000,1.02
20171219,1.02,1.12,0.941098,1.01,5354090,17609400,1.03
20171218,0.989630,1.05,0.979127,1.02,3987320,15826500,1.01
20171217,1.04,1.07,0.975901,0.986876,5244070,15922700,1.02
20171216,0.989866,1.14,0.955192,1.04,4787170,13746600,1.05
20171215,1.08,1.20,0.932395,0.989043,5523540,13508300,1.07
20171214,1.01,1.15,0.958397,1.07,4274280,11506400,1.05
20171213,1.07,1.17,0.962344,1.01,2584540,11668800,1.07
20171212,1.01,1.07,0.986913,1.07,2324460,10380600,1.03
20171211,0.969450,1.17,0.959525,1.01,858054,9916120,1.06
20171210,0.968433,1.03,0.924942,0.970479,944816,9781560,0.98
20171209,1.01,1.17,0.959019,0.969136,1267370,9713190,1.06
20171208,1.02,1.19,0.943677,1.01,1520650,9858100,1.07
20171207,0.932072,1.06,0.886930,1.02,2336060,9043960,0.97
20171206,1.01,1.15,0.922780,0.929514,1806990,9713960,1.04
20171205,1.05,1.05,0.975414,1.00,1104700,9824990,1.01
20171204,1.05,1.11,1.00,1.06,1690080,9188980,1.06
20171203,1.00,1.08,0.991802,1.04,1316660,8601530,1.04
20171202,0.996142,1.04,0.965490,1.00,1318550,8765560,1.00
20171201,0.989068,1.03,0.942345,0.994058,822850,8143580,0.99
20171130,1.03,1.19,0.947696,0.991048,1660770,7989000,1.07
20171129,1.05,1.10,0.907798,1.03,2651200,7745470,1.00
20171128,1.03,1.28,0.986680,1.05,1706530,6459130,1.13
20171127,0.986782,1.02,0.965958,1.02,984678,5616490,0.99
20171126,0.986784,1.02,0.971898,0.985379,514850,5390700,1.00
20171125,0.938266,1.04,0.925741,0.987931,402144,5048490,0.98
20171124,0.903720,0.990961,0.881950,0.941014,530917,4770940,0.94
20171123,0.896551,0.931853,0.874000,0.901343,640841,4343690,0.90
20171122,0.846717,0.905803,0.818023,0.896020,525809,4091790,0.86
20171121,0.902159,0.971994,0.817051,0.848686,1304130,4129250,0.89
20171120,0.934741,0.975185,0.893109,0.900237,894330,4319850,0.93
20171119,0.953207,1.02,0.929108,0.953588,676614,4389820,0.97
20171118,0.966981,0.985035,0.943624,0.956116,920617,4377890,0.96
20171117,0.901082,0.985779,0.860018,0.968574,979558,3957410,0.92
20171116,0.986079,0.996051,0.889343,0.918180,208991,4198950,0.94
20171115,0.978288,1.01,0.948843,0.983702,505782,3938020,0.98
20171114,0.980837,1.02,0.947754,0.980470,219891,3956500,0.98
20171113,0.985553,1.01,0.911057,0.985490,232540,3972360,0.96
20171112,0.987825,1.02,0.866928,0.979159,271212,3992490,0.94
20171111,0.966732,1.02,0.932064,0.984858,333048,3806280,0.98
20171110,1.01,1.01,0.938547,0.967434,488346,3867800,0.97
20171109,0.995405,1.11,0.965373,1.01,476812,3678950,1.04
20171108,0.988731,1.02,0.923104,0.995987,567278,3661040,0.97
20171107,0.982109,1.02,0.961398,0.989549,404710,3638660,0.99
20171106,0.991054,1.01,0.962359,0.983649,332974,3516510,0.99
20171105,1.01,1.03,0.849730,0.991463,294451,3594390,0.94
20171104,0.997195,1.02,0.956823,1.01,225035,3492130,0.99
20171103,0.991113,1.12,0.924321,0.999290,501583,3391480,1.02
20171102,0.960766,1.09,0.909359,0.996345,519026,3296690,1.00
20171101,0.989273,1.08,0.957338,0.958033,267709,3359240,1.02
20171031,1.01,1.12,0.975908,0.995124,370236,3350880,1.05
20171030,1.00,1.03,0.992573,1.01,58481,3281910,1.01
20171029,0.984786,1.03,0.931559,1.01,139676,3241490,0.98
20171028,0.991614,1.01,0.909508,0.986290,49078,3266830,0.96
20171027,0.967076,1.03,0.967076,0.991269,59597,3172440,1.00
20171026,1.03,1.04,0.951436,0.968402,49737,3364850,1.00
20171025,1.03,1.04,0.951927,1.03,89171,3303390,1.00
20171024,1.01,1.09,0.996451,1.03,47591,3226370,1.04
20171023,1.03,1.05,0.986151,1.01,43810,3296710,1.02
20171022,1.04,1.04,0.998971,1.03,58871,3297320,1.02
20171021,1.03,1.07,1.00,1.04,234770,3289790,1.04
20171020,1.04,1.10,1.00,1.04,116029,3312190,1.05
20171019,1.02,1.11,0.998931,1.04,118717,3206460,1.05
20171018,0.992672,1.07,0.967182,1.03,237351,3100650,1.02
20171017,1.01,1.04,0.934349,0.991646,126672,3168600,0.99
20171016,1.02,1.06,0.949679,1.01,234314,3169380,1.00
20171015,1.02,1.04,0.875183,1.02,62500,3138160,0.96
20171014,1.03,1.06,0.980611,1.02,169492,3187190,1.02
20171013,1.02,1.07,0.907891,1.03,203450,3154590,0.99
20171012,1.01,1.05,0.969559,1.02,144395,3101750,1.01
20171011,1.00,1.06,0.961323,1.01,88211,3024530,1.01
20171010,1.01,1.07,0.949174,1.00,90107,3050890,1.01
20171009,1.01,1.08,0.959855,1.01,348631,3175450,1.02
20171008,1.01,1.04,0.992765,1.01,99491,3172860,1.02
20171007,1.01,1.04,0.976790,1.01,110517,3157250,1.01
20171006,0.981572,1.28,0.768579,1.01,71123,3049340,1.02
20171005,0.997106,1.09,0.939550,0.981649,106149,3059710,1.01
20171004,1.01,1.08,0.963822,0.997070,337898,3203250,1.02
20171003,0.962469,1.08,0.960989,1.01,200382,3050300,1.02
20171002,1.02,1.10,0.938955,0.962418,192745,3253680,1.02
20171001,1.03,1.07,1.01,1.02,73760,3273960,1.04
20170930,1.01,1.10,0.968516,1.03,54037,3229660,1.03
20170929,1.01,1.06,0.983318,1.01,73051,3231690,1.02
20170928,1.03,1.04,0.999557,1.01,56424,3263410,1.02
20170927,1.01,1.03,0.977974,1.03,62447,3196890,1.00
20170926,1.02,1.08,0.997454,1.02,49096,3197140,1.04
20170925,1.01,1.02,0.985906,1.02,49913,3226590,1.00
20170924,1.02,1.02,1.01,1.01,1899170,3237360,1.02
20170923,1.01,1.02,1.01,1.02,1903360,3218670,1.02
20170922,1.01,1.01,1.01,1.01,1896960,3218970,1.01
