date,open,high,low,close,volume,marketcap,average
20180110,0.328482,0.354269,0.278615,0.313398,347510,24838000,0.32
20180109,0.249466,0.343134,0.237175,0.322344,368887,18863300,0.29
20180108,0.277221,0.277221,0.221237,0.249523,226265,20961900,0.25
20180107,0.218350,0.286256,0.218350,0.277508,274418,16510500,0.25
20180106,0.186546,0.237314,0.184569,0.219371,263776,14105600,0.21
20180105,0.173654,0.211403,0.171402,0.187024,318411,13130800,0.19
20180104,0.205189,0.218286,0.170629,0.192975,255071,15515300,0.19
20180103,0.205928,0.239053,0.193537,0.194498,201230,15571100,0.22
20180102,0.201624,0.224443,0.159215,0.206608,225990,15245700,0.19
20180101,0.179147,0.234495,0.146814,0.204929,194293,13546100,0.19
20171231,0.208719,0.232059,0.158963,0.161850,385832,15782200,0.20
20171230,0.233405,0.247880,0.183143,0.209469,163348,17648800,0.22
20171229,0.222658,0.248015,0.203294,0.243682,143008,16836200,0.23
20171228,0.233366,0.237016,0.143761,0.218814,124766,17645800,0.19
20171227,0.213496,0.255349,0.196604,0.233784,132325,16143400,0.23
20171226,0.196934,0.250719,0.186814,0.213885,125273,14891100,0.22
20171225,0.179303,0.214660,0.169032,0.196958,133095,13557900,0.19
20171224,0.196957,0.205185,0.164580,0.177546,135540,14892800,0.18
20171223,0.192346,0.227329,0.189722,0.195231,205145,14544200,0.21
20171222,0.256577,0.258310,0.141696,0.189868,177167,19401000,0.20
20171221,0.276393,0.307242,0.230553,0.255997,283857,20899300,0.27
20171220,0.193101,0.266334,0.174346,0.266334,349064,14601200,0.22
20171219,0.222293,0.232784,0.151539,0.189041,268991,16808600,0.19
20171218,0.193182,0.246890,0.180630,0.221580,357813,14607400,0.21
20171217,0.280798,0.282291,0.192428,0.192428,474211,21232400,0.24
20171216,0.274480,0.339836,0.214461,0.281929,885950,20754600,0.28
20171215,0.389400,0.407165,0.208404,0.273965,1033580,29444200,0.31
20171214,0.318281,0.396889,0.309516,0.388761,458151,24066600,0.35
20171213,0.410127,0.415956,0.295832,0.301471,662428,31011600,0.36
20171212,0.405379,0.421244,0.379072,0.404535,891616,30652600,0.40
20171211,0.359694,0.413152,0.357987,0.404290,807975,27198100,0.39
20171210,0.284849,0.381713,0.248020,0.362324,698197,21538700,0.31
20171209,0.346009,0.423044,0.272270,0.284906,911990,26163300,0.35
20171208,0.209807,0.360114,0.197926,0.336562,1055890,15864500,0.28
20171207,0.394043,0.394043,0.137716,0.208492,2406920,29795400,0.27
20171206,0.203866,0.600358,0.199135,0.416304,5356030,15415200,0.40
20171205,0.057930,0.227651,0.049156,0.209225,2051440,4380320,0.14
20171204,0.030260,0.057366,0.030226,0.057366,211600,2288070,0.04
20171203,0.024769,0.032843,0.021923,0.030160,60138,1872870,0.03
20171202,0.018987,0.027618,0.018587,0.024745,20274,1435730,0.02
20171201,0.017275,0.019128,0.015602,0.019004,2592,1306210,0.02
20171130,0.018554,0.021052,0.014658,0.017361,10334,1402950,0.02
20171129,0.014343,0.022575,0.012380,0.018273,20121,1084550,0.02
20171128,0.012845,0.014358,0.011123,0.014358,4687,971308,0.01
20171127,0.011648,0.014710,0.009645,0.012812,25480,880792,0.01
20171126,0.011978,0.013426,0.011484,0.011646,2118,905710,0.01
20171125,0.012313,0.012921,0.011804,0.011982,1338,931015,0.01
20171124,0.012061,0.012508,0.011831,0.012338,22883,911995,0.01
20171123,0.012338,0.012398,0.012078,0.012078,22448,932915,0.01
20171122,0.013794,0.014006,0.012120,0.012342,22870,1043020,0.01
20171121,0.014010,0.014381,0.013165,0.013761,2958,1059390,0.01
20171120,0.013979,0.014545,0.013669,0.014008,5449,1057040,0.01
20171119,0.013471,0.014826,0.013195,0.014628,5043,1018630,0.01
20171118,0.012761,0.013782,0.012222,0.013496,3539,964890,0.01
