date,open,high,low,close,volume,marketcap,average
20180110,0.229399,0.229399,0.198693,0.220794,98348,,0.21
20180109,0.216410,0.245642,0.205180,0.229371,224010,,0.23
20180108,0.271186,0.275351,0.188716,0.218730,324217,,0.23
20180107,0.220301,0.299649,0.217622,0.270550,337350,,0.26
20180106,0.216212,0.243551,0.180184,0.220583,137578,,0.21
20180105,0.212474,0.262034,0.199639,0.216088,166467,,0.23
20180104,0.187232,0.214821,0.179865,0.210558,121130,,0.20
20180103,0.179422,0.212170,0.173821,0.187637,74602,,0.19
20180102,0.189256,0.191461,0.166835,0.179248,50868,,0.18
20180101,0.189120,0.201583,0.175412,0.189748,49602,,0.19
20171231,0.171990,0.194678,0.163949,0.189169,28516,,0.18
20171230,0.205852,0.206093,0.157702,0.172336,36508,,0.18
20171229,0.182826,0.228879,0.167146,0.205869,68941,,0.20
20171228,0.241711,0.244389,0.173356,0.182385,54073,,0.21
20171227,0.256497,0.266587,0.222884,0.247421,103604,,0.24
20171226,0.222300,0.263538,0.222300,0.256352,105604,,0.24
20171225,0.186444,0.267827,0.186444,0.222267,261218,,0.23
20171224,0.150632,0.224378,0.119791,0.186042,221917,,0.17
20171223,0.112244,0.152935,0.112244,0.148871,42499,,0.13
20171222,0.146443,0.147645,0.077656,0.111327,39202,,0.11
20171221,0.151075,0.163730,0.132303,0.137216,39052,,0.15
20171220,0.107577,0.157954,0.093858,0.140533,78529,,0.13
20171219,0.113700,0.122547,0.102134,0.107692,50047,,0.11
20171218,0.105581,0.114205,0.092988,0.114043,15704,,0.10
20171217,0.092826,0.106924,0.088113,0.105720,29814,,0.10
20171216,0.088314,0.102614,0.086507,0.092535,11816,,0.09
20171215,0.092243,0.092395,0.076707,0.088149,18811,,0.08
20171214,0.079227,0.112131,0.071852,0.092310,12765,,0.09
20171213,0.097126,0.097126,0.074822,0.079269,15758,,0.09
20171212,0.092563,0.097751,0.079743,0.097059,26116,,0.09
20171211,0.084518,0.094380,0.083526,0.093160,21151,,0.09
20171210,0.082624,0.088862,0.073352,0.084422,23576,,0.08
20171209,0.076479,0.088571,0.072060,0.082359,9889,,0.08
20171208,0.065495,0.078133,0.062232,0.076481,12933,,0.07
20171207,0.075798,0.080537,0.064336,0.065400,17447,,0.07
20171206,0.077341,0.079147,0.074111,0.076062,31955,,0.08
