date,open,high,low,close,volume,marketcap,average
20180110,1.72,1.90,1.44,1.58,9462790,77738700,1.67
20180109,1.48,2.19,1.44,1.73,24595900,66672400,1.81
20180108,1.74,1.78,1.22,1.46,12469300,78458300,1.50
20180107,1.85,2.19,1.61,1.75,27034800,83649200,1.90
20180106,1.05,2.39,1.05,1.81,86116300,47518100,1.72
20180105,0.785016,1.25,0.735046,1.04,20056000,35456200,0.99
20180104,0.650872,0.867582,0.634993,0.789733,6444650,29397400,0.75
20180103,0.644405,0.687091,0.582378,0.648245,3622010,29105300,0.63
20180102,0.703536,0.765498,0.536854,0.657989,8034000,31776100,0.65
20180101,0.459772,0.730973,0.435802,0.720167,15477700,20766100,0.58
20171231,0.370119,0.486154,0.361399,0.456501,2336460,16716900,0.42
20171230,0.449606,0.454456,0.313253,0.374112,2119230,20307000,0.38
20171229,0.382275,0.506042,0.366908,0.451250,3484980,17265900,0.44
20171228,0.357238,0.440868,0.298797,0.377764,3318330,16135100,0.37
20171227,0.325853,0.421136,0.319888,0.355894,1062530,14717500,0.37
20171226,0.350047,0.381548,0.312002,0.325469,895871,15810300,0.35
20171225,0.392961,0.481475,0.319741,0.347773,1845300,17748500,0.40
20171224,0.358461,0.386084,0.276009,0.381176,1191920,16190300,0.33
20171223,0.300506,0.427158,0.293185,0.359323,1412980,13572700,0.36
20171222,0.438077,0.481808,0.238288,0.298506,1328750,19786300,0.36
20171221,0.532625,0.664546,0.392504,0.436344,3887250,24056700,0.53
20171220,0.364281,0.543981,0.332588,0.525055,4757290,16453200,0.44
20171219,0.332394,0.425098,0.315415,0.364690,1320300,15013000,0.37
20171218,0.321944,0.376136,0.253258,0.332183,2314130,14541000,0.31
20171217,0.207145,0.447223,0.207145,0.311144,4684720,9355970,0.33
20171216,0.167784,0.228113,0.160491,0.208335,704712,7578160,0.19
20171215,0.176373,0.181034,0.135831,0.168388,408417,7966120,0.16
20171214,0.155321,0.203922,0.149359,0.176111,599961,7015280,0.18
20171213,0.164821,0.176575,0.142584,0.163377,374785,7444350,0.16
20171212,0.195850,0.198202,0.152220,0.166419,364530,8845820,0.18
20171211,0.165952,0.199051,0.161267,0.194202,174624,7495410,0.18
20171210,0.198347,0.198347,0.160891,0.167965,156700,8958560,0.18
20171209,0.195946,0.225502,0.185199,0.197835,287533,8850150,0.21
20171208,0.191926,0.221518,0.170143,0.196074,375643,8668580,0.20
20171207,0.210724,0.219688,0.182568,0.192870,348236,9517620,0.20
20171206,0.226416,0.237408,0.196998,0.212668,474841,10226300,0.22
20171205,0.244015,0.252136,0.216988,0.226789,386853,11021300,0.23
20171204,0.243624,0.256243,0.225976,0.239366,274358,11003600,0.24
20171203,0.271709,0.271709,0.219599,0.242517,285439,12272000,0.25
20171202,0.275603,0.279878,0.240510,0.266526,314142,12448000,0.26
20171201,0.279200,0.300191,0.254032,0.275758,297845,12610400,0.28
20171130,0.245308,0.332581,0.240936,0.280118,867359,11079600,0.29
20171129,0.303061,0.323449,0.224517,0.242323,753016,13688100,0.27
20171128,0.388927,0.402959,0.299827,0.311995,1106340,17566400,0.35
20171127,0.361450,0.468788,0.354587,0.385395,2000050,16325300,0.41
20171126,0.251809,0.446486,0.251809,0.358717,2563400,11373300,0.35
20171125,0.236933,0.259867,0.223301,0.252828,489570,10701400,0.24
20171124,0.231799,0.242934,0.211086,0.236981,285125,10469500,0.23
20171123,0.231670,0.239770,0.207534,0.224480,625582,10463600,0.22
20171122,0.235322,0.242397,0.206702,0.232255,689607,10628600,0.22
20171121,0.221733,0.255845,0.174282,0.234194,784757,10014800,0.22
20171120,0.231166,0.232503,0.205151,0.222064,321924,10440900,0.22
