date,open,high,low,close,volume,marketcap,average
20180110,0.268084,0.285356,0.219216,0.241586,9181860,391003000,0.25
20180109,0.265347,0.278272,0.224223,0.267270,11792200,387012000,0.25
20180108,0.313622,0.320972,0.204381,0.265994,18241000,423114000,0.26
20180107,0.244249,0.342364,0.220959,0.283565,26554100,329521000,0.28
20180106,0.143565,0.256593,0.142160,0.244710,26660300,193686000,0.20
20180105,0.122861,0.146942,0.121209,0.140741,4592510,165754000,0.13
20180104,0.114333,0.133416,0.110362,0.123212,6710560,154248000,0.12
20180103,0.086190,0.116822,0.083245,0.114325,3829030,116280000,0.10
20180102,0.075217,0.090859,0.074207,0.085999,1568760,101476000,0.08
20180101,0.088264,0.091978,0.067902,0.075164,1492340,119079000,0.08
20171231,0.055088,0.091833,0.053697,0.089873,2965000,74320200,0.07
20171230,0.060664,0.061922,0.053165,0.055601,897584,81843400,0.06
20171229,0.049308,0.060127,0.049308,0.060127,788181,66522400,0.05
20171228,0.046031,0.049670,0.037851,0.049670,685827,62101400,0.04
20171227,0.043208,0.046587,0.040533,0.046059,369799,58292200,0.04
20171226,0.041475,0.053422,0.039603,0.045324,857816,55955200,0.05
20171225,0.035511,0.042674,0.034660,0.041506,792903,47909200,0.04
20171224,0.033553,0.035370,0.029146,0.035370,438908,45267100,0.03
20171223,0.031007,0.036507,0.029309,0.033265,274573,41832400,0.03
20171222,0.037224,0.037670,0.022634,0.030782,461044,50219100,0.03
20171221,0.037481,0.038764,0.032704,0.037154,643207,50566200,0.04
20171220,0.034923,0.038423,0.030914,0.037419,1422550,47115900,0.03
20171219,0.036676,0.038869,0.033129,0.034974,1321540,49480400,0.04
20171218,0.037954,0.038017,0.032805,0.036942,1075180,51204700,0.04
20171217,0.034997,0.039799,0.034087,0.037969,1122340,47215100,0.04
20171216,0.033823,0.038195,0.031907,0.034971,879102,45631300,0.04
20171215,0.031425,0.036165,0.027355,0.034149,622934,42396400,0.03
20171214,0.034882,0.039762,0.028254,0.030865,707127,47059700,0.03
20171213,0.034557,0.043599,0.029280,0.034900,303879,46621400,0.04
20171212,0.028363,0.034533,0.026188,0.034533,118149,38265600,0.03
20171211,0.027645,0.028826,0.025540,0.028546,82985,37296600,0.03
20171210,0.026707,0.029126,0.024622,0.027609,72854,36030200,0.03
20171209,0.022783,0.027512,0.022783,0.026631,49504,30737200,0.03
20171208,0.023464,0.026030,0.020028,0.022784,104369,31655200,0.02
20171207,0.023740,0.028626,0.023228,0.023442,233069,,0.03
20171206,0.024240,0.024407,0.021179,0.023160,97222,,0.02
20171205,0.024985,0.026535,0.020166,0.024282,181930,,0.02
20171204,0.018522,0.027102,0.017460,0.024972,194709,,0.02
20171203,0.018901,0.019830,0.016603,0.018485,86907,,0.02
20171202,0.017923,0.020380,0.017586,0.018895,68097,,0.02
20171201,0.016602,0.021116,0.016073,0.017923,118383,,0.02
20171130,0.019213,0.020114,0.012475,0.016643,148455,,0.02
20171129,0.021654,0.023112,0.018623,0.018970,161214,,0.02
20171128,0.018606,0.022981,0.018606,0.021637,492028,,0.02
