date,open,high,low,close,volume,marketcap,average
20180110,0.012505,0.013677,0.011880,0.013339,11615,7186420,0.01
20180109,0.013676,0.013910,0.011384,0.012490,14567,7859580,0.01
20180108,0.013602,0.014280,0.012229,0.013713,10381,7816710,0.01
20180107,0.014467,0.014467,0.011897,0.013618,7339,8313690,0.01
20180106,0.012704,0.014956,0.012509,0.014445,23499,7300870,0.01
20180105,0.011480,0.013403,0.010440,0.011972,11076,6597550,0.01
20180104,0.011079,0.012824,0.010663,0.011478,3275,6366960,0.01
20180103,0.012828,0.013407,0.010918,0.011020,6855,7372230,0.01
20180102,0.010875,0.013021,0.010030,0.012866,3676,6249860,0.01
20180101,0.011217,0.011389,0.009893,0.010876,1606,6446450,0.01
20171231,0.009641,0.012046,0.009544,0.011176,3640,5540240,0.01
20171230,0.011020,0.011510,0.009103,0.009744,2881,6332960,0.01
20171229,0.010902,0.012473,0.010461,0.010654,3869,6265450,0.01
20171228,0.014004,0.014045,0.009495,0.010797,4108,8047880,0.01
20171227,0.014864,0.015069,0.012585,0.014030,3595,8542350,0.01
20171226,0.012054,0.015064,0.012010,0.014861,2948,6927130,0.01
20171225,0.012148,0.013515,0.011614,0.012181,4247,6981300,0.01
20171224,0.012814,0.013703,0.010278,0.011835,8906,7363870,0.01
20171223,0.009910,0.013643,0.009841,0.012677,4857,5695090,0.01
20171222,0.012764,0.012883,0.008307,0.009835,5695,7335290,0.01
20171221,0.014600,0.015344,0.011729,0.012722,3943,8390240,0.01
20171220,0.013225,0.014779,0.012153,0.014566,6449,7600300,0.01
20171219,0.017212,0.017273,0.013388,0.013814,5505,9891750,0.02
20171218,0.014916,0.016632,0.013077,0.014249,5351,8571930,0.01
20171217,0.015250,0.016561,0.013813,0.014875,11874,8763890,0.02
20171216,0.016468,0.016863,0.013559,0.014153,15934,9464070,0.02
20171215,0.014251,0.016768,0.014233,0.016455,10776,8190030,0.02
20171214,0.012177,0.015727,0.011961,0.014230,22347,6997720,0.01
20171213,0.013351,0.015664,0.011269,0.012214,19063,7672580,0.01
20171212,0.013546,0.015306,0.012186,0.012908,6621,7784500,0.01
20171211,0.013554,0.016775,0.013221,0.014114,52290,7789210,0.01
20171210,0.008765,0.020674,0.008187,0.013695,56887,5037120,0.01
20171209,0.009116,0.025639,0.006892,0.008743,6630,5238960,0.02
20171208,0.008796,0.013055,0.007247,0.007337,7692,5055000,0.01
20171207,0.009213,0.010661,0.008088,0.008777,7979,5294440,0.01
20171206,0.007329,0.010904,0.007329,0.009227,4599,4211910,0.01
20171205,0.007517,0.008141,0.006668,0.007346,7952,4320130,0.01
20171204,0.005787,0.007516,0.005772,0.007503,12197,3325540,0.01
20171203,0.007179,0.007723,0.005602,0.005956,5373,4125920,0.01
20171202,0.005344,0.008226,0.005344,0.007800,13324,3071130,0.01
20171201,0.003050,0.008802,0.002791,0.004702,25976,1752750,0.01
20171130,0.003208,0.003409,0.002586,0.003064,507,1843590,0.00
20171129,0.003420,0.003918,0.002986,0.003162,2709,1965450,0.00
20171128,0.004002,0.008961,0.002926,0.003423,13794,2299660,0.01
20171127,0.004295,0.004668,0.003750,0.003992,864,2468550,0.00
20171126,0.004803,0.005047,0.004006,0.004020,943,2760480,0.00
20171125,0.004599,0.005090,0.004366,0.004805,1541,2642680,0.00
20171124,0.004809,0.005205,0.004266,0.004364,1270,2763530,0.00
20171123,0.005026,0.005302,0.004421,0.004514,540,2888280,0.00
20171122,0.005081,0.005717,0.003820,0.005027,1911,2920020,0.00
20171121,0.005377,0.005663,0.004923,0.005067,491,3090180,0.01
20171120,0.004633,0.005666,0.004301,0.005374,2381,2662670,0.00
20171119,0.004621,0.005027,0.004083,0.004920,725,2655460,0.00
20171118,0.004246,0.005088,0.004123,0.004701,908,2440200,0.00
20171117,0.005397,0.005712,0.003669,0.004565,2536,3101510,0.00
20171116,0.004548,0.005754,0.004459,0.005258,2435,2613940,0.01
20171115,0.004366,0.005048,0.004265,0.004528,775,2509090,0.00
20171114,0.003953,0.004738,0.003953,0.004363,4082,2271680,0.00
20171113,0.003628,0.004431,0.003628,0.003947,752,2085020,0.00
20171112,0.003601,0.003700,0.002978,0.003617,198,2069690,0.00
20171111,0.004154,0.004362,0.003216,0.003482,643,2387430,0.00
20171110,0.004857,0.005185,0.004005,0.004169,1523,2791080,0.00
20171109,0.005605,0.005666,0.004664,0.004842,1254,3221340,0.01
20171108,0.005693,0.007219,0.004851,0.005946,5485,3271550,0.01
20171107,0.005065,0.005989,0.004324,0.005711,1232,2910500,0.01
20171106,0.005575,0.005801,0.004923,0.005073,732,3204090,0.01
20171105,0.005494,0.006074,0.005294,0.005564,1610,3157480,0.01
20171104,0.005735,0.006289,0.005232,0.005436,1458,3295960,0.01
20171103,0.005476,0.006486,0.005441,0.005750,742,3146830,0.01
20171102,0.005765,0.006272,0.005113,0.005484,2902,3313120,0.01
20171101,0.005164,0.005901,0.004893,0.005891,2240,2967600,0.01
20171031,0.004152,0.005984,0.003985,0.005211,4979,2386370,0.00
20171030,0.004337,0.004770,0.003440,0.003993,16623,2492670,0.00
20171029,0.004193,0.004656,0.003917,0.004363,592,2409830,0.00
20171028,0.004172,0.004529,0.003574,0.004200,1210,2397720,0.00
20171027,0.004873,0.005189,0.002989,0.004161,1370,2800620,0.00
20171026,0.005140,0.005336,0.004566,0.004818,815,2953890,0.00
20171025,0.004825,0.005530,0.004583,0.004980,1054,2772620,0.01
20171024,0.005301,0.005511,0.004528,0.005081,1223,3046270,0.01
20171023,0.005026,0.006112,0.004608,0.005030,1388,2888300,0.01
20171022,0.004864,0.005745,0.004528,0.005151,1553,2795510,0.01
20171021,0.005409,0.006116,0.004977,0.005042,1240,3108520,0.01
20171020,0.005368,0.005845,0.004475,0.005413,4021,3085150,0.01
20171019,0.005470,0.006085,0.005087,0.005311,1139,3143500,0.01
20171018,0.005317,0.005922,0.004788,0.005467,1396,3055630,0.01
20171017,0.005357,0.005700,0.004791,0.004985,1774,3078790,0.01
20171016,0.005663,0.006548,0.005162,0.005357,3633,3254320,0.01
20171015,0.005119,0.005718,0.004603,0.005661,16526,2941760,0.01
20171014,0.005329,0.005714,0.004625,0.004972,1763,3062450,0.01
20171013,0.004401,0.005767,0.004027,0.004992,5782,2529050,0.00
20171012,0.004237,0.004582,0.004028,0.004387,3105,2434710,0.00
20171011,0.004811,0.004834,0.004088,0.004233,1485,2765010,0.00
20171010,0.004949,0.005042,0.004503,0.004812,1470,2843990,0.00
20171009,0.004727,0.005102,0.003868,0.004950,1358,2716370,0.00
20171008,0.004710,0.005035,0.004513,0.004694,5988,2706960,0.00
20171007,0.004165,0.004734,0.004158,0.004723,15004,2393540,0.00
20171006,0.004252,0.004713,0.004123,0.004164,1429,2443670,0.00
20171005,0.004486,0.005001,0.004223,0.004252,2414,2578140,0.00
20171004,0.004449,0.004654,0.004046,0.004482,2802,2557040,0.00
20171003,0.004710,0.004909,0.004230,0.004439,462,2706510,0.00
20171002,0.004879,0.005081,0.004448,0.004709,7233,2803810,0.00
20171001,0.004793,0.005051,0.004523,0.004881,5946,2754300,0.00
20170930,0.004297,0.005116,0.004250,0.004790,2495,2469240,0.00
20170929,0.004496,0.004511,0.004120,0.004296,1148,2583960,0.00
20170928,0.004507,0.004595,0.004098,0.004500,1461,2590180,0.00
