date,open,high,low,close,volume,marketcap,average
20180110,0.015938,0.018587,0.013689,0.016948,381,188955,0.02
20180109,0.015361,0.015737,0.014684,0.015077,102,182113,0.02
20180108,0.016774,0.020782,0.014906,0.015403,153,198858,0.02
20180107,0.023395,0.023395,0.013760,0.016797,112,277364,0.02
20180106,0.013587,0.023413,0.012981,0.023413,1694,161083,0.02
20180105,0.013359,0.014989,0.013142,0.013576,100,158382,0.01
20180104,0.012929,0.013357,0.011764,0.013357,81,153281,0.01
20180103,0.013055,0.016544,0.012576,0.012859,478,154779,0.01
20180102,0.016067,0.016575,0.012212,0.013102,658,190478,0.01
20180101,0.012164,0.016342,0.011233,0.016068,447,144207,0.01
20171231,0.011952,0.012659,0.011017,0.012117,264,141692,0.01
20171230,0.017395,0.017401,0.011443,0.012082,158,206225,0.01
20171229,0.014323,0.017619,0.012411,0.017439,527,169804,0.02
20171228,0.013344,0.014176,0.011718,0.014176,98,158196,0.01
20171227,0.013303,0.016393,0.012754,0.013372,756,157714,0.01
20171226,0.011283,0.013557,0.011237,0.013293,42,133766,0.01
20171225,0.012396,0.013671,0.011209,0.011295,1441,146966,0.01
20171224,0.012854,0.012854,0.011059,0.012269,3055,152386,0.01
20171223,0.012135,0.013779,0.011964,0.012713,3165,143865,0.01
20171222,0.013827,0.013964,0.010072,0.012021,2993,163931,0.01
20171221,0.014505,0.015300,0.013329,0.013780,3431,171967,0.01
20171220,0.015504,0.015695,0.013873,0.014467,3602,183813,0.01
20171219,0.032527,0.042149,0.015005,0.015520,3864,385624,0.03
20171218,0.017027,0.033217,0.010288,0.032500,3016,201868,0.02
20171217,0.019087,0.019569,0.016898,0.016976,1647,226288,0.02
20171216,0.019765,0.019859,0.016083,0.019085,2039,234317,0.02
20171215,0.018080,0.022062,0.018077,0.019737,805,214353,0.02
20171214,0.020797,0.023002,0.017991,0.018053,2536,246557,0.02
20171213,0.013130,0.021064,0.012111,0.020864,5307,155660,0.02
20171212,0.012796,0.013497,0.012496,0.013119,34,151701,0.01
20171211,0.011588,0.013303,0.011537,0.012755,33,137378,0.01
20171210,0.012932,0.013670,0.010834,0.011672,31,153318,0.01
20171209,0.013987,0.014194,0.011648,0.012880,751,165821,0.01
20171208,0.011975,0.014156,0.010053,0.014001,1609,141972,0.01
20171207,0.011401,0.013983,0.010441,0.011947,1698,135162,0.01
20171206,0.010414,0.012113,0.009084,0.011420,1086,123459,0.01
20171205,0.014804,0.014854,0.008692,0.010437,1242,175502,0.01
20171204,0.014727,0.019470,0.014256,0.014774,176,174592,0.02
20171203,0.021863,0.021882,0.014612,0.014678,963,259201,0.02
20171202,0.016327,0.023190,0.013624,0.021843,2309,193559,0.02
20171201,0.018087,0.018288,0.012450,0.016340,1479,214436,0.02
20171130,0.014743,0.020368,0.011534,0.018178,3577,174786,0.02
20171129,0.008141,0.017488,0.008141,0.014520,4421,96515,0.01
20171128,0.007707,0.011613,0.007632,0.008149,1354,91367,0.01
20171127,0.007827,0.008621,0.007061,0.007687,1240,92791,0.01
20171126,0.007959,0.008073,0.006650,0.007825,1292,94359,0.01
20171125,0.008867,0.009303,0.007240,0.007962,1146,105120,0.01
20171124,0.008680,0.009006,0.008514,0.008885,3838,102906,0.01
20171123,0.008883,0.008927,0.008692,0.008692,3755,105315,0.01
