date,open,high,low,close,volume,marketcap,average
20180110,1.00,2.73,1.00,2.45,123472,8004930,1.86
20180109,1.04,1.06,0.844348,0.999308,6687,8305890,0.95
20180108,1.10,1.10,0.378682,1.04,10379,8765170,0.74
20180107,0.453347,1.11,0.442801,1.10,24488,3626770,0.78
20180106,0.391119,0.454664,0.379313,0.454664,3689,3128960,0.42
20180105,0.348437,0.394119,0.343174,0.390808,1495,2787500,0.37
20180104,0.529310,0.529310,0.260145,0.348368,992,4234480,0.39
20180103,0.343028,0.605747,0.343028,0.526585,1075,2744220,0.47
20180102,0.462117,0.511387,0.327126,0.343724,230,3696930,0.42
20180101,0.322989,0.468188,0.311209,0.462182,4933,2583910,0.39
20171231,0.268054,0.326576,0.256863,0.321745,8669,2144430,0.29
20171230,0.189077,0.275904,0.141455,0.270769,2175,1512620,0.21
20171229,0.170363,0.191519,0.156041,0.189554,1291,1362900,0.17
20171228,0.249215,0.327917,0.161751,0.168617,3788,1993720,0.24
20171227,0.148732,0.302243,0.134679,0.242489,971,1189850,0.22
20171226,0.200987,0.211862,0.143137,0.148575,305,1607900,0.18
20171225,0.104965,0.202354,0.099869,0.201193,48,839723,0.15
20171224,0.194411,0.194411,0.104024,0.104537,13,1555290,0.15
20171223,0.165180,0.208406,0.152220,0.192288,38,1321440,0.18
20171222,0.147456,0.177028,0.110430,0.163635,589,1179650,0.14
20171221,0.263121,0.276575,0.134567,0.147103,232,2104970,0.21
20171220,0.158569,0.266904,0.144364,0.262811,789,1268550,0.21
20171219,0.180247,0.226726,0.153463,0.158725,2683,1441970,0.19
20171218,0.182413,0.191752,0.168808,0.179958,184,1459300,0.18
20171217,0.203517,0.221836,0.180225,0.181896,1486,1628130,0.20
20171216,0.272451,0.275974,0.193762,0.203494,377,2179610,0.23
20171215,0.208968,0.276076,0.166464,0.272066,426,1671740,0.22
20171214,0.221166,0.322406,0.202251,0.209153,198,1769330,0.26
20171213,0.241008,0.301843,0.203430,0.219357,32,1928060,0.25
20171212,0.285242,0.285242,0.225311,0.241211,1298,2281930,0.26
20171211,0.206025,0.399262,0.204810,0.284372,1542,1648200,0.30
20171210,0.016842,0.448474,0.014827,0.207214,1635,134736,0.23
20171209,0.286729,0.318537,0.015169,0.016774,28,2293830,0.17
20171208,0.430619,0.430619,0.268128,0.287386,10,3444950,0.35
20171207,0.138046,0.171729,0.136280,0.170674,131,1104360,0.15
20171206,0.293452,0.329105,0.131837,0.138283,547,2347620,0.23
20171205,0.127557,0.295202,0.126630,0.293935,784,1020450,0.21
