date,open,high,low,close,volume,marketcap,average
20180110,7.25,8.38,7.11,8.35,227747,195651000,7.75
20180109,7.47,8.47,7.27,8.16,377468,201687000,7.87
20180108,6.43,7.67,5.97,7.49,476121,173735000,6.82
20180107,6.24,6.80,5.74,6.44,360309,168548000,6.27
20180106,6.76,6.81,6.02,6.02,383821,182407000,6.41
20180105,6.43,7.05,5.70,6.67,356109,173638000,6.38
20180104,7.60,7.63,5.21,6.43,379541,205274000,6.42
20180103,8.09,8.93,6.47,7.57,434031,218481000,7.70
20180102,7.87,8.61,6.62,8.51,671627,212504000,7.62
20180101,8.27,9.61,6.62,8.11,1282750,223320000,8.12
20171231,4.61,8.32,4.42,8.24,792272,124423000,6.37
20171230,4.36,4.99,3.84,4.66,390918,117822000,4.42
20171229,2.84,5.11,2.62,4.37,531617,76766000,3.87
20171228,2.19,2.80,1.90,2.80,343779,59251700,2.35
20171227,1.74,2.96,1.64,2.20,238168,46896600,2.30
20171226,1.37,1.75,1.30,1.74,104267,37063100,1.52
20171225,1.31,1.44,1.17,1.37,137052,35422800,1.30
20171224,1.19,1.31,1.02,1.30,100886,32081600,1.17
20171223,1.05,1.36,0.968053,1.18,45246,28299300,1.16
20171222,1.19,1.21,0.807438,1.04,52956,32242600,1.01
20171221,1.31,1.35,1.09,1.19,84420,35258400,1.22
20171220,1.29,1.35,1.13,1.30,69714,34893400,1.24
20171219,1.51,1.59,1.24,1.29,84893,40824400,1.42
20171218,1.59,1.67,1.32,1.51,228570,43042300,1.50
20171217,1.49,1.73,1.43,1.59,272985,40141100,1.58
20171216,1.30,1.50,0.856530,1.49,106694,35193800,1.18
20171215,1.12,1.50,1.05,1.30,262519,30349400,1.27
20171214,0.861788,1.16,0.856037,1.12,114871,23268300,1.01
20171213,0.863550,0.886048,0.793340,0.864326,108321,23315800,0.84
20171212,0.673746,0.862932,0.594484,0.862932,83485,18191200,0.73
20171211,0.613135,0.694846,0.559146,0.671586,88059,16554600,0.63
20171210,0.510117,0.630468,0.426941,0.616998,32770,13773200,0.53
20171209,0.474591,0.525592,0.418305,0.508037,25785,12814000,0.47
20171208,0.519465,0.591583,0.387056,0.475056,29875,14025600,0.49
20171207,0.588219,0.612505,0.375823,0.517953,28418,15881900,0.49
20171206,0.517460,0.589204,0.470727,0.589204,26150,13971400,0.53
20171205,0.497402,0.540967,0.438755,0.518517,13483,13429900,0.49
20171204,0.454216,0.504721,0.411392,0.496604,23027,12263800,0.46
20171203,0.422296,0.512303,0.392126,0.452701,27620,11402000,0.45
20171202,0.543651,0.579891,0.397724,0.421985,31858,14678600,0.49
20171201,0.361191,0.663018,0.278592,0.543332,225976,9752170,0.47
20171130,0.231184,0.366472,0.208415,0.362783,17844,6241980,0.29
20171129,0.295611,0.306380,0.220028,0.224127,13165,7977900,0.26
