date,open,high,low,close,volume,marketcap,average
20180110,0.084200,0.238736,0.061079,0.107933,1393,1790770,0.15
20180109,0.106205,0.109115,0.043967,0.084090,1283,2258780,0.08
20180108,0.090627,0.106365,0.045978,0.106365,955,1927460,0.08
20180107,0.106476,0.144840,0.070559,0.090757,1033,2264540,0.11
20180106,0.113759,0.121644,0.103726,0.106554,327,2419450,0.11
20180105,0.080405,0.121490,0.079842,0.113669,272,1710070,0.10
20180104,0.082554,0.098868,0.073457,0.080389,2560,1755760,0.09
20180103,0.089706,0.105820,0.077481,0.082104,1039,1907870,0.09
20180102,0.094517,0.220664,0.078220,0.089914,9934,2010190,0.15
20180101,0.095073,0.096137,0.087020,0.094524,7750,2022020,0.09
20171231,0.092105,0.099947,0.089370,0.094706,436,1958900,0.09
20171230,0.079435,0.099620,0.072895,0.093111,2062,1689440,0.09
20171229,0.046296,0.105501,0.045650,0.079636,7695,984630,0.08
20171228,0.113480,0.113829,0.044397,0.045822,20,2413510,0.08
20171227,0.115452,0.179631,0.108948,0.113687,5444,2455440,0.14
20171226,0.103637,0.118553,0.103212,0.115368,9210,2204150,0.11
20171225,0.069253,0.104341,0.065224,0.103743,158,1472880,0.08
20171224,0.074098,0.099693,0.061774,0.068541,9339,1575920,0.08
20171223,0.102429,0.111238,0.072955,0.073289,902,2178480,0.09
20171222,0.140456,0.145409,0.085766,0.101471,8978,2987230,0.12
20171221,0.123435,0.140170,0.079144,0.140170,1940,2625220,0.11
20171220,0.131117,0.131117,0.104556,0.123231,24586,2788600,0.12
20171219,0.171548,0.172162,0.112291,0.131246,1055,3648490,0.14
20171218,0.100331,0.171405,0.083892,0.171405,16184,2133840,0.13
20171217,0.137218,0.146629,0.076028,0.098596,14292,2918360,0.11
20171216,0.146093,0.146631,0.035215,0.137200,10416,3107130,0.09
20171215,0.084768,0.149405,0.084756,0.145890,27360,1802860,0.12
20171214,0.127190,0.138565,0.069816,0.084648,11013,2705080,0.10
20171213,0.045310,0.129842,0.034465,0.127599,3738,963655,0.08
20171212,0.046862,0.065300,0.045247,0.045272,3391,996664,0.06
20171211,0.033120,0.048253,0.032967,0.046712,2026,704390,0.04
20171210,0.043135,0.056266,0.024686,0.033339,1330,917391,0.04
20171209,0.042834,0.055697,0.027462,0.041897,199,911005,0.04
20171208,0.038846,0.049887,0.024472,0.049880,2628,826179,0.04
20171207,0.030684,0.038755,0.026256,0.038755,1030,652593,0.03
20171206,0.008887,0.058602,0.008887,0.030737,8872,189013,0.03
20171205,0.011826,0.016581,0.008875,0.008907,75,251508,0.01
20171204,0.008405,0.012153,0.005537,0.011802,47,178759,0.01
20171203,0.016395,0.020137,0.008190,0.008377,388,348690,0.01
20171202,0.006422,0.017810,0.006410,0.016379,86,136589,0.01
20171201,0.009978,0.014763,0.006325,0.006428,511,212210,0.01
20171130,0.014639,0.015881,0.009478,0.010027,135,311338,0.01
20171129,0.014198,0.017916,0.011876,0.014417,999,301961,0.01
20171128,0.015609,0.024783,0.014198,0.014212,49,331965,0.02
20171127,0.016213,0.016890,0.015064,0.015568,17,344815,0.02
20171126,0.013637,0.016557,0.013622,0.016210,2,290038,0.02
20171125,0.012657,0.013642,0.012585,0.013642,135,269181,0.01
20171124,0.012903,0.013362,0.012587,0.012682,267,274423,0.01
20171123,0.013697,0.021837,0.012654,0.012921,541,291312,0.02
20171122,0.021204,0.021613,0.013450,0.013702,245,450976,0.02
20171121,0.015659,0.021236,0.012006,0.021153,170,333031,0.02
20171120,0.013406,0.017295,0.013378,0.015656,20,285118,0.02
20171119,0.020090,0.020191,0.010750,0.013412,320,427281,0.02
20171118,0.015726,0.020442,0.010156,0.020127,165,334455,0.02
20171117,0.019962,0.020473,0.014210,0.015786,51,424554,0.02
20171116,0.009654,0.019907,0.004932,0.019661,2713,205332,0.01
20171115,0.017498,0.024640,0.017498,0.024396,128,372143,0.02
20171114,0.016736,0.020811,0.015693,0.017486,25,355944,0.02
20171113,0.024165,0.024351,0.016541,0.016701,77,513934,0.02
20171112,0.010306,0.010849,0.006836,0.006883,75,219179,0.01
20171111,0.014136,0.014642,0.008721,0.010313,245,300645,0.01
20171110,0.017105,0.017599,0.012965,0.014186,194,363800,0.02
