date,open,high,low,close,volume,marketcap,average
20180110,0.016719,0.021315,0.014438,0.016128,10240,,0.02
20180109,0.017898,0.019102,0.016391,0.016699,6381,,0.02
20180108,0.017388,0.019405,0.014181,0.017984,18741,,0.02
20180107,0.013686,0.017388,0.013106,0.017369,7722,,0.02
20180106,0.013786,0.016771,0.012008,0.013696,7511,,0.01
20180105,0.013792,0.016545,0.012420,0.013775,5574,,0.01
20180104,0.012384,0.014849,0.012368,0.013784,10034,,0.01
20180103,0.015462,0.017512,0.010859,0.012600,7719,,0.01
20180102,0.012874,0.018945,0.012874,0.015509,8210,,0.02
20180101,0.019276,0.023273,0.012871,0.012871,7517,,0.02
20171231,0.011899,0.019779,0.011168,0.019779,7258,,0.02
20171230,0.013354,0.013505,0.010412,0.012025,6754,,0.01
20171229,0.011352,0.013492,0.009719,0.013455,4691,,0.01
20171228,0.012906,0.013837,0.008505,0.011158,7628,,0.01
20171227,0.015014,0.016068,0.010554,0.012933,11470,,0.01
20171226,0.012563,0.016292,0.010432,0.015002,10628,,0.01
20171225,0.014935,0.015320,0.011529,0.012575,6926,,0.01
20171224,0.014833,0.017267,0.012017,0.014790,8150,,0.01
20171223,0.017439,0.018413,0.014526,0.015091,9620,,0.02
20171222,0.020288,0.021284,0.013240,0.017206,9586,,0.02
20171221,0.020761,0.022160,0.017354,0.021089,13763,,0.02
20171220,0.023773,0.025274,0.019096,0.020717,17312,,0.02
20171219,0.022074,0.028844,0.020011,0.023788,40758,,0.02
20171218,0.024249,0.025996,0.019210,0.022039,21908,,0.02
20171217,0.031554,0.032516,0.021847,0.024195,21718,,0.03
20171216,0.029270,0.034774,0.026333,0.031335,43621,,0.03
20171215,0.023637,0.029894,0.022973,0.028663,28077,,0.03
20171214,0.019232,0.027440,0.018910,0.023606,20238,,0.02
20171213,0.027078,0.032939,0.022963,0.027244,34216,,0.03
20171212,0.031093,0.033913,0.021425,0.026525,39493,,0.03
20171211,0.037320,0.042099,0.028154,0.031148,72582,,0.04
20171210,0.037697,0.040168,0.031698,0.037427,48514,,0.04
20171209,0.036369,0.044517,0.032197,0.036503,94750,,0.04
20171208,0.021909,0.046622,0.018274,0.036289,120015,,0.03
20171207,0.040425,0.041608,0.018802,0.022102,62668,,0.03
20171206,0.041299,0.048219,0.033203,0.041013,104232,,0.04
20171205,0.063196,0.085734,0.037349,0.041500,490882,,0.06
20171204,0.013171,0.094353,0.010919,0.062003,1478910,,0.05
20171203,0.009612,0.012816,0.009011,0.011580,13769,,0.01
20171202,0.010034,0.012858,0.009248,0.009604,16979,,0.01
20171201,0.006422,0.011049,0.005514,0.010042,22728,,0.01
20171130,0.006039,0.008237,0.005154,0.006453,8947,,0.01
20171129,0.006491,0.008345,0.004942,0.005968,6150,,0.01
20171128,0.008014,0.009260,0.006351,0.006506,13951,,0.01
20171127,0.007379,0.013192,0.007344,0.009023,24243,,0.01
20171126,0.012066,0.013997,0.007109,0.008014,35066,,0.01
20171125,0.019066,0.019527,0.010332,0.012069,79719,,0.01
20171124,0.009810,0.032667,0.009810,0.019100,266928,,0.02
20171123,0.001928,0.014019,0.001822,0.009830,86783,,0.01
20171122,0.001164,0.002035,0.001161,0.001926,1597,,0.00
20171121,0.001488,0.001999,0.001095,0.001162,905,,0.00
20171120,0.002015,0.002042,0.000773,0.001488,1177,,0.00
20171119,0.001926,0.002231,0.001500,0.002016,1187,,0.00
20171118,0.001569,0.002093,0.001292,0.001929,1034,,0.00
20171117,0.001246,0.001872,0.001164,0.001575,679,,0.00
20171116,0.001779,0.002035,0.001160,0.001250,1153,,0.00
20171115,0.001839,0.002231,0.001465,0.001828,1324,,0.00
20171114,0.001193,0.001861,0.001193,0.001837,1439,,0.00
20171113,0.000877,0.001445,0.000877,0.001191,2141,,0.00
20171112,0.001268,0.001278,0.000848,0.000876,790,,0.00
20171111,0.000952,0.001458,0.000711,0.001269,1064,,0.00
20171110,0.000789,0.001259,0.000684,0.000955,2003,,0.00
20171109,0.001309,0.001471,0.000784,0.000788,1834,,0.00
20171108,0.001472,0.001487,0.000977,0.001315,969,,0.00
20171107,0.001474,0.001647,0.001143,0.001473,1417,,0.00
20171106,0.000922,0.002352,0.000918,0.001474,2118,,0.00
20171105,0.001156,0.005010,0.000889,0.000921,2512,,0.00
20171104,0.001638,0.002365,0.001147,0.001155,2083,,0.00
20171103,0.002989,0.003035,0.001007,0.001638,2504,,0.00
20171102,0.005212,0.006616,0.002841,0.002974,789,,0.00
20171101,0.007363,0.008780,0.005198,0.005198,5225,,0.01
20171031,0.006243,0.009115,0.005101,0.007376,9296,,0.01
20171030,0.009205,0.012183,0.006134,0.006240,31685,,0.01
20171029,0.000864,0.010149,0.000864,0.009308,31039,,0.01
