date,open,high,low,close,volume,marketcap,average
20180110,0.006864,0.006879,0.005699,0.006749,23,448161,0.01
20180109,0.007229,0.007298,0.005587,0.006855,149,471969,0.01
20180108,0.007328,0.007356,0.004558,0.007248,215,478465,0.01
20180107,0.006193,0.007512,0.006038,0.007338,54,404339,0.01
20180106,0.006624,0.007874,0.005693,0.007747,145,432469,0.01
20180105,0.004251,0.006675,0.004181,0.006618,67,277533,0.01
20180104,0.006389,0.006491,0.004015,0.004250,229,417111,0.01
20180103,0.006083,0.007372,0.006079,0.006354,748,397140,0.01
20180102,0.005927,0.006232,0.005927,0.006104,217,386967,0.01
20180101,0.005033,0.005037,0.004648,0.004803,5,328626,0.00
20171231,0.005722,0.006207,0.004801,0.005014,27,373561,0.01
20171230,0.005218,0.006563,0.004813,0.005784,184,340718,0.01
20171229,0.004774,0.006174,0.004280,0.005232,118,311716,0.01
20171228,0.003258,0.005097,0.002903,0.004725,160,212739,0.00
20171227,0.005385,0.005386,0.002685,0.003265,185,351562,0.00
20171226,0.004318,0.005398,0.004301,0.005381,275,281937,0.00
20171225,0.006198,0.006258,0.004163,0.004323,292,404687,0.01
20171224,0.006427,0.006958,0.005781,0.006135,209,419611,0.01
20171223,0.006481,0.007672,0.006291,0.006357,65,423158,0.01
20171222,0.007542,0.007617,0.005494,0.006420,26,492439,0.01
20171221,0.008242,0.009084,0.007328,0.007516,192,538101,0.01
20171220,0.008105,0.009809,0.007379,0.009042,68,529181,0.01
20171219,0.034487,0.034611,0.007931,0.008113,385,2251690,0.02
20171218,0.010523,0.034459,0.010051,0.034459,145,687024,0.02
20171217,0.008765,0.011981,0.008662,0.010491,348,572240,0.01
20171216,0.007588,0.008833,0.006732,0.008763,184,495435,0.01
20171215,0.009123,0.009941,0.006392,0.007578,579,595660,0.01
20171214,0.008848,0.011737,0.008753,0.009110,72,577721,0.01
20171213,0.012093,0.012254,0.008293,0.008877,204,789573,0.01
20171212,0.014891,0.015095,0.010488,0.012083,142,972240,0.01
20171211,0.009911,0.014965,0.009286,0.014844,182,647065,0.01
20171210,0.010526,0.011016,0.007775,0.009983,664,687266,0.01
20171209,0.013201,0.013411,0.007991,0.010484,71,861921,0.01
20171208,0.012097,0.017583,0.008944,0.013210,169,789822,0.01
20171207,0.015934,0.017646,0.008408,0.012165,324,1040320,0.01
20171206,0.009946,0.015961,0.009946,0.015961,129,649368,0.01
20171205,0.006994,0.013694,0.006943,0.009968,2021,456627,0.01
20171204,0.008319,0.014191,0.006919,0.006980,1592,543147,0.01
20171203,0.008089,0.008759,0.007835,0.008291,4,528165,0.01
20171202,0.008054,0.008284,0.007664,0.008082,34,525878,0.01
20171201,0.007095,0.008108,0.006717,0.008061,45,463243,0.01
20171130,0.006978,0.007591,0.006389,0.007130,19,455622,0.01
20171129,0.007049,0.008122,0.006456,0.006873,11,460224,0.01
20171128,0.005003,0.007086,0.004945,0.007056,68,326637,0.01
20171127,0.006988,0.007278,0.004806,0.005005,109,456268,0.01
20171126,0.007573,0.007813,0.006729,0.006987,3,494417,0.01
20171125,0.006617,0.016998,0.006580,0.007574,6,431997,0.01
20171124,0.007039,0.007270,0.005442,0.006630,68,459602,0.01
20171123,0.007919,0.008039,0.007071,0.007071,58,517051,0.01
20171122,0.007555,0.009269,0.005204,0.007962,124,493246,0.01
20171121,0.008424,0.008581,0.007429,0.007536,125,550027,0.01
20171120,0.011919,0.013607,0.008423,0.008423,371,778169,0.01
20171119,0.003440,0.021422,0.002225,0.011906,2220,224582,0.01
20171118,0.008533,0.010540,0.004959,0.004961,221,557121,0.01
20171117,0.007603,0.008672,0.007603,0.008547,0,496399,0.01
20171116,0.010297,0.010297,0.006988,0.007636,15,672317,0.01
20171115,0.009587,0.010327,0.009580,0.010244,35,625938,0.01
20171114,0.009209,0.009477,0.009209,0.009291,6,601230,0.01
20171113,0.005864,0.009252,0.005819,0.009189,5,382878,0.01
20171112,0.006615,0.006615,0.005647,0.005856,149,431905,0.01
20171111,0.003008,0.010525,0.003008,0.006620,635,196413,0.01
20171110,0.003992,0.004107,0.002877,0.003022,2,260651,0.00
20171109,0.006035,0.006150,0.003967,0.003980,4,394025,0.01
20171108,0.008255,0.008401,0.005676,0.006169,3,538955,0.01
20171107,0.005909,0.008368,0.005909,0.008281,1,385812,0.01
20171106,0.007319,0.007342,0.005501,0.005925,12,477890,0.01
20171105,0.006639,0.007535,0.006549,0.007303,20,433434,0.01
20171104,0.006307,0.009096,0.003830,0.006651,601,411781,0.01
20171103,0.004855,0.006451,0.004763,0.006323,6,317013,0.01
20171102,0.004574,0.006644,0.004410,0.004858,65,298647,0.01
20171101,0.005658,0.006236,0.003768,0.004544,11,369405,0.01
20171031,0.000981,0.008002,0.000858,0.005763,2,64031,0.00
20171030,0.003879,0.006251,0.000976,0.000985,408,253253,0.00
20171029,0.005970,0.005973,0.003559,0.003902,4,389793,0.00
20171028,0.005629,0.006319,0.004104,0.005975,10,367494,0.01
20171027,0.002840,0.008438,0.002837,0.005624,72,185394,0.01
20171026,0.006761,0.007023,0.002828,0.002841,10,441446,0.00
20171025,0.005905,0.007123,0.005473,0.006762,21,385516,0.01
20171024,0.006325,0.007193,0.005814,0.005830,51,412981,0.01
20171023,0.006551,0.007267,0.005811,0.006380,19,427708,0.01
20171022,0.004089,0.006617,0.003940,0.006591,2,266994,0.01
20171021,0.003780,0.004211,0.003743,0.004088,1,246783,0.00
20171020,0.003378,0.003845,0.003187,0.003785,5,220524,0.00
20171019,0.003309,0.004838,0.002944,0.003379,16,216045,0.00
20171018,0.002974,0.003725,0.002344,0.003319,39,194178,0.00
20171017,0.007548,0.008430,0.001580,0.002974,1107,492801,0.01
20171016,0.004207,0.025357,0.004207,0.007548,26,274660,0.01
20171015,0.004265,0.004265,0.003961,0.004205,11,278465,0.00
20171014,0.004534,0.004689,0.004479,0.004646,2,296014,0.00
20171013,0.004147,0.004628,0.004112,0.004533,16,270789,0.00
20171012,0.011981,0.012067,0.004555,0.004911,3,782250,0.01
20171011,0.006623,0.011997,0.006335,0.011971,129,432425,0.01
20171010,0.003451,0.007661,0.003395,0.006624,92,225287,0.01
20171009,0.004862,0.004900,0.003347,0.003450,57,317456,0.00
20171008,0.005106,0.007208,0.004630,0.004860,235,333383,0.01
20171007,0.006776,0.006923,0.003510,0.005110,27,442402,0.01
20171006,0.004090,0.006967,0.004081,0.006776,1,267008,0.01
20171005,0.005575,0.005601,0.003200,0.004090,127,363983,0.00
20171004,0.005620,0.006966,0.005554,0.005574,15,366928,0.01
20171003,0.006774,0.006796,0.004574,0.005610,107,442280,0.01
20171002,0.005273,0.007238,0.005269,0.006774,17,344273,0.01
20171001,0.004866,0.005275,0.004831,0.005275,18,317671,0.01
20170930,0.004714,0.004915,0.004710,0.004900,31,307804,0.00
20170929,0.003942,0.004755,0.003805,0.004714,30,257376,0.00
20170928,0.003828,0.003964,0.002751,0.003945,100,249926,0.00
20170927,0.004457,0.004679,0.004368,0.004637,8,290997,0.00
20170926,0.006232,0.006371,0.004369,0.004461,18,406874,0.01
20170925,0.003784,0.009324,0.003690,0.006010,7,247034,0.01
20170924,0.003801,0.003802,0.003703,0.003784,0,248201,0.00
20170923,0.002913,0.003968,0.002895,0.003850,0,190182,0.00
20170922,0.004010,0.004174,0.002845,0.002923,10,261792,0.00
20170921,0.004345,0.004511,0.003974,0.004014,1,283685,0.00
20170920,0.004577,0.004606,0.002308,0.004366,293,298863,0.00
20170919,0.006115,0.006156,0.004570,0.004583,0,399225,0.01
