date,open,high,low,close,volume,marketcap,average
20180110,0.036073,0.038396,0.033812,0.038396,45,,0.04
20180109,0.037499,0.056061,0.035520,0.036026,543,,0.05
20180108,0.040387,0.040538,0.028407,0.036393,565,,0.03
20180107,0.033201,0.040919,0.028920,0.040443,340,,0.03
20180106,0.033968,0.034193,0.029780,0.033225,410,,0.03
20180105,0.030666,0.035284,0.025686,0.033941,1560,,0.03
20180104,0.019926,0.048272,0.018965,0.030660,14189,,0.03
20180103,0.023737,0.044838,0.019805,0.019818,2498,,0.03
20180102,0.025248,0.037646,0.015038,0.023822,1030,,0.03
20180101,0.020553,0.056107,0.020206,0.025250,31337,,0.04
20171231,0.014940,0.020663,0.014925,0.020473,16897,,0.02
20171229,0.016348,0.017092,0.015981,0.016038,10,,0.02
20171228,0.017533,0.017607,0.015397,0.016181,13,,0.02
20171227,0.012511,0.017590,0.012075,0.017570,4,,0.01
20171226,0.014208,0.019753,0.012350,0.012502,843,,0.02
20171225,0.015637,0.015896,0.013532,0.014223,1329,,0.01
20171224,0.015337,0.015476,0.012578,0.015476,48,,0.01
20171223,0.015444,0.018163,0.014548,0.015169,321,,0.02
20171222,0.016499,0.016661,0.012018,0.015300,84,,0.01
20171221,0.018626,0.020342,0.015904,0.016442,727,,0.02
20171220,0.025195,0.031953,0.017268,0.018577,569,,0.02
20171219,0.027744,0.027843,0.018503,0.025220,253,,0.02
20171218,0.033098,0.033098,0.018330,0.027720,1050,,0.03
20171217,0.014997,0.037087,0.014151,0.032998,3954,,0.03
20171216,0.020647,0.020746,0.013877,0.014995,1020,,0.02
20171215,0.013934,0.021474,0.013931,0.020618,991,,0.02
20171214,0.014574,0.021599,0.012992,0.013913,258,,0.02
20171213,0.020558,0.020831,0.014518,0.014621,508,,0.02
20171212,0.022224,0.040304,0.011046,0.020541,2647,,0.03
20171211,0.017382,0.030591,0.016767,0.022153,654,,0.02
20171210,0.062137,0.062137,0.015410,0.017508,2289,,0.04
20171209,0.034805,0.035320,0.033798,0.033923,68,,0.03
20171208,0.018397,0.036224,0.017538,0.034840,70,,0.03
20171207,0.022389,0.038221,0.016662,0.018353,743,,0.03
20171206,0.020359,0.022477,0.020359,0.022428,80,,0.02
20171205,0.019582,0.029663,0.019309,0.020405,283,,0.02
20171204,0.025182,0.026315,0.019141,0.019544,155,,0.02
20171203,0.024706,0.026751,0.019372,0.025098,44,,0.02
20171202,0.025252,0.025705,0.017914,0.024682,567,,0.02
20171201,0.017572,0.025273,0.017418,0.025273,95,,0.02
20171130,0.010222,0.011119,0.009359,0.010114,169,,0.01
20171129,0.018764,0.025399,0.009856,0.010067,193,,0.02
20171128,0.016877,0.023331,0.015611,0.018783,827,,0.02
