date,open,high,low,close,volume,marketcap,average
20180110,0.009502,0.010714,0.006686,0.009216,47387,1497730,0.01
20180109,0.009408,0.011296,0.005820,0.009356,57532,1483000,0.01
20180108,0.007158,0.010068,0.005984,0.009434,75302,1128230,0.01
20180107,0.006193,0.007415,0.005037,0.007168,35502,976164,0.01
20180106,0.005951,0.006848,0.004979,0.005559,13952,937994,0.01
20180105,0.005744,0.007832,0.005023,0.005945,8068,905461,0.01
20180104,0.005330,0.006246,0.004851,0.005739,14942,840159,0.01
20180103,0.004827,0.005513,0.004326,0.005305,11403,760831,0.00
20180102,0.003969,0.005253,0.003178,0.004340,18913,625570,0.00
20180101,0.002881,0.003982,0.002673,0.003970,6795,454088,0.00
20171231,0.002592,0.003458,0.002480,0.002875,4135,408543,0.00
20171230,0.003222,0.003449,0.001906,0.002618,4697,507883,0.00
20171229,0.003863,0.004144,0.002873,0.003229,4906,608941,0.00
20171228,0.003901,0.004689,0.002842,0.003699,16263,614938,0.00
20171227,0.005516,0.006607,0.003216,0.003776,46805,869502,0.00
20171226,0.002762,0.007435,0.002376,0.005958,151477,435421,0.00
20171225,0.001387,0.003150,0.001091,0.002765,44866,218561,0.00
20171224,0.001091,0.001763,0.001045,0.001373,3575,171982,0.00
20171223,0.001104,0.001373,0.000891,0.001079,948,174045,0.00
20171222,0.001096,0.001263,0.000877,0.001094,1674,172802,0.00
20171221,0.001160,0.001350,0.001042,0.001093,2049,182843,0.00
20171220,0.001063,0.001423,0.000967,0.001157,322,167612,0.00
20171219,0.001344,0.001607,0.001041,0.001064,1209,211918,0.00
20171218,0.001520,0.001523,0.001132,0.001343,508,239639,0.00
20171217,0.001750,0.001753,0.001333,0.001516,564,275906,0.00
20171216,0.001383,0.001939,0.001130,0.001750,6506,217995,0.00
20171215,0.001327,0.001442,0.001317,0.001381,679,209171,0.00
20171214,0.001298,0.001344,0.001280,0.001325,10,204673,0.00
20171213,0.001322,0.001493,0.001255,0.001303,1072,208410,0.00
20171212,0.001369,0.001450,0.001070,0.001321,499,215237,0.00
20171211,0.000915,0.001401,0.000816,0.001365,965,143921,0.00
20171210,0.001078,0.001102,0.000821,0.000922,511,169491,0.00
20171209,0.001044,0.001093,0.000886,0.001076,36,164071,0.00
20171208,0.001128,0.001174,0.000958,0.001045,200,177360,0.00
20171207,0.001030,0.001318,0.001010,0.001126,439,161971,0.00
20171206,0.001051,0.001241,0.000871,0.001032,333,165204,0.00
20171205,0.000859,0.001063,0.000853,0.001053,1782,135035,0.00
20171204,0.000675,0.000857,0.000659,0.000857,173,106168,0.00
20171203,0.000872,0.000936,0.000636,0.000673,461,137104,0.00
20171202,0.000903,0.000923,0.000645,0.000871,446,141952,0.00
20171201,0.000720,0.000904,0.000571,0.000904,5,113211,0.00
20171130,0.000744,0.000814,0.000551,0.000724,107,117052,0.00
20171129,0.000738,0.000870,0.000620,0.000733,105,116012,0.00
20171128,0.000681,0.000792,0.000639,0.000739,264,107097,0.00
20171127,0.000639,0.000774,0.000639,0.000679,269,100496,0.00
20171126,0.000695,0.000738,0.000605,0.000639,661,109345,0.00
20171125,0.000506,0.000742,0.000506,0.000696,383,79622,0.00
20171124,0.000542,0.000563,0.000505,0.000507,83,85206,0.00
20171123,0.000656,0.000659,0.000537,0.000543,76,103171,0.00
20171122,0.000622,0.000660,0.000547,0.000656,724,97859,0.00
20171121,0.000751,0.000751,0.000535,0.000621,281,118022,0.00
20171120,0.000644,0.000800,0.000564,0.000751,1655,101198,0.00
20171119,0.000701,0.000788,0.000619,0.000644,217,110224,0.00
20171118,0.000589,0.000703,0.000571,0.000698,121,92585,0.00
20171117,0.000527,0.000696,0.000519,0.000591,57,82867,0.00
20171116,0.000761,0.000765,0.000525,0.000528,515,119600,0.00
20171115,0.000660,0.000758,0.000612,0.000757,194,103695,0.00
20171114,0.000587,0.000662,0.000581,0.000659,426,92337,0.00
20171113,0.000562,0.000638,0.000456,0.000586,1145,88402,0.00
20171112,0.000523,0.000604,0.000451,0.000561,37,82216,0.00
20171111,0.000786,0.000814,0.000514,0.000523,76,123563,0.00
