date,open,high,low,close,volume,marketcap,average
20180110,0.288593,0.290104,0.241269,0.284141,1732520,22288300,0.27
20180109,0.305149,0.321002,0.276175,0.289239,1888320,23567100,0.30
20180108,0.342582,0.351786,0.258805,0.306700,2976340,26458000,0.31
20180107,0.293004,0.348614,0.280132,0.348159,2998780,22629000,0.31
20180106,0.282313,0.303731,0.251558,0.294506,2705220,21803400,0.28
20180105,0.305925,0.307429,0.246863,0.272001,5518910,23626900,0.28
20180104,0.297066,0.362739,0.283238,0.308120,8312390,22942800,0.32
20180103,0.241678,0.376117,0.207709,0.293389,15546600,18665100,0.29
20180102,0.260291,0.294230,0.226319,0.241418,8513360,20102600,0.26
20180101,0.300133,0.403218,0.250219,0.270082,15416100,23179700,0.33
20171231,0.241491,0.604913,0.226768,0.316288,72061700,18650600,0.42
20171230,0.129774,0.271113,0.109106,0.237804,14570500,10022600,0.19
20171229,0.105836,0.137863,0.105509,0.130530,2004090,8173860,0.12
20171228,0.104455,0.105433,0.088159,0.104771,452618,8067160,0.10
20171227,0.093350,0.107628,0.090198,0.103540,731384,7209560,0.10
20171226,0.098089,0.102233,0.083756,0.091942,499697,7575560,0.09
20171225,0.092915,0.102223,0.087872,0.098726,700329,7175980,0.10
20171224,0.088768,0.091964,0.074800,0.091964,907142,6855650,0.08
20171223,0.095439,0.105316,0.083081,0.087668,1369080,7370860,0.09
20171222,0.082673,0.102726,0.062044,0.095082,3234510,6384930,0.08
20171221,0.087431,0.099422,0.079494,0.082843,1019070,6752380,0.09
20171220,0.078923,0.088491,0.068554,0.087521,764547,6095340,0.08
20171219,0.086107,0.092219,0.076202,0.079001,832784,6650180,0.08
20171218,0.079600,0.086806,0.077817,0.085475,635759,6147580,0.08
20171217,0.076123,0.087752,0.073803,0.078612,926991,5879050,0.08
20171216,0.067416,0.080788,0.066360,0.076668,481013,5206580,0.07
20171215,0.068378,0.070517,0.063770,0.067321,505152,5280950,0.07
20171214,0.070194,0.076469,0.066421,0.069257,770890,5421170,0.07
20171213,0.067194,0.071634,0.064087,0.070404,397196,5189480,0.07
20171212,0.070474,0.074527,0.064553,0.066969,639892,5442820,0.07
20171211,0.061306,0.084958,0.060627,0.069919,774557,4734770,0.07
20171210,0.066193,0.068299,0.052568,0.061753,330523,5112150,0.06
20171209,0.077873,0.087916,0.058565,0.066178,1348370,6014190,0.07
20171208,0.062629,0.082507,0.050704,0.077938,1347380,4836910,0.07
20171207,0.053447,0.066559,0.050934,0.062482,374406,4127770,0.06
20171206,0.057325,0.060447,0.050433,0.054075,382440,4427260,0.06
20171205,0.061437,0.062105,0.052467,0.057337,484239,4744890,0.06
20171204,0.071334,0.086621,0.060998,0.061317,1821290,5509220,0.07
20171203,0.046328,0.090164,0.044841,0.071430,6502420,3577940,0.07
20171202,0.036239,0.058516,0.035009,0.045746,1514780,2798800,0.05
20171201,0.032105,0.037391,0.030427,0.036270,86308,2479480,0.03
20171130,0.029875,0.036990,0.028890,0.032265,132656,2307250,0.03
20171129,0.035079,0.037678,0.028177,0.029423,143552,2709230,0.03
20171128,0.033950,0.035814,0.033700,0.035114,78385,2621960,0.03
20171127,0.033026,0.034887,0.033026,0.033862,72278,2550650,0.03
20171126,0.031925,0.034765,0.031250,0.033570,55707,2465590,0.03
20171125,0.029617,0.033470,0.029034,0.031589,73585,2287350,0.03
20171124,0.029978,0.030574,0.028411,0.029353,43794,2315260,0.03
20171123,0.029789,0.031638,0.028319,0.030019,75177,2300650,0.03
20171122,0.029051,0.030220,0.027991,0.029799,75740,2243640,0.03
20171121,0.031960,0.032748,0.028222,0.028417,329197,2468340,0.03
20171120,0.025733,0.061465,0.025438,0.031954,1103520,1987430,0.04
20171119,0.025695,0.027366,0.024986,0.025983,37657,1984440,0.03
20171118,0.025502,0.026059,0.024439,0.025743,22121,1969580,0.03
20171117,0.026135,0.027519,0.024218,0.025601,54227,2018460,0.03
20171116,0.026602,0.028207,0.025695,0.026412,43598,2054500,0.03
20171115,0.023743,0.027571,0.023743,0.026679,65907,1833710,0.03
20171114,0.022958,0.024834,0.022494,0.024055,35599,1773110,0.02
20171113,0.020497,0.024045,0.020234,0.023359,24281,1583020,0.02
20171112,0.024167,0.024167,0.019495,0.020409,40255,1866440,0.02
20171111,0.025915,0.026801,0.023757,0.024185,30651,2001400,0.03
20171110,0.029224,0.030223,0.024983,0.025546,61450,2257020,0.03
20171109,0.027101,0.029208,0.025915,0.029208,95707,2093030,0.03
20171108,0.026691,0.028570,0.026186,0.027719,69054,2061400,0.03
20171107,0.026720,0.028708,0.025369,0.026775,90660,2063640,0.03
20171106,0.025253,0.034794,0.023991,0.026763,380932,1950290,0.03
20171105,0.025306,0.027228,0.024500,0.025413,31139,1954370,0.03
20171104,0.024589,0.028492,0.023537,0.025574,58944,1899040,0.03
20171103,0.023369,0.032165,0.022150,0.024581,150734,1804820,0.03
