date,open,high,low,close,volume,marketcap,average
20180110,0.243171,0.987537,0.193658,0.312483,63998,602308,0.59
20180109,0.202765,0.246399,0.196651,0.242855,8083,502226,0.22
20180108,0.263605,0.360558,0.187590,0.203297,40215,652922,0.27
20180107,0.254962,0.415839,0.234760,0.263974,50594,631513,0.33
20180106,0.325829,0.334506,0.234333,0.255149,3345,807043,0.28
20180105,0.261124,0.364475,0.258642,0.325858,6920,646777,0.31
20180104,0.300654,0.804934,0.221165,0.261061,44007,744686,0.51
20180103,0.289907,0.305021,0.222641,0.299038,5266,718069,0.26
20180102,0.258603,0.292259,0.223164,0.290915,2646,640531,0.26
20180101,0.310463,0.315983,0.232534,0.258656,4806,768985,0.27
20171231,0.167833,0.311896,0.165889,0.309752,15146,415703,0.24
20171230,0.153417,0.198480,0.115333,0.169634,680,379999,0.16
20171229,0.176893,0.216520,0.116458,0.153747,2589,438145,0.17
20171228,0.145097,0.181037,0.118862,0.175301,644,359389,0.15
20171227,0.150776,0.164861,0.118303,0.145399,1762,373457,0.14
20171226,0.107219,0.198433,0.107219,0.150666,2370,265571,0.15
20171225,0.111188,0.145487,0.106008,0.107188,148,275400,0.13
20171224,0.090898,0.121366,0.085204,0.110093,523,225145,0.10
20171223,0.115554,0.137586,0.090006,0.090086,672,286215,0.11
20171222,0.129669,0.130908,0.074349,0.114473,1000,321176,0.10
20171221,0.180487,0.195495,0.128343,0.129233,729,447047,0.16
20171220,0.162663,0.181069,0.131801,0.181058,735,402898,0.16
20171219,0.198536,0.199248,0.142422,0.162620,336,491753,0.17
20171218,0.173319,0.198368,0.150979,0.198368,3626,429291,0.17
20171217,0.246086,0.259503,0.172840,0.172855,579,609528,0.22
20171216,0.247447,0.248634,0.098655,0.244916,1238,612899,0.17
20171215,0.138803,0.248315,0.138785,0.247101,10000,343800,0.19
20171214,0.142839,0.160255,0.133635,0.138603,1170,353797,0.15
20171213,0.180421,0.191366,0.140689,0.143311,5478,446884,0.17
20171212,0.270778,0.271297,0.125808,0.180271,195993,670687,0.20
20171211,0.082384,0.389028,0.082068,0.243325,344755,204057,0.24
20171210,0.084441,0.084543,0.070631,0.083055,213,209151,0.08
20171209,0.072987,0.127641,0.068753,0.084101,6504,180781,0.10
20171208,0.084989,0.097522,0.067978,0.073060,74,210508,0.08
20171207,0.076393,0.088595,0.075738,0.084797,92,189217,0.08
20171206,0.059049,0.076548,0.057493,0.076519,212,146258,0.07
20171205,0.056278,0.071901,0.055687,0.059247,170,139395,0.06
20171204,0.056265,0.062305,0.052165,0.056168,194,139362,0.06
20171203,0.050902,0.067416,0.045552,0.056078,388,126078,0.06
20171202,0.069579,0.071596,0.046043,0.050853,356,172339,0.06
20171201,0.044925,0.083254,0.044025,0.069609,12,111275,0.06
20171130,0.036867,0.045563,0.036636,0.045141,180,91316,0.04
20171129,0.039712,0.044599,0.032070,0.036317,190,98362,0.04
20171128,0.052549,0.055275,0.038437,0.039751,70,130158,0.05
20171127,0.044302,0.055824,0.044302,0.052541,20,109732,0.05
20171126,0.045620,0.051254,0.042607,0.044292,211,112995,0.05
20171125,0.045091,0.045642,0.031239,0.045642,524,111685,0.04
20171124,0.041154,0.071177,0.040376,0.045182,1280,101934,0.06
20171123,0.056512,0.058217,0.040821,0.041212,1868,139975,0.05
20171122,0.054303,0.059601,0.050148,0.057307,32,134502,0.05
20171121,0.040907,0.062629,0.038578,0.054176,316,101321,0.05
20171120,0.057696,0.609558,0.040958,0.040958,15,142908,0.33
20171119,0.054986,0.058638,0.051358,0.057723,478,136195,0.05
20171118,0.064199,0.166473,0.052751,0.055050,16,159015,0.11
20171117,0.055785,0.065382,0.050608,0.064446,71,138173,0.06
20171116,0.052219,0.056908,0.048871,0.055877,232,129340,0.05
20171115,0.034430,0.056953,0.034430,0.051947,492,85279,0.05
20171114,0.042923,0.043653,0.024945,0.034406,587,106317,0.03
20171113,0.039216,0.047389,0.039216,0.042833,95,97133,0.04
20171112,0.046705,0.047533,0.031629,0.039158,240,115683,0.04
20171111,0.049120,0.050752,0.042359,0.046739,736,121664,0.05
20171110,0.073375,0.073628,0.048145,0.049295,371,181742,0.06
20171109,0.073446,0.081630,0.056873,0.072284,374,181917,0.07
20171108,0.124217,0.169945,0.055951,0.073521,2593,307672,0.11
20171107,0.077624,0.180193,0.068892,0.124740,13056,192266,0.12
20171106,0.064511,0.235258,0.057028,0.077748,22335,159787,0.15
20171105,0.075259,0.081032,0.063657,0.064368,219,186409,0.07
20171104,0.082044,0.082213,0.062732,0.075402,39,203215,0.07
20171103,0.039694,0.082532,0.038406,0.082258,320,98317,0.06
20171102,0.072727,0.080250,0.033457,0.039746,597,180137,0.06
20171101,0.050144,0.072780,0.045941,0.072646,572,124201,0.06
20171031,0.052004,0.053226,0.048763,0.050181,115,128809,0.05
20171030,0.056976,0.057022,0.051435,0.052182,216,141124,0.05
20171029,0.047544,0.083498,0.045978,0.057309,1525,117762,0.06
20171028,0.049645,0.054426,0.045298,0.047609,182,122964,0.05
20171027,0.049290,0.153801,0.049240,0.049509,699,122086,0.10
20171026,0.049609,0.050372,0.014195,0.049292,267,122876,0.03
20171025,0.042669,0.049703,0.041599,0.049615,112,105686,0.05
20171024,0.042592,0.046684,0.037623,0.042652,65,105495,0.04
