date,open,high,low,close,volume,marketcap,average
20180110,0.378693,0.401356,0.360433,0.401356,1877310,,0.38
20180109,0.377400,0.417361,0.338539,0.378344,1731870,,0.38
20180108,0.410381,0.420368,0.351449,0.382811,1706360,,0.39
20180107,0.418022,0.486945,0.380353,0.407694,2534570,,0.43
20180106,0.400978,0.448326,0.372795,0.408403,2310470,,0.41
20180105,0.336237,0.521110,0.299389,0.396218,5142840,,0.41
20180104,0.174537,0.368391,0.172398,0.323443,3633080,,0.27
20180103,0.118598,0.195278,0.113535,0.172634,1585860,,0.15
20180102,0.083524,0.136950,0.083104,0.117741,763057,,0.11
20180101,0.076936,0.088794,0.070450,0.083516,257856,,0.08
20171231,0.070771,0.083651,0.069262,0.076665,195223,,0.08
20171230,0.086433,0.096540,0.068155,0.072294,268673,,0.08
20171229,0.075529,0.088574,0.074065,0.086270,545202,,0.08
20171228,0.133867,0.163998,0.058750,0.074834,4327670,,0.11
20171227,0.040796,0.253617,0.039931,0.123811,3460540,,0.15
20171226,0.030623,0.041702,0.029748,0.040748,192664,,0.04
20171225,0.025449,0.033547,0.024562,0.031817,210351,,0.03
20171224,0.023365,0.026234,0.020618,0.026234,67523,,0.02
20171223,0.021055,0.025439,0.020742,0.023107,101570,,0.02
20171222,0.026767,0.029239,0.017409,0.020865,276740,,0.02
20171221,0.022028,0.029159,0.021340,0.025529,246318,,0.03
20171220,0.023500,0.025904,0.021319,0.023064,129652,,0.02
20171219,0.026899,0.028597,0.024659,0.026116,232638,,0.03
20171218,0.026674,0.028444,0.023844,0.028372,184255,,0.03
20171217,0.026635,0.029858,0.021014,0.026745,251386,,0.03
20171216,0.017680,0.033168,0.016097,0.023993,305660,,0.02
20171215,0.015339,0.019640,0.014775,0.017653,105891,,0.02
20171214,0.016297,0.017490,0.013568,0.015352,81410,,0.02
20171213,0.017909,0.019051,0.015077,0.016336,77960,,0.02
20171212,0.018517,0.019946,0.015887,0.019071,251648,,0.02
20171211,0.017044,0.020590,0.016765,0.018527,133586,,0.02
20171210,0.021667,0.022167,0.017553,0.017553,169788,,0.02
20171209,0.024275,0.027820,0.018263,0.022742,132350,,0.02
20171208,0.024253,0.027915,0.017708,0.024294,161766,,0.02
20171207,0.032026,0.036362,0.017077,0.024200,405281,,0.03
20171206,0.035224,0.042008,0.029617,0.033150,887638,,0.04
