date,open,high,low,close,volume,marketcap,average
20171218,0.478298,0.525796,0.456845,0.508835,540,18462900,0.49
20171217,0.533467,0.544530,0.474663,0.476853,311,20592400,0.51
20171216,0.476288,0.537613,0.297923,0.533398,64500,18385300,0.42
20171215,0.445695,0.487834,0.445609,0.475620,1029,17204400,0.47
20171214,0.409387,0.448425,0.227614,0.445026,1909,15802800,0.34
20171213,0.467628,0.473834,0.333464,0.410705,1973,18051000,0.40
20171212,0.277683,0.484469,0.271173,0.467237,530,10718900,0.38
20171211,0.441857,0.483264,0.219707,0.276794,7129,17056200,0.35
20171210,0.334333,0.453484,0.263173,0.445071,523,12905600,0.36
20171209,0.397976,0.403873,0.329473,0.332983,228,15362300,0.37
20171208,0.218808,0.398432,0.185075,0.398377,32806,8446250,0.29
20171207,0.184496,0.370638,0.184496,0.218295,1769,7121780,0.28
20171206,0.268425,0.295413,0.165831,0.184814,6448,10361500,0.23
20171205,0.283227,0.288157,0.173010,0.269021,3089,10932900,0.23
20171204,0.171892,0.282671,0.167289,0.282671,4082,6635250,0.22
20171203,0.251585,0.288876,0.161900,0.171325,13541,9711480,0.23
20171202,0.215107,0.254234,0.212604,0.251345,33,8303390,0.23
20171201,0.349450,0.353455,0.189176,0.215290,13438,13489200,0.27
20171130,0.254658,0.354448,0.208991,0.351190,29360,9830080,0.28
20171129,0.328003,0.361428,0.225117,0.250805,8398,12661300,0.29
20171128,0.309860,0.432904,0.276908,0.328330,14517,11961000,0.35
20171127,0.411452,0.492759,0.303522,0.309059,5872,15882500,0.40
20171126,0.313431,0.416611,0.280531,0.411373,21484,12098800,0.35
20171125,0.299185,0.345153,0.254725,0.313535,13560,11548900,0.30
20171124,0.292677,0.300422,0.246519,0.299791,835,11297700,0.27
20171123,0.294944,0.306115,0.250998,0.293077,7461,11385200,0.28
20171122,0.199622,0.301788,0.190453,0.295039,49370,7705640,0.25
20171121,0.216137,0.269070,0.192285,0.199138,10224,8343150,0.23
20171120,0.216198,0.243899,0.203391,0.216097,6443,8345490,0.22
20171119,0.241190,0.256711,0.200616,0.216299,1462,9310220,0.23
20171118,0.213035,0.290603,0.210532,0.241638,8500,8223400,0.25
20171117,0.275797,0.278857,0.193181,0.213855,3188,10646100,0.24
20171116,0.211283,0.309153,0.183350,0.276248,20629,8155790,0.25
20171115,0.176002,0.219687,0.153000,0.193894,5262,6793890,0.19
20171114,0.144998,0.192238,0.139366,0.175921,2935,5597110,0.17
20171113,0.172037,0.210914,0.172037,0.210281,10714,6640820,0.19
20171112,0.127349,0.182648,0.108993,0.171786,15958,4915820,0.15
20171111,0.145719,0.155260,0.118288,0.127443,3463,5624940,0.14
20171110,0.186360,0.242464,0.130009,0.146253,6956,7193700,0.19
20171109,0.208674,0.248016,0.184331,0.185808,658,8055080,0.22
20171108,0.126265,0.211099,0.125514,0.208889,4150,4873980,0.17
20171107,0.189094,0.207146,0.125088,0.126663,3321,7299250,0.17
20171106,0.245636,0.257003,0.188351,0.189397,348,9481850,0.22
20171105,0.192406,0.297540,0.190498,0.245092,2137,7427100,0.24
20171104,0.165456,0.299464,0.161744,0.192771,592,6386810,0.23
20171103,0.225267,0.300779,0.164313,0.171967,6036,8695560,0.23
20171102,0.225982,0.238513,0.153001,0.225562,1092,8723160,0.20
20171101,0.222603,0.263805,0.168542,0.225730,1144,8592750,0.22
20171031,0.190756,0.261301,0.153353,0.222766,6096,7363400,0.21
20171030,0.135814,0.244915,0.075515,0.191406,27094,5242590,0.16
20171029,0.234862,0.265425,0.125053,0.136608,14848,9065950,0.20
20171028,0.253901,0.258331,0.218999,0.235184,4274,9800880,0.24
20171027,0.291553,0.291608,0.252919,0.253210,444,11254300,0.27
20171026,0.236800,0.340995,0.235389,0.291485,3807,9140780,0.29
20171025,0.329403,0.334141,0.236818,0.236818,955,12715300,0.29
20171024,0.278630,0.370571,0.247395,0.329271,19737,10755500,0.31
20171023,0.264408,0.321407,0.229412,0.279244,3058,10206500,0.28
20171022,0.420907,0.424540,0.264738,0.264834,2309,16247500,0.34
20171021,0.328544,0.472958,0.303537,0.420779,37390,12682200,0.39
20171020,0.278539,0.406774,0.278341,0.329236,6987,10751900,0.34
20171019,0.294124,0.473157,0.187506,0.278461,15555,11353500,0.33
20171018,0.378993,0.468194,0.189226,0.293971,12121,14629600,0.33
20171017,0.455817,0.485009,0.281989,0.378966,32624,17595100,0.38
20171016,0.270194,0.517530,0.256263,0.455579,98254,10429800,0.39
20171015,0.244083,0.310584,0.227214,0.270215,17142,9421880,0.27
20171014,0.289832,0.295887,0.239539,0.243647,8095,11187900,0.27
20171013,0.185049,0.302475,0.160479,0.289752,82111,7143100,0.23
20171012,0.085987,0.220222,0.085778,0.211095,20983,3319210,0.15
20171011,0.075448,0.096157,0.071449,0.085914,449,2912360,0.08
20171010,0.075172,0.084088,0.074104,0.075460,137,2901720,0.08
20171009,0.092247,0.096507,0.075177,0.075177,14183,3560850,0.09
20171008,0.075719,0.117356,0.075719,0.092224,8139,2922850,0.10
20171007,0.069500,0.087057,0.069390,0.075744,1261,2682800,0.08
20171006,0.058546,0.078574,0.052152,0.069478,11325,2259930,0.07
20171005,0.046773,0.065842,0.046048,0.051550,1055,1805500,0.06
20171004,0.047562,0.054665,0.046563,0.046731,2455,1835960,0.05
20171003,0.074320,0.079700,0.047185,0.047452,13620,2868840,0.06
20171002,0.068546,0.079051,0.067960,0.074317,18057,2645950,0.07
20171001,0.070398,0.074446,0.065205,0.068576,7550,2717460,0.07
20170930,0.074821,0.086077,0.064639,0.070360,18013,2888180,0.08
20170929,0.071161,0.075784,0.060634,0.074812,4589,2746900,0.07
