date,open,high,low,close,volume,marketcap,average
20180110,2.08,4.87,1.79,2.32,508687,2500880,3.33
20180109,1.18,2.60,1.14,2.13,116544,1414850,1.87
20180108,1.03,1.34,0.924636,1.18,33596,1241970,1.13
20180107,0.948919,1.15,0.825663,1.03,23885,1138700,0.99
20180106,0.947519,1.02,0.859554,0.949440,7614,1137020,0.94
20180105,0.910027,1.04,0.765221,0.945597,12289,1092030,0.90
20180104,0.736250,0.956479,0.667387,0.911456,20999,883500,0.81
20180103,0.795492,0.980305,0.693712,0.735078,11960,954591,0.84
20180102,0.637892,0.990820,0.637892,0.795278,17795,765470,0.81
20180101,0.704309,0.834900,0.607413,0.637271,7985,845171,0.72
20171231,0.643452,1.03,0.584034,0.700950,18315,772142,0.81
20171230,0.648370,0.793895,0.486558,0.649545,17614,778044,0.64
20171229,0.547307,0.689593,0.491156,0.646535,13032,656768,0.59
20171228,0.505274,0.689270,0.412406,0.544022,20749,606329,0.55
20171227,0.362792,0.509588,0.319517,0.506174,11834,435351,0.41
20171226,0.328605,0.416073,0.243603,0.362070,7089,394326,0.33
20171225,0.379056,0.394527,0.251259,0.328534,5700,454867,0.32
20171224,0.455205,0.585242,0.206379,0.377029,5945,546246,0.40
20171223,0.444555,0.508863,0.260975,0.449876,5248,533466,0.38
20171222,0.582806,0.587634,0.162141,0.440536,3716,699368,0.37
20171221,0.354303,0.706855,0.263802,0.580754,614,425164,0.49
20171220,0.560685,0.565660,0.338337,0.353910,1893,672822,0.45
20171219,0.640167,0.717487,0.410724,0.561282,6934,768200,0.56
20171218,0.551356,0.742524,0.297330,0.641136,12032,661627,0.52
20171217,0.573418,0.604192,0.338360,0.552093,7689,573418,0.47
20171216,0.709500,0.928447,0.545889,0.571874,17191,709500,0.74
20171215,1.03,1.03,0.526735,0.708063,5918,1031330,0.78
20171214,1.06,1.13,0.512876,1.03,5553,1058740,0.82
20171213,1.62,1.67,1.04,1.06,42450,1623950,1.35
20171212,1.31,1.63,1.13,1.62,30846,1312300,1.38
20171211,1.28,1.38,1.18,1.32,42264,1279880,1.28
20171210,1.39,1.39,1.18,1.27,93122,1388840,1.28
20171209,1.17,1.57,1.17,1.29,147428,1173620,1.37
20171208,0.819743,1.19,0.780675,1.17,109439,819743,0.99
20171207,0.757976,0.881016,0.630737,0.808639,68054,757976,0.76
20171206,0.818586,0.854264,0.745269,0.760620,6012,818586,0.80
20171205,0.900128,0.919522,0.818162,0.820026,8306,900128,0.87
20171204,0.828884,0.936793,0.786399,0.899666,9708,828884,0.86
20171203,0.904061,0.961835,0.754079,0.776491,28845,,0.86
20171202,0.973280,0.973488,0.827235,0.903756,15809,,0.90
20171201,0.612879,0.973307,0.558650,0.973307,15228,,0.77
