date,open,high,low,close,volume,marketcap,average
20180110,0.026042,0.050044,0.025174,0.050044,4750,1923920,0.04
20180109,0.053247,0.053247,0.024063,0.026008,4049,3933790,0.04
20180108,0.034725,0.073790,0.028867,0.053689,4025,2565400,0.05
20180107,0.029112,0.034836,0.022281,0.034773,3313,2150720,0.03
20180106,0.039037,0.039037,0.025215,0.029133,3529,2883990,0.03
20180105,0.041970,0.056656,0.038439,0.039006,3208,3100680,0.05
20180104,0.028430,0.041805,0.024063,0.041805,2918,2100320,0.03
20180103,0.118451,0.187661,0.027745,0.187586,360,8750900,0.11
20180102,0.025794,0.157974,0.023426,0.118873,9094,1905630,0.09
20180101,0.025698,0.033695,0.023223,0.025931,1922,1898530,0.03
20171231,0.023925,0.026462,0.018249,0.025599,7438,1767540,0.02
20171230,0.031048,0.031065,0.024186,0.024186,3996,2293730,0.03
20171229,0.028956,0.031136,0.020091,0.031126,5084,2139240,0.03
20171228,0.028163,0.031464,0.025432,0.028794,5334,2080600,0.03
20171227,0.037300,0.038053,0.027210,0.028222,5314,2755660,0.03
20171226,0.031111,0.039443,0.029059,0.037273,6606,2298420,0.03
20171225,0.134922,0.137378,0.028466,0.031138,4909,9967720,0.08
20171224,0.086733,0.132991,0.076955,0.128404,2592,6407660,0.10
20171223,0.073021,0.120807,0.070152,0.085992,22690,5394600,0.10
20171222,0.051818,0.077787,0.027834,0.071515,10607,3828220,0.05
20171221,0.050988,0.061036,0.046269,0.051640,11764,3766880,0.05
20171220,0.057710,0.066913,0.043898,0.050855,13100,4263520,0.06
20171219,0.064420,0.067520,0.039222,0.063009,18480,4759240,0.05
20171218,0.050439,0.071883,0.047993,0.064372,14311,3726340,0.06
20171217,0.065839,0.069281,0.050012,0.050285,14626,4864070,0.06
20171216,0.065415,0.077473,0.054300,0.065969,14668,4832720,0.07
20171215,0.054695,0.072999,0.052606,0.065323,15316,4040760,0.06
20171214,0.065849,0.071518,0.051140,0.054609,18124,4864790,0.06
20171213,0.081441,0.119015,0.061848,0.065716,12647,6016690,0.09
20171212,0.065764,0.084725,0.053229,0.081373,9688,4858500,0.07
20171211,0.052112,0.214888,0.052112,0.065554,15230,3849920,0.13
20171210,0.048266,0.055308,0.039060,0.052422,5592,3565780,0.05
20171209,0.051165,0.057480,0.045341,0.048071,6714,3779970,0.05
20171208,0.071486,0.073862,0.051256,0.057497,9604,5281210,0.06
20171207,0.056154,0.078908,0.054553,0.071335,10750,4148550,0.07
20171206,0.059999,0.068779,0.054776,0.056259,14133,4432580,0.06
20171205,0.068766,0.069002,0.056896,0.060152,17456,5080260,0.06
20171204,0.067565,0.070965,0.054773,0.068660,14122,4991560,0.06
20171203,0.071808,0.084116,0.063973,0.067342,12725,5305030,0.07
20171202,0.085384,0.088757,0.070674,0.071947,11475,6307990,0.08
20171201,0.080904,0.098575,0.075636,0.087299,28680,5977050,0.09
20171130,0.092922,0.103139,0.070901,0.081423,30234,6864850,0.09
20171129,0.116039,0.135230,0.088679,0.091527,43406,8572710,0.11
20171128,0.083309,0.125621,0.061989,0.116026,79380,6154680,0.09
20171127,0.104935,0.111048,0.049264,0.074902,52111,7752360,0.08
20171126,0.128532,0.128532,0.093334,0.105048,42158,9495710,0.11
20171125,0.110225,0.137096,0.109695,0.121154,52276,8143210,0.12
20171124,0.108258,0.119393,0.105737,0.110448,19677,7997880,0.11
20171123,0.117147,0.127162,0.108170,0.108406,25895,8650260,0.12
20171122,0.117564,0.120460,0.105820,0.117530,33052,8676250,0.11
20171121,0.128663,0.134780,0.108649,0.117279,42813,9488690,0.12
20171120,0.137868,0.140258,0.125431,0.128919,56846,10160200,0.13
20171119,0.136931,0.141636,0.131716,0.137933,29138,10084200,0.14
20171118,0.121133,0.142478,0.118275,0.135259,60770,8914610,0.13
20171117,0.132057,0.136725,0.107547,0.123250,43017,9710530,0.12
20171116,0.122663,0.138111,0.114773,0.134991,57682,9013360,0.13
20171115,0.110579,0.130372,0.110579,0.121699,36662,8120660,0.12
20171114,0.108715,0.115999,0.105023,0.110504,23309,7978490,0.11
20171113,0.102396,0.119809,0.099632,0.109941,31695,7508670,0.11
20171112,0.115729,0.120920,0.096560,0.099932,20005,8482360,0.11
20171111,0.127390,0.136135,0.113463,0.117138,49197,9330280,0.12
20171110,0.131598,0.139432,0.124709,0.127844,39444,9630750,0.13
20171109,0.151289,0.157056,0.130882,0.131156,31386,11064700,0.14
20171108,0.158064,0.162862,0.139573,0.151445,60398,11552100,0.15
20171107,0.160469,0.173034,0.150437,0.158562,86790,11718100,0.16
20171106,0.155786,0.178933,0.151160,0.156995,131414,11367300,0.17
20171105,0.154402,0.157017,0.130688,0.155386,84838,11259300,0.14
20171104,0.149727,0.154153,0.140507,0.154102,70676,10909800,0.15
20171103,0.141085,0.159434,0.139531,0.150126,97798,10273200,0.15
20171102,0.127482,0.152884,0.114710,0.141142,110841,9276220,0.13
20171101,0.097648,0.127537,0.096813,0.127341,93506,7100650,0.11
20171031,0.098574,0.107473,0.075345,0.097719,62665,7162250,0.09
20171030,0.106858,0.109341,0.094997,0.099886,44531,7758020,0.10
20171029,0.102933,0.111408,0.099699,0.107482,32289,7466970,0.11
20171028,0.105772,0.110457,0.101544,0.103047,24829,7666690,0.11
20171027,0.108555,0.111497,0.103202,0.105485,41081,7862440,0.11
20171026,0.107571,0.112880,0.102170,0.108483,34293,7786530,0.11
20171025,0.099913,0.109623,0.093637,0.107584,48997,7229210,0.10
20171024,0.099113,0.101086,0.091075,0.099798,29722,7168560,0.10
20171023,0.103943,0.104720,0.089602,0.099332,24360,7513940,0.10
20171022,0.105717,0.108064,0.099087,0.104250,22494,7638440,0.10
20171021,0.106711,0.120840,0.098639,0.105680,36047,7707320,0.11
20171020,0.112743,0.122375,0.100890,0.108624,51729,8139440,0.11
20171019,0.109576,0.117321,0.107379,0.112712,27227,7907290,0.11
20171018,0.114684,0.114703,0.105702,0.109519,34922,8270850,0.11
20171017,0.115608,0.116075,0.110926,0.114398,31473,8333210,0.11
20171016,0.114792,0.116947,0.111390,0.115608,39823,8270700,0.11
20171015,0.117586,0.117982,0.109277,0.114494,25488,8466830,0.11
20171014,0.114241,0.118591,0.111821,0.117375,23643,8222210,0.12
20171013,0.107666,0.117184,0.107255,0.114210,23973,7745960,0.11
20171012,0.093883,0.110125,0.093540,0.107335,40225,6750700,0.10
20171011,0.094224,0.098921,0.092872,0.095580,28508,6758540,0.10
20171010,0.096381,0.101567,0.089280,0.094799,29190,3777140,0.10
20171009,0.094847,0.099177,0.092197,0.096357,28588,3717040,0.10
20171008,0.092169,0.097127,0.088929,0.094823,18107,3612070,0.09
20171007,0.089288,0.096246,0.089153,0.092413,30143,2372170,0.09
20171006,0.091241,0.093905,0.088906,0.089254,19032,2424070,0.09
20171005,0.087382,0.093316,0.086282,0.091154,20089,2321520,0.09
20171004,0.093021,0.095243,0.086140,0.087086,27656,2471360,0.09
20171003,0.091001,0.096182,0.086294,0.094049,25941,2417690,0.09
20171002,0.089224,0.095578,0.084021,0.090436,23332,2370480,0.09
20171001,0.093378,0.097962,0.087127,0.089263,18386,2480830,0.09
20170930,0.102953,0.106094,0.085783,0.093464,30177,2735210,0.10
20170929,0.099466,0.106575,0.081698,0.103736,46558,2642590,0.09
20170928,0.097463,0.100464,0.094256,0.099547,41434,2589380,0.10
20170927,0.093912,0.102320,0.093109,0.097032,22767,2495040,0.10
20170926,0.094092,0.097727,0.090516,0.093001,21523,2499810,0.09
20170925,0.091126,0.096755,0.084501,0.094096,25194,2421020,0.09
20170924,0.097573,0.098268,0.089905,0.091219,27362,2592300,0.09
20170923,0.095777,0.100779,0.094316,0.097581,26235,2544570,0.10
20170922,0.097162,0.100650,0.092330,0.096045,23258,2581380,0.10
20170921,0.109101,0.111057,0.096326,0.098317,42950,2898560,0.10
20170920,0.113408,0.113408,0.100582,0.109566,12899,3012970,0.11
20170919,0.110431,0.113713,0.101735,0.113557,43274,2933910,0.11
20170918,0.108331,0.113096,0.103634,0.109902,28409,2878100,0.11
20170917,0.098326,0.112530,0.093901,0.108546,32309,2612300,0.10
20170916,0.109131,0.114288,0.092033,0.098325,32379,2899360,0.10
20170915,0.086874,0.118746,0.080119,0.109418,68078,2308040,0.10
20170914,0.089445,0.090279,0.068327,0.086205,27710,2376340,0.08
20170913,0.105798,0.109431,0.084440,0.089580,36470,2810810,0.10
20170912,0.116557,0.119063,0.085320,0.107103,48361,3096640,0.10
20170911,0.132992,0.134911,0.112029,0.116445,46761,3533290,0.12
