date,open,high,low,close,volume,marketcap,average
20180110,0.199790,0.206146,0.131930,0.149828,11774,1424730,0.17
20180109,0.200750,0.216427,0.167045,0.199528,10971,1431580,0.19
20180108,0.210423,0.256360,0.191638,0.201297,17190,1500490,0.22
20180107,0.198741,0.279717,0.174905,0.213280,18847,1417130,0.23
20180106,0.209314,0.335918,0.149398,0.198914,101983,1492160,0.24
20180105,0.064753,0.205258,0.062121,0.203607,43224,461595,0.13
20180104,0.060904,0.073468,0.059923,0.063417,10245,434111,0.07
20180103,0.058550,0.066731,0.058100,0.060575,9499,417312,0.06
20180102,0.053039,0.066763,0.048431,0.058756,7069,378023,0.06
20180101,0.060979,0.061721,0.043715,0.053055,3046,434607,0.05
20171231,0.049861,0.062145,0.046954,0.060754,4462,352511,0.05
20171230,0.049506,0.056176,0.043030,0.050399,1516,350002,0.05
20171229,0.048575,0.057112,0.045239,0.049624,2080,343396,0.05
20171228,0.041670,0.048081,0.036882,0.048081,908,294586,0.04
20171227,0.042236,0.052137,0.034639,0.041750,455,291489,0.04
20171226,0.043379,0.049798,0.035283,0.042205,1116,299377,0.04
20171225,0.038829,0.044647,0.035219,0.043415,1803,267977,0.04
20171224,0.046026,0.046026,0.028350,0.038455,5790,317635,0.04
20171223,0.040236,0.056332,0.039936,0.045523,1075,277671,0.05
20171222,0.047202,0.047983,0.028722,0.039883,1058,325735,0.04
20171221,0.049022,0.086190,0.045615,0.047053,1382,338283,0.07
20171220,0.052838,0.053146,0.046722,0.048933,983,364611,0.05
20171219,0.054770,0.059939,0.051702,0.052888,4249,377942,0.06
20171218,0.065182,0.079634,0.052223,0.054731,5855,449785,0.07
20171217,0.053347,0.077995,0.045748,0.064991,2743,368112,0.06
20171216,0.043780,0.072232,0.033028,0.053244,4331,302097,0.05
20171215,0.048595,0.052718,0.031134,0.043726,2491,335209,0.04
20171214,0.047893,0.050507,0.047558,0.048541,251,330355,0.05
20171213,0.054289,0.055940,0.046914,0.048047,871,374472,0.05
