date,open,high,low,close,volume,marketcap,average
20180110,0.001460,0.001975,0.000857,0.001800,7024,,0.00
20180109,0.000904,0.001493,0.000731,0.001459,894,,0.00
20180108,0.000651,0.000963,0.000570,0.000906,159,,0.00
20180107,0.000860,0.000860,0.000484,0.000652,2239,,0.00
20180106,0.000849,0.001193,0.000818,0.000861,227,,0.00
20180105,0.001214,0.001216,0.000748,0.000849,1759,,0.00
20180104,0.001217,0.001800,0.000734,0.001214,2655,,0.00
20180103,0.001632,0.002529,0.000742,0.001210,37315,,0.00
20180102,0.000405,0.002213,0.000391,0.001489,497746,,0.00
20180101,0.000280,0.000411,0.000267,0.000405,19,,0.00
20171231,0.000381,0.000404,0.000254,0.000279,328,,0.00
20171230,0.000435,0.000435,0.000248,0.000386,42,,0.00
20171229,0.000434,0.000450,0.000283,0.000436,24,,0.00
20171228,0.000465,0.000467,0.000409,0.000430,204,,0.00
20171227,0.000317,0.000480,0.000311,0.000466,25,,0.00
20171226,0.000279,0.000466,0.000279,0.000317,65,,0.00
20171225,0.000282,0.000435,0.000270,0.000279,85,,0.00
20171224,0.000292,0.000292,0.000251,0.000279,125,,0.00
20171223,0.000276,0.000470,0.000272,0.000289,6,,0.00
20171222,0.000314,0.000445,0.000254,0.000273,13,,0.00
20171221,0.000330,0.000348,0.000303,0.000313,2,,0.00
20171220,0.000352,0.000357,0.000315,0.000329,2,,0.00
20171219,0.000383,0.000384,0.000341,0.000353,2325,,0.00
20171218,0.000191,0.000386,0.000183,0.000382,749,,0.00
20171217,0.000195,0.000397,0.000189,0.000191,115,,0.00
20171216,0.000176,0.000196,0.000174,0.000195,32,,0.00
20171215,0.000180,0.000361,0.000174,0.000176,78,,0.00
20171214,0.000164,0.000171,0.000162,0.000165,7,,0.00
20171213,0.000346,0.000521,0.000159,0.000164,121,,0.00
20171212,0.000337,0.000355,0.000329,0.000345,203,,0.00
20171211,0.000305,0.000350,0.000304,0.000336,130,,0.00
20171210,0.000301,0.000315,0.000265,0.000307,48,,0.00
20171209,0.000325,0.000330,0.000271,0.000300,18,,0.00
20171208,0.000347,0.000352,0.000282,0.000326,44,,0.00
20171207,0.000275,0.000346,0.000271,0.000346,54,,0.00
20171206,0.000351,0.000385,0.000250,0.000275,197,,0.00
20171205,0.000350,0.000358,0.000345,0.000352,221,,0.00
20171204,0.000337,0.000349,0.000327,0.000349,156,,0.00
20171203,0.000328,0.000355,0.000318,0.000336,94,,0.00
20171202,0.000327,0.000336,0.000322,0.000328,103,,0.00
20171201,0.000300,0.000329,0.000284,0.000327,19,,0.00
20171130,0.000295,0.000321,0.000270,0.000301,88,,0.00
20171129,0.000298,0.000435,0.000282,0.000290,103,,0.00
20171128,0.000293,0.000299,0.000290,0.000298,9,,0.00
20171127,0.000373,0.000389,0.000284,0.000292,123,,0.00
20171126,0.000175,0.000381,0.000175,0.000373,18,,0.00
20171125,0.000246,0.000258,0.000172,0.000175,140,,0.00
20171124,0.000241,0.000250,0.000237,0.000247,29,,0.00
20171123,0.000247,0.000330,0.000162,0.000241,609,,0.00
20171122,0.000325,0.000332,0.000243,0.000247,104,,0.00
20171121,0.000330,0.000335,0.000243,0.000324,472,,0.00
20171120,0.000483,0.000559,0.000319,0.000330,473,,0.00
20171119,0.000311,0.000621,0.000310,0.000483,2644,,0.00
20171118,0.000384,0.000390,0.000298,0.000312,792,,0.00
20171117,0.000392,0.000401,0.000378,0.000386,331,,0.00
20171116,0.000365,0.000526,0.000357,0.000471,266,,0.00
20171115,0.000529,0.000618,0.000357,0.000363,1917,,0.00
